"Function","Attribute","Value","Type"
"alonso_sms_f","mat_cont","","Implicit"
"alonso_sms_f","mat_cont_LW","","Implicit"
"alonso_sms_f","alonso_pwt_r",,"Explicit"
"alonso_sms_f","sms_coef_rand",,"Explicit"
"alonso_sms_f","alonso_sms_ratio",,"Explicit"
"battery_r_f","year","","Implicit"
"battery_r_f","size","","Implicit"
"battery_r_f","techno","","Implicit"
"battery_r_f","mat_cont_LW","","Implicit"
"battery_r_f","mat_cont","","Implicit"
"battery_r_f","bat_resz_ratio",,"Explicit"
"battery_r_f","bat_impro",,"Explicit"
"battery_r_f","BEV_bat_t",,"Explicit"
"battery_r_f","PHEV_bat_t",,"Explicit"
"battery_r_f","FC_dt","","Implicit"
"ev_range_f","BEV_bat_t",,"Explicit"
"ev_range_f","PHEV_bat_t",,"Explicit"
"ev_range_f","fast_mode","n","Run"
"fc_ev_hist_f","size","","Implicit"
"fc_ev_hist_f","techno","","Implicit"
"fc_ev_hist_f","fuel_type","","Implicit"
"fc_ev_hist_f","wgt_scen_GREET",,"Explicit"
"fc_ev_hist_f","fc_ev_mdl",,"Explicit"
"fc_hist_f","size","","Implicit"
"fc_hist_f","techno","","Implicit"
"fc_hist_f","fuel_type","","Implicit"
"fc_impro_f","size","","Implicit"
"fc_impro_f","techno","","Implicit"
"fc_impro_f","year","","Implicit"
"fc_impro_f","fuel_type","","Implicit"
"fc_impro_f","fc_impro",,"Explicit"
"fc_impro_f","aeo_scen",,"Explicit"
"fc_impro_f","fast_mode","n","Run"
"fc_upgrade_f","size","","Implicit"
"fc_upgrade_f","techno","","Implicit"
"fc_upgrade_f","fuel_type","","Implicit"
"fc_upgrade_f","year","","Implicit"
"fc_upgrade_f","i_FC","","Implicit"
"fc_upgrade_f","wgt_svg","","Implicit"
"fc_upgrade_f","i_wgt","","Implicit"
"fc_upgrade_f","fc_impro",,"Explicit"
"fc_upgrade_f","frv_impro",,"Explicit"
"fc_upgrade_f","frv_pwt_r",,"Explicit"
"fc_upgrade_f","frv_src",,"Explicit"
"fleet_fc_proj_f","last_yr",,"Scenario"
"fleet_fc_proj_f","fc_impro",,"Explicit"
"fleet_fc_proj_f","fast_mode","n","Run"
"fleet_fuel_u_f","aeo_scen",,"Explicit"
"fleet_fuel_u_f","adj_stock",,"Explicit"
"fleet_fuel_u_f","survival_rate_mdl",,"Explicit"
"fleet_fuel_u_f","last_yr",,"Scenario"
"fleet_fuel_u_f","fast_mode","n","Run"
"fleet_i_comp_wgt_f","wgt_scen_GREET",,"Explicit"
"fleet_i_comp_wgt_f","mod_scen_GREET",,"Explicit"
"fleet_i_comp_wgt_f","fast_mode","n","Run"
"fleet_i_ev_bat_f","FCV_bat_t",,"Explicit"
"fleet_i_ev_bat_f","BEV_bat_t",,"Explicit"
"fleet_i_ev_bat_f","PHEV_bat_t",,"Explicit"
"fleet_i_ev_bat_f","HEV_bat_t",,"Explicit"
"fleet_i_ev_bat_f","wgt_scen_GREET",,"Explicit"
"fleet_i_ev_bat_f","ev_bat_size_mdl",,"Explicit"
"fleet_i_mat_cont_f","mat_cont_adj",,"Explicit"
"fleet_i_mat_cont_f","rel_mat_cont","n","Implicit"
"fleet_i_mat_cont_f","fast_mode","n","Run"
"fleet_lca_f","last_yr",,"Scenario"
"fleet_lca_f","lcia_method",,"Explicit"
"fleet_lca_f","lcia_cat",,"Explicit"
"fleet_lca_f","fast_mode","n","Run"
"fleet_lca_vkmt_f","lcia_cat",,"Explicit"
