"Function","Attributes"
"alonso_sms_f","alonso_pwt_r;sms_coef_rand;alonso_sms_ratio"
"battery_r_f","bat_resz_ratio;bat_impro;BEV_bat_t;PHEV_bat_t"
"ev_range_f","BEV_bat_t;PHEV_bat_t"
"fc_ev_hist_f","wgt_scen_GREET;fc_ev_mdl"
"fc_hist_f",""
"fc_impro_f","fc_impro;aeo_scen"
"fc_upgrade_f","fc_impro;frv_impro;frv_pwt_r;frv_src"
"fleet_fc_proj_f","fc_impro"
"fleet_fuel_u_f","aeo_scen;adj_stock;survival_rate_mdl"
"fleet_i_comp_wgt_f","wgt_scen_GREET;mod_scen_GREET"
"fleet_i_ev_bat_f","FCV_bat_t;BEV_bat_t;PHEV_bat_t;HEV_bat_t;wgt_scen_GREET;ev_bat_size_mdl"
"fleet_i_mat_cont_f","mat_cont_adj"
"fleet_lca_f","lcia_method;lcia_cat"
"fleet_lca_vkmt_f","lcia_cat"
"fleet_ldv_fc_f",""
"fleet_mc_proj_f","mackenzie_svg;alonso_svg;sms_cutoff;feature_wgt"
"fleet_mfa_f","rec_scen;aeo_scen;adj_stock;survival_rate_mdl"
"fleet_stock_f","adj_stock;survival_rate_mdl;aeo_scen"
"fleet_survival_rate_f","survival_rate_mdl"
"fleet_vint_stock_f","aeo_scen;survival_rate_mdl;adj_stock"
"fleet_vkmt_f","adj_stock;survival_rate_mdl;aeo_scen;vkmt_model"
"fleet_vkmt_share_f",""
"frv_kim_f","frv_impro;frv_pwt_r;fc_dr_city"
"lca_ef_elec_f","aeo_scen;lcia_method;lcia_cat;ef_elec_impro"
"lca_ef_greet_f","aeo_scen;lcia_method;lcia_cat"
"lca_ef_lit_f","lcia_method;lcia_cat;FCV_bat_t;HEV_bat_t;BEV_bat_t;PHEV_bat_t;ef_bat_mdl;ef_steel_mdl;ef_hss_mdl"
"lca_ef_prim_alu_f",""
"lca_elec_alu_ind_f",""
"lca_prim_alu_inputs_f","alu_eff_impro"
"lca_prod_prim_alu_f",""
"mackenzie_pr_f","pwtr_resz_ratio;HEV_bat_t"
"mfa_prim_alu_f","mfa_alu_proj;country"
"rec_rate_f","rec_scen"
"sub_fac_f","sub_fac_fun"
"survival_rate_f","survival_rate_mdl"
"vehicle_lca_f","aeo_scen;lcia_method;lcia_cat;vh_lca_yrs"
