"Function","Input","Type"
"alonso_sms_f","inputs/Alonso_sms_coef.csv",".csv"
"alonso_sms_f","inputs/component_equivalency.csv",".csv"
"battery_r_f","inputs/GREET_bat&FC_2017.csv",".csv"
"battery_r_f","fc_upgrade_f",".R"
"ev_range_f","inputs/GREET_bat&FC_2017.csv",".csv"
"ev_range_f","fleet_mc_proj_f",".R"
"ev_range_f","fleet_fc_proj_f",".R"
"fc_ev_hist_f","inputs/vehicle_technology.csv",".csv"
"fc_ev_hist_f","inputs/fc_ev_hist.csv",".csv"
"fc_hist_f","inputs/fleet_vint_stock_REF.csv",".csv"
"fc_hist_f","inputs/fe_vision_dt_2017.csv",".csv"
"fc_hist_f","inputs/fc_degra_factor_vision.csv",".csv"
"fc_hist_f","inputs/EPA_FE.csv",".csv"
"fc_hist_f","inputs/conversion_units.csv",".csv"
"fc_hist_f","inputs/fuel_conversion.csv",".csv"
"fc_hist_f","inputs/vehicle_technology.csv",".csv"
"fc_hist_f","fc_ev_hist_f",".R"
"fc_impro_f","inputs/vehicle_technology.csv",".csv"
"fc_impro_f","inputs/fleet_fc_impro_aeo.csv",".csv"
"fc_impro_f","fleet_fc_hist_f",".R"
"fc_upgrade_f","frv_kim_f",".R"
"fc_upgrade_f","fc_impro_f",".R"
"fleet_fc_hist_f","inputs/vehicle_technology.csv",".csv"
"fleet_fc_hist_f","fc_hist_f",".R"
"fleet_fc_proj_f","inputs/vehicle_technology.csv",".csv"
"fleet_fc_proj_f","inputs/conversion_units.csv",".csv"
"fleet_fc_proj_f","inputs/fuel_conversion.csv",".csv"
"fleet_fc_proj_f","fc_upgrade_f",".R"
"fleet_fc_proj_f","fleet_fc_hist_f",".R"
"fleet_fc_proj_f","fleet_mc_proj_f",".R"
"fleet_frv_f","inputs/vehicle_technology.csv",".csv"
"fleet_frv_f","frv_kim_f",".R"
"fleet_frv_f","fleet_mc_proj_f",".R"
"fleet_frv_f","fleet_fc_proj_f",".R"
"fleet_fuel_u_f","inputs/vehicle_technology.csv",".csv"
"fleet_fuel_u_f","fleet_fc_proj_f",".R"
"fleet_fuel_u_f","fleet_vkmt_share_f",".R"
"fleet_fuel_u_f","fleet_vkmt_f",".R"
"fleet_i_comp_wgt_f","inputs/vehicle_technology.csv",".csv"
"fleet_i_comp_wgt_f","inputs/material_equivalency.csv",".csv"
"fleet_i_comp_wgt_f","inputs/component_equivalency.csv",".csv"
"fleet_i_comp_wgt_f","inputs/GREET_rel_cpt_wgt_2017.csv",".csv"
"fleet_i_comp_wgt_f","inputs/GREET_wgt_2017.csv",".csv"
"fleet_i_comp_wgt_f","inputs/fleet_wgt_75to15.csv",".csv"
"fleet_i_comp_wgt_f","inputs/conversion_units.csv",".csv"
"fleet_i_comp_wgt_f","inputs/C2G_rel_subcpt_wgt.csv",".csv"
"fleet_i_comp_wgt_f","inputs/GREET_bat&FC_2017.csv",".csv"
"fleet_i_comp_wgt_f","fleet_i_ev_bat_f",".R"
"fleet_i_ev_bat_f","inputs/vehicle_technology.csv",".csv"
"fleet_i_ev_bat_f","inputs/C2G_rel_subcpt_wgt.csv",".csv"
"fleet_i_ev_bat_f","inputs/ev_bat_size.csv",".csv"
"fleet_i_ev_bat_f","inputs/GREET_bat&FC_2017.csv",".csv"
"fleet_i_ev_bat_f","inputs/conversion_units.csv",".csv"
"fleet_i_mat_cont_f","inputs/component_material_comp_ACSM.csv",".csv"
"fleet_i_mat_cont_f","inputs/component_material_comp_adj.csv",".csv"
"fleet_i_mat_cont_f","inputs/material_equivalency.csv",".csv"
"fleet_i_mat_cont_f","inputs/vehicle_technology.csv",".csv"
"fleet_i_mat_cont_f","inputs/component_equivalency.csv",".csv"
"fleet_i_mat_cont_f","fleet_i_comp_wgt_f",".R"
"fleet_lca_f","inputs/LCA_process.csv",".csv"
"fleet_lca_f","inputs/recovery_rate_scen.csv",".csv"
"fleet_lca_f","inputs/fuel_conversion.csv",".csv"
"fleet_lca_f","fleet_mfa_f",".R"
"fleet_lca_f","lca_ef_greet_f",".R"
"fleet_lca_f","lca_ef_elec_f",".R"
