Data,Unit,LCI,Baseline Gasoline,CA Gasoline,"Low-Level EtOH Blend with Gasoline (E10, Corn)",Baseline Conventional and LS Diesel,"Compressed Natural Gas, NA NG","Liquefied Natural Gas, NA NG","Liquefied Petroleum Gas, Crude and NG Mix","Naphtha, NA NG","M85 for MeOH FFV, NA NG","M90 for Dedi. MeOH Vehicles, NA NG",MeOH for FCV: NA NG,"E85 for FFV, Corn","BtOH for FFV: BtOH100, Corn","E85 for Dedi. EtOH Vehicle, Corn","EtOH for FCV, Corn",Soybean-based RG100,Forest Residue-based Pyrolysis RG100,Grid-Connected SI PHEV: Gasoline and Electricity (U.S. Mix),Grid-Connected SI PHEV: CA gasoline and Electricity (U.S. Mix),"Grid-Connected SI PHEV: Low-Level EtOH Blend with Gasoline (E10, Corn) and Electricity (U.S. Mix)",Grid-Connected SI PHEV: CNG (NA NG) and Electricity (U.S. Mix),Grid-Connected SI PHEV: LNG (NA NG) and Electricity (U.S. Mix),Grid-Connected SI PHEV: LPG (Crude and NG Mix) and Electricity (U.S. Mix),Grid-Connected SI PHEV: M90 (NA NG) and Electricity (U.S. Mix),Grid-Connected SI PHEV: LPG (NA NG) and Electricity (U.S. Mix),"Grid-Connected SI PHEV: G.H2 (Refueling Station, NA NG) and Electricity (U.S. Mix)","Grid-Connected SI PHEV: L.H2 (Central Plants, NA NG) and Electricity (U.S. Mix)",DME: NA NG,FTD100: NA NG,Soybean-based BD20,Soybean-based RDII 100,Forest Residue-based RDII 100,"E-Diesel, Corn",Grid-Connected CIDI PHEV: Diesel and Electricity (U.S. Mix),Grid-Connected CIDI PHEV: DME (NA NG) and Electricity (U.S. Mix),Grid-Connected CIDI PHEV: FTD100 (NA NG) and Electricity (U.S. Mix),Grid-Connected CIDI PHEV: BD20 (Soybean) and Electricity (U.S. Mix),Grid-Connected CIDI PHEV: E-Diesel (Corn) and Electricity (U.S. Mix),Electricity  (U.S. Mix),"FCV: G.H2, Refueling Station, NA NG","FCV: L.H2, Central Plants, NA NG","Grid-Connected FC PHEV: G.H2 (Refueling Station, NA NG) and Electricity (U.S. Mix)","Grid-Connected FC PHEV: L.H2 (Central Plants, NA NG) and Electricity (U.S. Mix)",Blended feedstock-based RG100 via Indirect Liquefaction (IDL),Low Octane Gasoline-Like Fuel
WTP,Btu per mmBtu,Total Energy ,281207.7492,251810.8255,281207.7492,209839.205,160374.5326,204685.4937,155263.2517,772493.6699,463838.8711,486789.6175,539767.557,590754.152,708241.2511,590754.152,694913.2208,435823.0826,953337.6098,529678.9526,508414.2397,529678.9526,442272.4031,474325.4124,438575.0802,666839.8314,743777.8644,920651.9001,1334344.513,633779.7104,687919.9978,266064.4571,454562.347,946396.1868,241644.422,478451.8825,784941.4863,824082.4389,519100.1692,501445.6003,1179400.04,815952.9894,1397040.683,940759.3652,1322303.69,1874654.594,215318.0359
WTP,,WTP Efficiency,0.780513543,0.798842748,0.780513543,0.826556121,0.861790717,0.830092174,0.865603574,0.564176909,0.683135296,0.672590115,0.649448675,0.628632651,0.585397408,0.628632651,0.590000708,0.696464636,0.511944272,0.653731947,0.662947865,0.653731947,0.693350298,0.67827631,0.695132297,0.599937667,0.573467539,0.520656554,0.428385782,0.612077622,0.59244514,0.789849201,0.687492016,0.513770016,0.805383556,0.67638319,0.560242455,0.548220836,0.658284437,0.666024796,0.458841875,0.550675048,0.417181071,0.515262231,0.430606903,0.34786788,0.822829885
WTP,Btu per mmBtu,Fossil Fuels,266731.9222,238761.6105,266731.9222,204179.2273,150999.9239,203390.7909,152099.7564,792705.9619,449764.8903,471864.1881,522876.7019,489458.2154,674998.9036,489458.2154,564618.706,126332.7265,356106.2253,463154.1029,442921.3515,463154.1029,379437.5975,417335.3299,380233.1781,603119.8391,616140.1432,825508.6079,1167409.552,616292.085,686982.9124,210259.5968,245564.1088,396609.2679,228150.3257,418223.1657,716161.9208,767268.1573,422618.9948,435553.1739,976773.5125,764301.3244,1244547.829,837263.4896,1152595.117,392044.3925,209362.9677
WTP,Btu per mmBtu,Coal,20624.12627,17064.61554,20624.12627,15074.09111,24154.55279,3526.666909,8514.941891,-55117.79734,38275.8515,40626.26199,46051.78944,63414.42688,30649.8491,63414.42688,77714.64473,28888.6764,48547.94585,167763.8974,165189.0711,167763.8974,170317.6853,155396.1896,159004.5343,173696.5272,190560.7068,259432.5569,455190.5306,47680.58082,2552.00904,17370.15038,26226.57376,46643.33454,19380.48303,163970.0641,187543.0654,154917.1712,165630.0099,167083.3885,552515.9765,140840.3429,415809.1144,282208.2361,462753.7463,52010.20531,15881.08515
WTP,Btu per mmBtu,Natural Gas,167534.28,161094.3759,167534.28,135897.1734,121833.5932,188909.6855,115869.0692,839750.9941,376575.5257,401270.8887,458275.9825,369715.7356,596154.638,369715.7356,437325.1262,52496.50212,246608.7939,232321.9826,227663.5798,232321.9826,199263.6941,247784.2081,194949.1647,401391.2041,378039.0925,551581.9735,685617.6069,554494.3077,674929.2838,141347.9652,175922.0691,289587.2326,156147.778,209546.0484,512172.6391,599241.6209,213486.7217,224186.3097,401733.7132,612216.0311,800487.358,539937.18,663556.8281,274460.9043,147133.7785
WTP,Btu per mmBtu,Petroleum,7.86E+04,6.06E+04,7.86E+04,5.32E+04,5.01E+03,10954.43842,27715.74529,8.07E+03,3.49E+04,3.00E+04,1.85E+04,5.63E+04,4.82E+04,5.63E+04,4.96E+04,44947.54797,60949.48548,6.31E+04,50068.70061,63068.22282,9.86E+03,1.42E+04,2.63E+04,2.80E+04,4.75E+04,14494.07746,2.66E+04,1.41E+04,9.50E+03,5.15E+04,43415.46603,60378.7008,52622.06469,44707.0532,16446.21631,13109.36522,43502.26321,44283.47566,22523.8228,11244.95037,28251.3565,15118.07354,26284.54256,65573.28297,46348.10412
WTP,Gal per mmBtu,Water consumption,55.65782833,58.23761755,55.65782833,22.76043125,7.330343619,3.88444737,10.27855471,-5.186233253,16.12950266,15.00539249,12.41057316,361.3926113,481.3305782,361.3926113,463.5121872,656.2131651,12.66761524,92.22309576,94.08922563,92.22309576,57.2646729,54.77203131,59.39730634,59.93441961,316.2752129,91.03238872,127.1026195,12.86873512,31.0958407,134.4818307,607.9800587,10.3289231,49.78787169,68.4941024,61.34285833,74.52022236,149.2635665,88.0337062,187.836692,51.86184587,102.5274043,98.55510618,131.8222988,49.98702543,21.44107147
WTP,g per mmBtu,"CO2 (VOC, CO, CO2)",14727.10203,12622.295,14727.10203,14222.45345,10241.3682,12549.04947,11218.89296,31573.44365,20218.169,20476.81035,21073.84042,-17847.22148,-29349.12913,-17847.22148,-28666.27748,-65278.27135,-50699.96276,52153.91741,50631.37316,52153.91741,48909.09345,50578.38988,49616.20089,54152.80182,25791.44152,122294.5194,152212.3117,28891.76519,24738.88917,1085.946186,-59997.92866,-49909.55346,11697.52123,51844.68018,62449.92192,59447.58242,42347.586,50019.26962,150020.3536,111075.6382,153099.2577,124449.1097,152041.9734,-45857.55766,13981.46988
WTP,g per mmBtu,CH4,171.31879,187.2090172,171.31879,170.1874801,262.0530618,306.7243684,173.9251601,267.3400869,219.0163447,223.6720573,234.4189871,122.383707,131.0207556,122.383707,106.1636774,21.21590882,68.89433895,203.5209095,215.0153476,203.5209095,269.1549283,301.468599,205.406267,240.3232963,165.3657498,348.6725481,334.5417702,248.9249631,252.5103105,145.7051444,39.64288232,72.93127286,165.3480295,202.750863,259.6744635,262.2665058,185.0512536,199.2521615,287.72542,373.3339734,353.4853686,343.9363121,330.903645,72.9658238,171.9890263
WTP,g per mmBtu,N2O,2.820672844,2.806861299,2.820672844,0.253375979,1.61829804,0.183857002,0.201040647,0.112755311,0.333358697,0.335367429,0.340004249,29.11691164,35.01141564,29.11691164,37.89918813,23.56006647,0.443778515,2.691865586,2.681874794,2.691865586,1.822109441,0.784484647,0.796914698,0.860401993,22.15992886,2.456900538,1.733881129,0.454205366,0.219986483,4.3708919,21.80452447,0.474133791,2.573569908,0.83563597,0.980826436,0.811496891,3.812411737,2.513030107,2.355050735,2.498112674,1.482533309,2.448985732,1.782152573,6.303165623,0.282603351
