Unit,LCI,Virgin Steel,Virgin High-Strength Steel,Recycled Steel,Average Steel,Stainless Steel,Cast Iron,Virgin Wrought Aluminum,Recycled Wrought Aluminum,Average Wrought Aluminum,Virgin Cast Aluminum,Recycled Cast Aluminum,Average Cast Aluminum,Virgin Lead,Recycled Lead,Average Lead,Virgin Nickel,Recycled Nickel,Average Nickel,Virgin Nickel Hydroxide,Recycled Nickel Hydroxide,Average Nickel Hydroxide,Refined Nickel,Virgin Cobalt Oxide,Recycled Cobalt Oxide,Average Cobalt Oxide,Copper,Zinc,Virgin Magnesium,Recycled Magnesium,Average Magnesium,Sulfuric Acid,Glass,Fiber Glass,High-Density Polyethylene,Polyethylene Terephthalate,Polypropylene,Average Plastic,Glass Fiber Composite Plastic,Carbon Fiber Composite Plastic for General Use,Carbon Fiber Composite Plastic for High Pressure Vessels,Rubber,Platinum,Vanadium,Zirconium,Titanium,Chromium,Rare Earth,Manganese in Manganese Ore (MnO),Manganese,Thermal Insulation,Carbon Fiber,Carbon Paper,Nafion117 Sheet,Nafion Dry Polymer,PTFE,LiMn2O4,NMC(442): Coprecipitation,NMC(111): Coprecipitation,NMC(622): Coprecipitation,NMC(811): Coprecipitation,Recycled NMC(111): Coprecipitation,LMR-NMC:Solid State,LFP: Hydrothermal,LFP: Solid State,LCO: Hydrothermal,LCO: Solid State,NCA,NMP,Graphite,PVDF,LiPF6,Ethylene Carbonate,Dimethyl Carbonate,BMS,Coolant,Silicon,Silicon as anode material,Molybdenum
mmBtu per lb of material product,Total energy,0.015179773,0.019278312,0.009408031,0.013656033,0.012915212,0.014977473,0.058171719,0.011674136,0.053056985,0.064603162,0.013363477,0.02104943,0.011665271,0.002115947,0.004694264,0.056210353,0.00977048,0.035776809,0.039483298,0.00150678,0.02277363,0.056210353,0.085444574,0.00977048,0.052147973,0.019595943,0.019458557,0.114073277,0.007080158,0.058329862,0.000273672,0.009987076,0.011718609,0.035273217,0.033555859,0.034155925,0.038219397,0.037716327,0.138019417,0.231877393,0.023920177,0.492309953,0,0.092446786,0,0,0.122751438,0.006747348,0.052570468,0.011718609,0.260617565,0.912161478,0.009525597,0.009325726,0.048933502,0.01709644,0.07068735,0.077184194,0.07972922,0.081614928,0.089749489,0.059135074,0.024886466,0.014132398,0.13437533,0.0739298,0.071942845,0.043464004,0.039563383,0.016040372,0.080948274,0.004435336,0.01629554,0.178360384,0.008586787,1.657846268,0.424724613,0.086982856
mmBtu per lb of material product,Fossil fuels,0.014025687,0.017812622,0.008129165,0.012469005,0.011106058,0.014775937,0.036633568,0.009673507,0.033667962,0.040944109,0.0112345,0.015690941,0.011233084,0.002114463,0.004576491,0.051455006,0.009436352,0.032966798,0.036060694,0.001455252,0.020834299,0.051455006,0.082020586,0.009436352,0.050083523,0.017184847,0.016299768,0.103896141,0.006478695,0.053141652,0.00026059,0.009541172,0.01083226,0.034147341,0.032527075,0.033363912,0.0371972,0.035544284,0.131914634,0.219953538,0.02339,0.4797064,0,0.086048208,0,0,0.101662158,0.005718042,0.051886429,0.01083226,0.246558062,0.862953218,0.008574767,0.008394848,0.047850418,0.016235058,0.064750866,0.071176635,0.073096533,0.074517802,0.08187917,0.055146464,0.024766427,0.013185314,0.126969288,0.070767424,0.067099463,0.042931879,0.037637604,0.014501083,0.06727312,0.004310135,0.015849483,0.155688709,0.008494904,1.237265282,0.271264772,0.084304914
mmBtu per lb of material product,Coal,0.011099229,0.014096021,0.003575931,0.009113078,0.005070155,0.01075962,0.013810344,0.001879647,0.012497968,0.015005808,0.001858347,0.003830466,0.009901474,0.002075349,0.004188403,0.010861386,0.001865546,0.006903216,0.007999963,0.0002877,0.004606567,0.010861386,0.009325231,0.001865546,0.00604297,0.006365134,0.008640275,0.027750516,0.001640049,0.014146962,3.56E-05,0.00170663,0.002449242,0.003068673,0.003179936,0.002156868,0.002996021,0.005938095,0.019619973,0.039458825,0.00144265,0.442631564,0,0.017447383,0,0,0.05750562,0.00280645,0.001857338,0.002449242,0.047042753,0.164649637,0.002592688,0.002538287,0.002946461,0.003137077,0.017196588,0.0175185,0.01871739,0.019607783,0.023708897,0.012404194,0.000325345,0.003485811,0.020985986,0.01007124,0.012129304,0.001450877,0.01927718,0.00419713,0.037288611,0.000341339,0.001216089,0.06182039,0.000249246,0.566293082,0.102418531,0.007280332
mmBtu per lb of material product,Natural gas,2.98E-03,0.0037846,4.40E-03,3.35E-03,5.83E-03,3.19E-03,0.015987781,0.007195234,1.50E-02,1.84E-02,8.72E-03,1.02E-02,9.02E-04,6.85E-06,2.49E-04,3.03E-02,0.006575111,0.019876725,2.15E-02,0.001013998,0.012492479,3.03E-02,3.95E-02,6.58E-03,2.50E-02,7.48E-03,0.006933426,7.44E-02,4.76E-03,3.81E-02,5.84E-05,0.007650365,0.008007558,0.027050459,0.015897176,0.023004644,0.025213862,0.023981301,0.093397953,0.156399939,0.013043784,0.006720341,0,0.067689073,0,0,0.041812268,0.002120844,0.026877218,0.008007558,0.176584085,0.618044299,0.005861891,0.005738894,0.024692449,0.010431509,0.033107946,0.035861615,0.038258788,0.040037855,0.052144538,0.028586133,0.018643629,0.006288168,0.074077802,0.031967175,0.038854768,0.041109745,0.004469467,0.009669068,0.027315808,0.00378818,0.013978574,0.091179639,0.004440565,0.623459906,0.1550694,0.012872749
mmBtu per lb of material product,Petroleum,-5.12E-05,-0.000065024,0.00014897,1.64E-06,0.000209268,0.000830581,0.006835443,0.000598625,0.006149393,0.007526242,0.000653356,0.001684288,0.000429196,3.23E-05,0.000139436,0.010265627,0.000995695,0.006186857,0.006549445,0.000153554,0.003735253,0.010265627,0.033172068,0.000995695,0.019014464,0.003343648,0.000726067,0.001698455,7.99E-05,0.000855166,0.000166538,0.000184177,0.00037546,0.004028209,0.013449963,0.008202401,0.008987316,0.005624888,0.018896708,0.024094774,0.008903566,0.030354494,0,0.000911752,0,0,0.00234427,0.000790747,0.023151873,0.00037546,0.022931223,0.080259282,0.000120189,0.000117667,0.020211509,0.002666478,0.014446345,0.017796534,0.016120369,0.014872177,0.006025748,0.014156154,0.005797453,0.003411342,0.031905499,0.028729022,0.016115391,0.000371257,0.013890957,0.000634885,0.002668701,0.000180616,0.00065482,0.00268868,0.003805094,0.047512294,0.013776841,0.064151833
Gal per lb of material product,Water consumption,2.46133962,3.125901317,0.647152923,1.982394332,0.914450017,0.1531356,30.87286806,2.804824204,27.78538324,33.92288079,2.992290423,7.631878978,0.24975809,0.008048015,0.073309735,16.2109423,0.203689921,9.167751251,10.47256788,0.031412575,5.878459548,16.2109423,2.37667277,0.203689921,1.420560316,1.559494096,3.489518832,5.259088576,0.31133431,2.681308604,0.038657262,1.41402071,4.997066224,0.690884271,0.76809696,0.581695048,0.717207911,3.640841825,3.592217367,6.742369113,0.451489048,24.61395156,0,3.356348534,0,0,10.59199851,0.529762567,0.812591698,4.997066224,7.84007938,27.44027783,0.487866392,0.477629768,0.952805024,0.559946597,11.06898129,10.32650764,13.87778663,16.51775558,7.930966932,9.293263894,1.080428661,2.623297935,6.362728493,2.259877797,12.20540332,0.449141605,2.728970496,0.797966064,7.057774995,0.075189088,0.269323085,11.50668103,0.123368797,348.4369231,156.388549,2.553283698
,Total Emissions: grams,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
g per lb of material product,VOC,1.561148169,1.982658175,0.168454046,1.19347692,0.24532414,1.010695795,0.572234349,0.28358412,0.540482824,0.485291201,0.1672027,0.214915975,0.843061296,0.0165072,0.239676806,0.594130294,0.098541807,0.37607136,0.411495387,0.015196883,0.237124045,0.594130294,0.70572736,0.152004314,0.46208922,0.169938301,0.156461835,1.07946136,0.067814132,0.552393154,0.009762719,0.108603349,0.125572019,0.646085169,0.338989503,0.579181298,0.514158399,0.342805287,1.305110789,2.230319694,2.852225554,4.412346839,0,0.920744914,0,0,0.917142263,0.064978162,0.459190081,0.125572019,2.527928568,8.847749989,0.087801798,0.085959502,0.417285277,1.029718591,1.040255182,1.085258209,1.137256295,1.175837909,2.47747219,1.118558095,0.32263147,0.684774708,1.2556458,0.818966609,1.497789039,0.919065405,0.569608947,0.146583565,0.649226296,0.044520185,0.164105539,1.525962785,4.404667389,11.76670732,2.690034298,2.386265308
g per lb of material product,CO,10.99291681,13.96100435,1.828171116,8.573423946,2.768718326,0.454975813,1.219775396,0.407443915,1.130418933,1.372512993,0.477335103,0.611611787,0.311075857,0.055663666,0.124624958,6.207997721,0.942972546,3.891386644,4.057167457,0.145422985,2.335999889,6.207997721,3.427550943,0.673126823,2.21560433,1.165181389,0.478800898,4.23572843,0.254258605,2.161382651,0.029041282,0.456896284,0.460260346,2.394709479,7.477446474,3.830689055,3.185353826,1.359627724,5.40572166,9.118265913,1.028860659,7.408316201,0,3.548974792,0,0,2.745796953,0.19472544,2.325253052,0.460260346,10.26539493,35.92888227,0.319995156,0.313280879,2.090320561,1.317846853,4.88011325,4.899489317,5.960338244,6.748850172,4.258923446,4.697913214,1.435229246,1.378014288,5.391070844,3.65209775,6.09055388,1.884874757,0.610078783,0.545275317,1.947755252,0.134410382,0.499142682,5.23264826,0.433404426,39.42132393,9.716235543,6.166669012
g per lb of material product,NOx ,1.332362994,1.692101002,0.522082349,1.118448903,0.714863157,0.754431075,2.683320403,0.694303399,2.464528533,2.994222577,0.802353756,1.131134079,0.563801336,0.280181979,0.356759205,17.10752136,2.472881598,10.66827987,11.04859415,0.381361922,6.355011968,17.10752136,8.289370722,1.202801474,5.171280253,3.097489392,1.011244412,7.361094344,0.416480439,3.7429505,0.212929863,1.048684902,1.903782265,1.608359936,2.174324514,1.493935479,2.379322902,3.034684092,9.845134818,16.6483896,2.344022003,32.46582422,0,5.618408456,0,0,5.903451704,0.434870803,5.541968757,1.903782265,18.65769868,65.30194536,0.542832211,0.531442271,4.966522754,2.678680107,12.07053032,11.99213944,15.0554971,17.33260928,8.673734277,11.54301389,3.009614385,3.099940678,11.49929329,8.741949197,14.29981625,2.278670451,6.194507509,0.959263981,5.072352465,0.222891074,0.824016878,9.56271892,1.081298105,83.3424117,20.36772399,14.88462989
g per lb of material product,PM10,0.806871846,1.024727244,0.377720361,0.693575854,0.572045595,0.503963754,2.193210847,0.341008429,1.989468581,2.404786276,0.36368521,0.669850369,2.326276865,0.023745335,0.645428848,6.366611156,0.098948545,3.608839607,4.057183468,0.015259609,2.27873697,6.366611156,2.2694879,0.100142386,1.314975874,0.301694994,0.989797635,0.751465536,0.044545156,0.383160018,0.012459566,0.066969954,0.710971162,0.165003168,0.178131686,0.137866353,0.550595517,2.000847182,3.539918438,2.93819283,0.382019697,6.967303659,0,0.538866734,0,0,1.110400915,1.545499451,1.746726416,0.710971162,2.107412471,7.375943649,0.064422034,0.063070303,0.84504268,1.845093105,3.782583604,3.593414211,4.706202741,5.533394088,2.106856379,3.549219639,0.556491763,0.587580665,2.480773393,2.070527296,4.697790935,0.133125657,2.515857775,0.120466166,0.795099137,0.012867538,0.047179786,1.360638005,0.202681001,12.50257947,2.590289891,1.491419231
g per lb of material product,PM2.5,0.380873573,0.483709438,0.187317044,0.329774649,0.283123465,0.2304357,1.08786175,0.174154862,0.987353992,1.195384652,0.188492486,0.339526311,1.142196167,0.008243538,0.314410748,3.195468165,0.080869076,1.825044566,2.037377104,0.012471437,1.14641861,3.195468165,1.152243671,0.081086369,0.680934458,0.160560951,0.484494368,0.442882896,0.026313306,0.22585014,0.011280848,0.046543025,0.367116792,0.067941052,0.106270105,0.05668298,0.149664668,0.456544722,0.876238168,1.202200503,0.202844268,2.772929446,0,0.342684216,0,0,0.47509581,0.769231709,0.89709805,0.367116792,1.231336613,4.309678144,0.035652696,0.034904616,0.441519457,1.312014803,2.04241428,1.949250306,2.507032729,2.921652273,1.784014331,2.011919304,0.304240691,0.446301663,1.262373446,1.142190541,2.33153519,0.114925874,1.230317709,0.065752019,0.375055391,0.008935641,0.033153284,0.67619878,0.105356986,5.965432308,1.348404549,0.606764906
g per lb of material product,SOx,5.50022514,6.985285928,1.141296302,4.349467927,1.633781907,1.505392523,13.48634808,1.356166779,12.15202813,14.80847988,1.441190349,3.446283779,13.91294191,2.957304387,5.915326519,530.7879145,0.843011354,297.6121571,336.3075136,0.130007207,188.3894108,530.7879145,330.3629276,0.843011354,185.3741644,66.120115,2.334179029,8.049731875,0.479223033,4.105496768,9.160677856,0.670458065,1.504911468,11.80597494,5.622644116,10.76924598,8.076487629,3.889982745,15.74984886,27.37523719,6.359254691,122.1460304,0,5.275895698,0,0,15.5029307,0.765072297,15.78867139,1.504911468,30.41910034,106.4668512,0.740312585,0.724779026,14.31883487,1.405139331,269.4391045,276.6164402,363.526308,428.1277917,41.1823295,239.7837651,10.8708275,18.57477382,260.5742322,254.1622566,384.4098338,0.838209185,36.55933696,1.492333644,63.2559185,0.133393533,0.480541817,17.1468505,2.834999139,182.2005285,39.20412392,2.763489801
g per lb of material product,BC,0.00612967,0.007784681,0.00352302,0.005441514,0.004716087,0.003684954,0.022354136,0.005869606,0.020540838,0.025119809,0.006954089,0.009678947,0.006144751,0.000410356,0.001958642,0.318469525,0.043390145,0.197434597,0.203319649,0.006691525,0.116803274,0.318469525,0.067247726,0.031669834,0.051593453,0.042845577,0.006325301,0.069651235,0.003438661,0.035154484,0.001497634,0.006429074,0.007562868,0.010429631,0.02230754,0.009926432,0.018482162,0.01829697,0.076718034,0.133051433,0.019519112,0.176726675,0,0.047894668,0,0,0.037665358,0.002185143,0.045591007,0.007562868,0.150378852,0.526325983,0.004334746,0.004243793,0.041028922,0.149069755,0.221220627,0.209535133,0.277718629,0.32840891,0.301519726,0.240854948,0.044756422,0.051891966,0.113209817,0.11546485,0.244193825,0.019045804,0.011673344,0.00766695,0.033214699,0.001478953,0.005520905,0.071141885,0.007548415,0.58560441,0.151007016,0.044055305
g per lb of material product,OC,0.013255743,0.016834794,0.008027863,0.011875583,0.010750481,0.008977193,0.036005013,0.01211283,0.033376873,0.040776734,0.014447885,0.018397212,0.006054268,0.000990131,0.002357448,0.127419099,0.019543407,0.079953795,0.084586039,0.003013938,0.048694314,0.127419099,0.099455733,0.027577501,0.067829311,0.028802963,0.01430735,0.126563403,0.007809082,0.064692401,0.005684288,0.013131146,0.01511898,0.01788545,0.025673766,0.016483366,0.028069842,0.035639727,0.151356451,0.268672299,0.029953947,0.321252096,0,0.108685911,0,0,0.086132091,0.004830689,0.066526141,0.01511898,0.307745755,1.077110144,0.009851969,0.009645251,0.060516549,0.338620017,0.213851507,0.217690714,0.23587841,0.249388376,0.685081488,0.26787955,0.058778068,0.07861216,0.176800994,0.157824409,0.138723489,0.041063923,0.024894362,0.016707405,0.08874483,0.002988355,0.011193994,0.161980704,0.010970316,1.205081814,0.292983017,0.071510331
g per lb of material product,CH4,2.241003639,2.846074622,1.359203896,2.008208507,1.841462572,2.180292456,6.068958804,1.782738465,5.597474567,6.818497453,2.095142801,2.803645999,3.358227482,0.310485242,1.133375647,9.007365666,1.71698639,5.799598785,6.31992591,0.26478956,3.655665916,9.007365666,13.71483491,1.713838752,8.4343966,2.861032371,2.623130224,18.80254316,1.180524396,9.621471384,0.039588268,1.792645305,1.979570077,12.74675715,8.51928152,12.14307352,10.46772688,6.713956228,24.57785139,40.24934703,4.032527881,70.78546335,0,15.99581198,0,0,16.20570269,0.910153187,8.830315972,1.979570077,44.89898365,157.1464428,1.531660806,1.499522835,8.123244364,2.967969108,11.05330936,12.10304275,12.53076893,12.84773678,14.27372982,9.521894971,4.571332265,2.243743741,21.91760841,11.81635248,11.5945473,7.852385496,5.540816212,2.576131207,10.70892707,0.811528812,2.988548966,26.73351008,1.99949876,205.8502946,46.654285,13.30952521
g per lb of material product,N2O,0.012071422,0.015330706,0.011728197,0.01198081,0.015795034,0.007521267,0.051244579,0.016657443,0.047439994,0.05778279,0.019668252,0.025385432,0.003900439,0.001842295,0.002397994,0.079499473,0.015102051,0.051164607,0.055866868,0.002329002,0.032310207,0.079499473,0.139718348,0.015382543,0.085010594,0.025161633,0.021222181,0.171213495,0.01081459,0.087645666,0.000468274,0.016252498,0.018045151,0.043570758,0.033352523,0.039005379,0.115636958,0.052626769,0.215949528,0.372989605,0.041429317,0.706003232,0,0.148692815,0,0,0.1326447,0.006689125,0.091775079,0.018045151,0.423283837,1.481493431,0.013821237,0.013531234,0.084113953,0.018302833,0.093864317,0.105446759,0.107088471,0.10829897,0.104150264,0.078827493,0.046521649,0.01577483,0.20895998,0.113972264,0.103738482,0.052991818,0.034043313,0.02345043,0.088593275,0.007775955,0.028655136,0.233747861,0.015178928,1.981337594,0.501160292,0.037226055
g per lb of material product,CO2,1364.310781,1732.674692,635.8872121,1172.006959,876.9764494,409.6228622,3245.926766,695.4873376,2965.378429,3602.248637,791.7001846,1213.282452,290.8087893,210.4793432,232.1682936,3702.026353,655.5292216,2361.567615,2597.964426,101.0941584,1499.341508,3702.026353,6113.157754,655.795296,3711.918272,1356.666221,1342.51095,8210.183234,454.0610237,4169.243563,20.49349047,758.8562969,829.1115146,982.9079794,1312.591045,812.8093636,1447.320428,2078.950617,8322.566739,14960.63798,1679.592281,47056.03495,0,5850.932332,0,0,8442.498137,469.7884052,3756.449966,829.1115146,17167.34509,60085.70781,619.2423709,605.4889535,3487.320082,1458.445599,5196.29672,5665.690479,5737.578651,5790.553931,6143.226863,4284.373733,1630.67457,1038.749371,9223.803797,5412.050191,4851.574903,2110.246214,2182.078191,1049.426005,5580.101491,190.889384,704.513995,11840.74147,724.9359565,97819.86697,20650.92849,6522.814049
g per lb of material product,"CO2 (VOC, CO, CO2)",1386.450943,1760.792698,639.2850675,1189.199152,882.0918861,413.4878261,3249.62702,697.0114438,2968.839306,3605.917934,792.9713977,1214.913378,293.9251638,210.6182621,233.1111255,3713.633484,657.3181575,2368.85474,2605.622468,101.3700439,1503.751402,3713.633484,6120.743422,657.3268135,3716.840114,1359.026861,1343.750991,8220.2037,454.671927,4174.361646,20.56955391,759.9127572,830.2261469,988.6847264,1325.397836,820.6341329,1453.928445,2082.155584,8335.12904,14981.91785,1690.098499,47081.42841,0,5859.378947,0,0,8449.671387,470.2969176,3761.535077,830.2261469,17191.35514,60169.74297,620.0188693,606.2491591,3491.905411,1463.725791,5207.207598,5676.772065,5750.489346,5804.823962,6157.640912,4295.242341,1633.935465,1043.049037,9236.188909,5420.341648,4865.813882,2116.07258,2184.812167,1050.739718,5585.185671,191.2393549,705.8098243,11853.72012,739.3449006,97918.48767,20674.5808,6539.941722
g per lb of material product,GHGs,1456.879979,1850.237573,683.1691566,1252.620322,941.5214474,480.8897355,3736.926517,778.2175241,3411.468528,4147.180516,886.724735,1375.793102,395.7056045,220.4210274,267.7478632,4004.921814,712.8297928,2556.401325,2810.024966,109.9309163,1621.983584,4004.921814,6569.213832,712.8183499,3992.39982,1451.525665,1428.068776,17431.15157,11067.95353,14115.92539,21.88129452,817.9990284,894.3952143,1382.633692,1589.8147,1195.262764,1798.604045,2297.520365,9129.691206,16288.2405,1822.053104,49392.08316,0,6378.656902,0,0,8970.993314,499.3741312,4050.764952,894.3952143,18650.49486,65276.73202,669.6313213,654.8206211,3757.892939,1557.615115,5563.680923,6067.806738,6154.790858,6218.955292,6613.452627,4601.788476,1783.40367,1114.541679,9949.091557,5805.034873,5241.140999,2365.686977,2360.058131,1134.238019,5929.930701,217.6458474,803.0599042,12717.6686,803.3522792,104619.051,22207.01683,6949.092383
g per lb of material product,Urban Emissions: grams,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
g per lb of material product,VOC,0.003982171,0.005057357,0.005106764,0.004279064,0.007004795,0.004679783,0.026689692,0.005945606,0.024407842,0.029680095,0.006820404,0.010249358,0.002716017,0.000159675,0.000849887,0.048492111,0.00694318,0.030210581,0.032828024,0.001070761,0.018854828,0.048492111,0.077484023,0.00694318,0.046446052,0.014878416,0.01151669,0.063090115,0.003862401,0.032232476,0.000836464,0.005366552,0.006895191,0.01993508,0.021339858,0.019880691,0.023710134,0.0232413,0.08626777,0.142040677,0.021343019,0.244190395,0,0.050363713,0,0,0.067464442,0.005235179,0.050833756,0.006895191,0.157310558,0.550586954,0.005203097,0.005093923,0.045566815,0.013879204,0.057813681,0.063925956,0.065665832,0.066954035,0.056662172,0.05164547,0.021302765,0.015127456,0.103224076,0.069198306,0.060823757,0.079513028,0.034401316,0.009176568,0.048648356,0.002843596,0.010425425,0.097653016,0.008246312,0.805544306,0.17471684,0.191957481
g per lb of material product,CO,0.03382145,0.042953242,0.0399422,0.035437328,0.055449653,0.015100566,0.103249401,0.029919255,0.095183085,0.114166935,0.033358144,0.045479463,0.013400708,0.000307222,0.003842463,0.187491858,0.026348462,0.116588764,0.133897383,0.004063397,0.076770429,0.187491858,0.217179175,0.026348462,0.133213661,0.087587592,0.089014355,0.421401757,0.025803645,0.215295141,0.001924005,0.030107624,0.041163006,0.096476896,0.06817881,0.079161525,0.091858685,0.114237411,0.395533602,0.697920782,0.056041916,1.093480333,0,0.319070749,0,0,0.578190588,0.029622962,0.112231906,0.041163006,0.798854551,2.795990929,0.036453863,0.035688972,0.11173194,0.051958375,0.236970204,0.25011075,0.266125264,0.278013509,0.319511437,0.183192564,0.060455143,0.049192185,0.392562025,0.190526248,0.221638184,0.095732541,0.088591557,0.059991997,0.384260587,0.012204112,0.044710032,0.742307873,0.01801465,6.059015545,1.16930832,0.205896193
g per lb of material product,NOx,0.080595272,0.102355995,0.087087743,0.082309285,0.121944447,0.030432778,0.276438422,0.056518625,0.252247244,0.302744174,0.060395645,0.096747924,0.034256642,0.001622957,0.010434052,0.270668038,0.043416534,0.170677376,0.2021956,0.006695595,0.116175598,0.270668038,0.399648568,0.043416534,0.242906473,0.142351326,0.204127357,0.816673952,0.049306528,0.416875524,0.011603521,0.050020138,0.077850093,0.151743967,0.121145999,0.123083974,0.146729525,0.207855615,0.67765154,1.226021657,0.092591968,6.381804897,0,0.577546331,0,0,1.340399623,0.067953363,0.179609593,0.077850093,1.41281115,4.944839027,0.072786624,0.071259384,0.1880736,0.084678202,0.438336822,0.466534051,0.476545488,0.483951936,0.651796337,0.313237741,0.099682691,0.126412729,0.735452026,0.342761082,0.376142303,0.138636565,0.301840791,0.119471713,0.932163043,0.018713969,0.068156006,1.584584654,0.028361322,13.40144432,2.460115555,0.409293501
g per lb of material product,PM10,0.010657832,0.013535447,0.011733249,0.010941742,0.016594399,0.002493802,0.034989188,0.005409618,0.031735435,0.037873158,0.005276888,0.010166328,0.004324501,7.25E-05,0.001220547,0.04337279,0.003650492,0.025894979,0.03124832,0.00056297,0.017746766,0.04337279,0.044963681,0.003650492,0.026785878,0.029434679,0.029144677,0.093973201,0.005545507,0.047902372,0.000772394,0.004216043,0.008397085,0.010846283,0.01088481,0.007996364,0.0107466,0.021272744,0.062269345,0.118992231,0.008552064,1.057308758,0,0.059167985,0,0,0.193176004,0.00979781,0.0159097,0.008397085,0.138941886,0.486296601,0.008749826,0.008566233,0.018275282,0.010430032,0.061931935,0.064223636,0.068200615,0.071153423,0.081198819,0.044908622,0.005087081,0.014891556,0.082032466,0.043140028,0.049365931,0.00730239,0.052755651,0.014345385,0.129125884,0.001306399,0.004666918,0.208139234,0.002419627,1.83608095,0.317079814,0.059410841
g per lb of material product,PM2.5,0.007150314,0.009080899,0.007826738,0.00732889,0.011068336,0.001776038,0.025044002,0.00375798,0.022702539,0.027144227,0.00368733,0.007205864,0.00295462,6.28E-05,0.000843623,0.023105109,0.00251446,0.014045223,0.01715826,0.000387774,0.009779246,0.023105109,0.03207094,0.00251446,0.019066089,0.015553822,0.01945452,0.062812556,0.003706241,0.032018166,0.000678234,0.002838271,0.00565233,0.007353262,0.007538072,0.005498642,0.007426725,0.014426749,0.042592229,0.080979041,0.00627423,0.735086864,0,0.039588586,0,0,0.128778141,0.006574775,0.012088097,0.00565233,0.094349927,0.330224746,0.005843439,0.00572083,0.013473494,0.006333998,0.038454443,0.040592778,0.041586267,0.042322003,0.054135105,0.026866029,0.004130551,0.010033595,0.057018237,0.029089093,0.030158321,0.005510891,0.034861763,0.009607656,0.087039099,0.000897759,0.003209217,0.138875094,0.00185677,1.225389611,0.21163735,0.043683943
