Unit,LCI,Virgin Hot Rolled Stamped Steel,Virgin Cold Rolled Stamped Steel,Virgin Galvanized Stamped Steel,Recycled Steel Rod and Bar,Stainless Steel Rod and Bar,Cast Iron,Forged Iron,Virgin Wrought Hot Rolled Stamped Aluminum,Virgin Wrought Cold Rolled Stamped Aluminum,Virgin Wrought Extruded Aluminum,Recycled Wrought Cold Rolled Stamped Aluminum,Recycled Wrought Hot Rolled Stamped Aluminum,Recycled Wrought Extruded Aluminum,Virgin Cast Aluminum,Recycled Cast Aluminum,Copper Wire,Glass Production,GFRP Fabrication,CFRP Fabrication,Plastic Blow Molding (HPDE),Plastic Calendaring (PVC),Plastic Compression Molding,Plastic Extrusion (HDPE),Plastic Extrusion (PVC),Plastic Extrusion (PP),Plastic Injection Molding (HDPE),Plastic Injection Molding (PVC),Plastic Injection Molding (PP),Rubber Compression Molding,Rubber Injection Molding (PVC)
,Energy Use: mmBtu per ton of material product transformed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmBtu per lb,Total energy,0.000937039,0.000937039,0.000937039,0.00295655,0.00295655,0.013094121,0.019946961,0.000937039,0.000937039,0.003656959,0.000937039,0.000937039,0.003656959,0.005230087,0.005230087,0.002267372,0.00103856,0.003739197,0.00589021,0.005779169,0.002263753,0.004564626,0.001747117,0.001783751,0.002366722,0.006777537,0.004271354,0.003071459,0.004564626,0.004271354
mmBtu per lb,Fossil fuels,0.000776051,0.000776051,0.000776051,0.002653151,0.002653151,0.01294065,0.019613537,0.000776051,0.000776051,0.003535837,0.000776051,0.000776051,0.003535837,0.005126204,0.005126204,0.001960069,0.000965224,0.003096785,0.005593439,0.004788932,0.001874829,0.004182649,0.001446954,0.001477294,0.001960108,0.005613124,0.003537515,0.002543768,0.004182649,0.003537515
mmBtu per lb,Coal,0.000438976,0.000438976,0.000438976,0.000827298,0.000827298,0.012430604,0.000909147,0.000438976,0.000438976,0.000336832,0.000438976,0.000438976,0.000336832,0.000283257,0.000283257,0.000844004,0.00069073,0.001751709,0.000808517,0.002700146,0.001060505,0.001041562,0.000818475,0.000835637,0.001108743,0.003175087,0.00200101,0.001438893,0.001041562,0.00200101
mmBtu per lb,Natural gas,0.000319179,0.000319179,0.000319179,0.001787804,0.001787804,0.000324755,0.018601932,0.000319179,0.000319179,0.003173451,0.000319179,0.000319179,0.003173451,0.004814601,0.004814601,0.000642597,0.000156356,0.001273666,0.002673951,0.001972433,0.000771092,0.003090123,0.000595112,0.000607591,0.000806166,0.002308602,0.001454932,0.001046217,0.003090123,0.001454932
mmBtu per lb,Petroleum,1.79E-05,1.79E-05,1.79E-05,3.80E-05,3.80E-05,0.000185291,0.000102459,1.79E-05,1.79E-05,2.56E-05,1.79E-05,1.79E-05,2.56E-05,2.83E-05,2.83E-05,0.000473468,0.000118139,7.14E-05,0.002110971,0.000116353,4.32E-05,5.10E-05,3.34E-05,3.41E-05,4.52E-05,0.000129435,8.16E-05,5.87E-05,5.10E-05,8.16E-05
Gal per lb,Water consumption,0.080855369,0.080855369,0.080855369,0.155458269,0.155458269,0.115353418,0.214003246,0.080855369,0.080855369,0.126266085,0.080855369,0.080855369,0.126266085,0.064130228,0.064130228,0.162138184,1.029374857,0.322648483,0.19071337,0.497487862,0.195335119,0.197898364,0.150755515,0.153916622,0.204220148,0.584821391,0.368567369,0.265030633,0.197898364,0.368567369
,Total Emissions: grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g per lb,VOC,0.007001122,0.007001122,0.007001122,0.027051034,0.027051034,1.125389515,0.224064007,0.007001122,0.007001122,0.162365141,0.007001122,0.007001122,0.162365141,0.058350332,0.058350332,0.016147169,0.013493028,0.027937557,0.048322098,0.043285089,0.01691372,0.043860666,0.013053651,0.013327366,0.017683058,0.050638641,0.031913591,0.02294853,0.043860666,0.031913591
g per lb,CO,0.020960391,0.020960391,0.020960391,0.098028717,0.098028717,0.298964663,0.928549748,0.020960391,0.020960391,0.168633755,0.020960391,0.020960391,0.168633755,0.240899145,0.240899145,0.060188446,0.075103966,0.083641177,0.228141222,0.13105518,0.050637335,0.164825088,0.039080824,0.039900288,0.052940629,0.151605081,0.095544874,0.068704721,0.164825088,0.095544874
g per lb,NOx ,0.04506475,0.04506475,0.04506475,0.167460861,0.167460861,0.476602093,1.341514629,0.04506475,0.04506475,0.239071588,0.04506475,0.04506475,0.239071588,0.349711231,0.349711231,0.157094183,0.091411115,0.179828173,0.548401792,0.283980172,0.108870053,0.26922316,0.084023605,0.085785449,0.113822125,0.325950276,0.205421069,0.147714857,0.26922316,0.205421069
g per lb,PM10,0.008476387,0.008476387,0.008476387,0.020257894,0.020257894,0.570809853,0.082333619,0.008476387,0.008476387,0.017581282,0.008476387,0.008476387,0.017581282,0.022109796,0.022109796,0.031877928,0.022962206,0.033824511,0.096271184,0.052340899,0.02047775,0.028534943,0.015804294,0.016135686,0.021409202,0.061309129,0.038638369,0.027784205,0.028534943,0.038638369
g per lb,PM2.5,0.003626704,0.003626704,0.003626704,0.01108054,0.01108054,0.254312272,0.071720785,0.003626704,0.003626704,0.013515188,0.003626704,0.003626704,0.013515188,0.018834331,0.018834331,0.014449638,0.013972836,0.014472145,0.048961307,0.022506976,0.008761604,0.016954107,0.006762021,0.00690381,0.009160135,0.026231706,0.016531801,0.011887742,0.016954107,0.016531801
g per lb,SOx,0.118343595,0.118343595,0.118343595,0.23536599,0.23536599,1.667055095,0.431646476,0.118343595,0.118343595,0.1267064,0.118343595,0.118343595,0.1267064,0.124283985,0.124283985,0.521272504,0.100339378,0.472242993,1.614814609,0.728174103,0.285901363,0.305051079,0.220652628,0.225279368,0.298905895,0.855971183,0.539451962,0.387910887,0.305051079,0.539451962
g per lb,BC,0.000287523,0.000287523,0.000287523,0.001328366,0.001328366,0.001691441,0.012490233,0.000287523,0.000287523,0.002165523,0.000287523,0.000287523,0.002165523,0.003241047,0.003241047,0.001102057,0.001284898,0.001147344,0.004411333,0.001894954,0.000694616,0.00222885,0.00053609,0.000547331,0.000726211,0.002079637,0.001310633,0.000942454,0.00222885,0.001310633
g per lb,OC,0.0006575,0.0006575,0.0006575,0.00301959,0.00301959,0.0047534,0.028288886,0.0006575,0.0006575,0.004904489,0.0006575,0.0006575,0.004904489,0.007341296,0.007341296,0.001796423,0.001470545,0.002623715,0.006645088,0.004092584,0.001588428,0.005061319,0.001225915,0.00125162,0.001660679,0.004755655,0.002997119,0.002155178,0.005061319,0.002997119
g per lb,CH4,0.123708294,0.123708294,0.123708294,0.472086086,0.472086086,1.72718032,3.869935832,0.123708294,0.123708294,0.685190853,0.123708294,0.123708294,0.685190853,1.008117237,1.008117237,0.30412462,0.145663401,0.493650503,0.932665235,0.763661874,0.298861717,0.763406528,0.230655155,0.235491632,0.312455765,0.89477369,0.56390616,0.405495491,0.763406528,0.56390616
g per lb,N2O,0.00101256,0.00101256,0.00101256,0.004247223,0.004247223,0.001834921,0.037470604,0.00101256,0.00101256,0.006546678,0.00101256,0.00101256,0.006546678,0.009740103,0.009740103,0.00272491,0.00058986,0.004040561,0.00937774,0.006293024,0.002446202,0.00700203,0.001887927,0.001927514,0.00255747,0.007323779,0.004615608,0.003319006,0.00700203,0.004615608
g per lb,CO2,64.44688417,64.44688417,64.44688417,192.4020718,192.4020718,193.2679838,1206.425737,64.44688417,64.44688417,224.747226,64.44688417,64.44688417,224.747226,317.204785,317.204785,163.0671061,102.7261009,257.1714125,419.9965306,397.4903059,155.694544,292.4265273,120.1617574,122.6813612,162.7764784,466.1399357,293.7716921,211.2463122,292.4265273,293.7716921
