Size,Technology,Fuel type,Range,Drive Cycle,Data,Unit,Source,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Car,ICEV-G,Gasoline,NA,City,Sales-weighted FC,L/100km,EPA - App I,11.09758006,11.09003211,10.97281827,11.25801581,11.4960611,11.48664517,11.78596245,11.60645502,11.76217351,11.77682662,11.86819415,11.8796128,11.92973304,12.28070082,12.39133166,12.33120266,12.25545599,12.19479315,12.35361811,12.16373211,12.26979347,11.85854674,11.77498347,11.21745728,10.87946875,11.05280305,10.42494879,10.15028105,10.13739224,9.913479377
Car,ICEV-D,Diesel,NA,City,Sales-weighted FC,L/100km,EPA - App I,7.346046576,9.672183193,7.966938386,6.712892996,8.357481048,8.747276761,9.61586874,NA,11.75881592,9.568614546,7.743015406,8.016188651,7.274715324,7.618666995,6.85166179,7.012796804,7.290584833,7.020650377,8.073673711,8.925216639,8.119634823,11.23507144,10.90041678,8.166034331,8.047123896,8.368015328,8.098223959,8.079311629,8.052228571,7.784629766
Car,ICEV-G,Gasoline,NA,Highway,Sales-weighted FC,L/100km,EPA - App I,8.526547803,8.478856965,8.34441832,8.445357794,8.554987411,8.522049263,8.562584653,8.441398384,8.484919743,8.366620635,8.415613408,8.41174149,8.418593506,8.703327031,8.814488686,8.803408085,8.787751263,8.684939069,8.714523161,8.671214105,8.698523737,8.465406195,8.399183685,8.080837584,7.885117085,7.828476318,7.447780844,7.287850181,7.271804488,7.11282254
Car,ICEV-D,Diesel,NA,Highway,Sales-weighted FC,L/100km,EPA - App I,6.277689305,8.566594768,6.993597167,5.651486632,7.035846335,7.347274212,8.011577053,NA,8.732199202,7.473192042,6.036111643,6.199741496,5.58010357,5.855388667,5.368676179,5.452942634,5.57363904,5.455044457,5.907006918,6.415812652,6.335115366,7.832284083,7.883853563,5.977266813,5.748005478,5.88285181,5.790072965,5.814161863,5.766271907,5.513765501
Car,ICEV-G,Gasoline,NA,Combined,Sales-weighted FC,L/100km,EPA - App I,9.924330994,9.882046536,9.740447286,9.922097288,10.08119431,10.0423233,10.19655593,10.02656442,10.10674609,10.03415256,10.08320667,10.06599687,10.07268094,10.36728148,10.45692136,10.40242681,10.33913956,10.23480394,10.30039473,10.17299585,10.23417051,9.924456607,9.850778201,9.434663016,9.172934252,9.214936899,8.727961445,8.518479318,8.504007758,8.317105541
Car,ICEV-D,Diesel,NA,Combined,Sales-weighted FC,L/100km,EPA - App I,6.857758542,9.158567152,7.507688666,6.206098184,7.718318932,8.061294077,8.820371945,NA,10.22934739,8.494780819,6.857436653,7.063387115,6.375680411,6.672779254,6.046754942,6.157646818,6.340214355,6.144970397,6.850859553,7.494856671,7.102458547,9.2954814,9.180977602,6.918436745,6.736627447,6.95147228,6.782576618,6.788176792,6.749232567,6.490238053
Light truck,ICEV-G,Gasoline,NA,City,Sales-weighted FC,L/100km,EPA - App I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.27057211,16.0502661,16.36853806,16.48426873,16.35362308,16.62019321,16.34607415,16.06111168,15.93869534,15.54880651,14.95616052,14.75949305,14.53435219,14.42821872,14.06056011,13.6622485,13.15979907
Light truck,ICEV-D,Diesel,NA,City,Sales-weighted FC,L/100km,EPA - App I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.43509014,NA,NA,NA,NA,15.29046079,12.14763497,12.6920161,13.00192278,13.13242126,13.35974832,13.21725501,12.80767054,12.70371731,12.12169879,11.29186587,11.44004452
Light truck,ICEV-G,Gasoline,NA,Highway,Sales-weighted FC,L/100km,EPA - App I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.30978215,12.20249667,12.48622273,12.48310244,12.31813447,12.41503813,12.09530707,11.9234016,11.76387942,11.45304322,11.00142311,10.86437796,10.66517519,10.54077492,10.2839451,9.978731754,9.655675824
Light truck,ICEV-D,Diesel,NA,Highway,Sales-weighted FC,L/100km,EPA - App I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.29403402,NA,NA,NA,NA,10.80193608,9.505426468,10.16502602,10.10795482,10.22795514,9.677053821,9.558702719,9.466265014,9.292594928,8.447745002,8.022299199,8.430763749
