Size,Model,Vehicle component,ICEV: Conventional Material,ICEV: Lightweight Material,HEV: Conventional Material,HEV: Lightweight Material,FCV: Conventional Material,FCV: Lightweight Material,PHEV: Conventional Material,PHEV: Lightweight Material,PHEV: Conventional Material,PHEV: Lightweight Material,PHEV: Conventional Material,PHEV: Lightweight Material,PHEV: Conventional Material,PHEV: Lightweight Material,EV: Conventional Material,EV: Lightweight Material,EV: Conventional Material,EV: Lightweight Material
,,Range,NA,NA,NA,NA,NA,NA,10,10,20,20,30,30,40,40,100,100,300,300
Car,1,Powertrain System,0.247025218,0.286164052,0.225177097,0.256441016,NA,NA,0.228345436,0.258737564,0.229839818,0.258737564,0.237713637,0.265426225,0.238770891,0.265763162,0.047935223,0.067881497,0.045461303,0.066029721
Car,1,Transmission System,0.052533124,0.061658063,0.049834695,0.05997677,0.028134729,0.032245217,0.049669677,0.059737911,0.049571189,0.059737911,0.047710664,0.058162794,0.047319341,0.058072723,0.057296714,0.070127267,0.055971169,0.069157305
Car,1,Chassis,0.239,0.23,0.245,0.245,0.249966249,0.272932726,0.249,0.256,0.249,0.256,0.249,0.256,0.249,0.256,0.289,0.312,0.289,0.312
Car,1,Traction Motor,0,0,0.021262803,0.01559396,0.042202094,0.04491298,0.020861264,0.016328362,0.0208199,0.016328362,0.030216754,0.022101862,0.032492614,0.022454786,0.071811881,0.054231753,0.093285281,0.06731311
Car,1,Generator,0,0,0.021262803,0.01559396,0,0,0.020861264,0.016328362,0.0208199,0.016328362,0.030216754,0.022101862,0.032492614,0.022454786,,,,
Car,1,Electronic Controller,0,0,0.018,0.018,0.036791569,0.039154906,0.018,0.017,0.018,0.017,0.018,0.017,0.018,0.017,0.059,0.066,0.059,0.066
Car,1,Fuel Cell Onboard Storage,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
Car,1,Body,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Car,2,Powertrain System,0.168091873,0.194509833,0.225177097,0.256441016,NA,NA,0.228345436,0.258737564,0.229839818,0.258737564,0.237713637,0.265426225,0.238770891,0.265763162,0.047935223,0.067881497,0.045461303,0.066029721
Car,2,Transmission System,0.066026385,0.060413073,0.049834695,0.05997677,0.028134729,0.032245217,0.049669677,0.059737911,0.049571189,0.059737911,0.047710664,0.058162794,0.047319341,0.058072723,0.057296714,0.070127267,0.055971169,0.069157305
Car,2,Chassis,0.240055625,0.223067903,0.245,0.245,0.249966249,0.272932726,0.249,0.256,0.249,0.256,0.249,0.256,0.249,0.256,0.289,0.312,0.289,0.312
Car,2,Traction Motor,0,0,0.021262803,0.01559396,0.042202094,0.04491298,0.020861264,0.016328362,0.0208199,0.016328362,0.030216754,0.022101862,0.032492614,0.022454786,0.071811881,0.054231753,0.093285281,0.06731311
Car,2,Generator,0,0,0.021262803,0.01559396,0,0,0.020861264,0.016328362,0.0208199,0.016328362,0.030216754,0.022101862,0.032492614,0.022454786,,,,
Car,2,Electronic Controller,0,0,0.018,0.018,0.036791569,0.039154906,0.018,0.017,0.018,0.017,0.018,0.017,0.018,0.017,0.059,0.066,0.059,0.066
Car,2,Fuel Cell Onboard Storage,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
Car,2,Body,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUV,1,Powertrain System,0.231315251,0.26436591,0.205601913,0.230569159,NA,NA,0.208213864,0.232058307,0.209998775,0.233034694,0.217870402,0.24016671,0.218998809,0.240455365,0.031150782,0.04714777,0.028302192,0.04571146
SUV,1,Transmission System,0.043184536,0.050129526,0.04103584,0.048853427,0.029184004,0.033376926,0.041013399,0.048821625,0.040746018,0.048758147,0.039253233,0.04755249,0.039008241,0.047372276,0.047061166,0.05672345,0.045574125,0.056003397
SUV,1,Chassis,0.274,0.266,0.279,0.291,0.298574806,0.332577231,0.285,0.303,0.321,0.339,0.357,0.375,0.393,0.411,0.328,0.361,0.328,0.361
