US,Annual global EV sales (Millions),EV % of new car sales,Light truck,Car
2016,0,0.35,0,100
2017,0,0.95,0,100
2018,0.4,2.2,0,100
2019,0.5,2.8,0,100
2020,0.5,3.2,0,100
2021,0.5,3.6,2.5,97.5
2022,1,5,5,95
2023,1,7,10,90
2024,1.6,8,15,85
2025,2,9.5,20,80
2026,2.33,12,21,79
2027,3.1,16,22,78
2028,3.8,20,23,77
2029,4.8,25,24,76
2030,6.25,29,25,75
2031,7.33,34.2,26,74
2032,8,39.4,27,73
2033,8.75,44.6,28,72
2034,9.8,49.8,29,71
2035,10.1,55,30,70
2036,10.5,55.6,30,70
2037,10.6,56.2,31,69
2038,10.8,56.8,31,69
2039,11,57.4,32,68
2040,11.2,58,33,67
