"Year","Value","Data_type","Region","Source","Unit","Aeo_year","Aeo_case"
2016,36.615654,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2017,30.911901,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2018,25.754103,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2019,10.961987,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2020,13.086353,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2021,4.933625,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2022,5.212942,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2023,7.605929,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2024,10.587425,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2025,10.547539,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2026,10.65158,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2027,10.648193,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2028,10.692121,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2029,19.033016,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2030,19.705351,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2031,20.19651,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2032,19.001778,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2033,18.999296,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2034,18.995365,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2035,19.608484,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2036,21.08416,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2037,23.278383,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2038,22.56126,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2039,25.659401,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2040,23.416172,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2041,25.63644,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2042,25.625025,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2043,25.614796,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2044,25.605301,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2045,25.597715,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2046,25.589867,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2047,25.581905,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2048,25.572842,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2049,25.563812,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2050,25.553091,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"HOP"
2016,12.792,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2017,16.30761,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2018,16.30718,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2019,16.141262,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2020,15.658401,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2021,14.679386,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2022,14.566113,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2023,16.293427,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2024,16.227812,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2025,16.12097,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2026,16.141142,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2027,16.14661,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2028,16.151714,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2029,16.182243,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2030,16.183306,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2031,16.183529,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2032,16.183136,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2033,16.184498,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2034,16.184418,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2035,16.185129,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2036,16.277811,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2037,16.279583,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2038,16.27986,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2039,16.277712,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2040,16.274998,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2041,16.27318,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2042,16.27037,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2043,16.267349,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2044,16.264753,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2045,16.261909,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2046,16.259705,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2047,16.254715,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2048,16.250496,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2049,16.244833,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2050,16.237907,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"HOP"
2016,99.513,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2017,103.270477,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
