"Year","Value","Data_type","Region","Source","Unit","Aeo_year","Aeo_case"
2016,36.615654,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2017,29.467691,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2018,25.459686,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2019,8.676624,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2020,16.649553,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2021,17.179922,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2022,16.413805,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2023,16.464701,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2024,30.687346,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2025,30.899649,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2026,30.980362,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2027,31.164467,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2028,31.161459,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2029,31.156816,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2030,30.774868,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2031,30.566843,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2032,30.554758,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2033,30.545073,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2034,30.534029,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2035,30.522511,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2036,30.512148,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2037,30.500946,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2038,30.39864,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2039,30.389013,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2040,30.374605,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2041,30.361271,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2042,30.347319,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2043,30.335176,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2044,30.40414,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2045,30.404938,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2046,30.657883,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2047,30.647388,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2048,30.904341,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2049,30.908657,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2050,31.183935,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"LOP"
2016,12.792,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"LOP"
2017,16.30761,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"LOP"
2018,16.310009,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"LOP"
2019,16.150085,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"LOP"
2020,16.411325,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"LOP"
2021,16.199705,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"LOP"
2022,16.199419,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"LOP"
2023,16.447277,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"LOP"
2024,16.310457,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"LOP"
2025,16.425173,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"LOP"
2026,16.424055,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"LOP"
2027,16.424303,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"LOP"
