"Year","Value","Data_type","Region","Source","Unit","Aeo_year","Aeo_case"
2016,36.615654,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"REF"
2017,29.593918,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"REF"
2018,25.459166,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"REF"
2019,16.377916,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"REF"
2020,24.262993,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"REF"
2021,23.91609,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"REF"
2022,17.500519,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"REF"
2023,13.530154,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"REF"
2024,30.379242,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"REF"
2025,30.382097,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"REF"
2026,30.527309,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"REF"
2027,30.686975,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"REF"
2028,30.686314,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"REF"
2029,30.684065,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"REF"
2030,30.672626,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"REF"
2031,30.370792,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"REF"
2032,26.740318,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"REF"
2033,23.755007,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"REF"
2034,22.223358,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"REF"
2035,22.105921,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"REF"
2036,23.008167,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"REF"
2037,24.286909,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"REF"
2038,26.451143,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"REF"
2039,29.235802,"Electricity Generation","Florida Reliability Coordinating Council","Coal","billion kilowatthours",2018,"REF"
