barrels08,barrelsA08,charge120,charge240,city08,city08U,cityA08,cityA08U,cityCD,cityE,cityUF,co2,co2A,co2TailpipeAGpm,co2TailpipeGpm,comb08,comb08U,combA08,combA08U,combE,combinedCD,combinedUF,cylinders,displ,drive,engId,eng_dscr,feScore,fuelCost08,fuelCostA08,fuelType,fuelType1,ghgScore,ghgScoreA,highway08,highway08U,highwayA08,highwayA08U,highwayCD,highwayE,highwayUF,hlv,hpv,id,lv2,lv4,mpgData,phevBlended,pv2,pv4,range,rangeCity,rangeCityA,rangeHwy,rangeHwyA,trany,UCity,UCityA,UHighway,UHighwayA,make,model,VClass,year,Sales,youSaveSpend,tCharger,sCharger,atvType,fuelType2,rangeA,evMotor,mfrCode,c240Dscr,charge240b,c240bDscr,startStop,phevCity,phevHwy,phevComb
0.24,0,0,0,81,0,0,0,0,41,0,0,-1,0,0,85,0,0,0,40,0,0,,,,0,,-1,800,0,Electricity,Electricity,-1,-1,91,0,0,0,0,37,0,0,0,16423,0,0,N,FALSE,0,0,90,0,0,0,0,,116.2069,0,129.6154,0,Nissan,Altra EV,Midsize Station Wagons,2000,,2750,,,EV,,,62 KW AC Induction,,,0,,N,0,0,0
0.282,0,0,0,81,0,0,0,0,41,0,0,-1,0,0,72,0,0,0,47,0,0,,,2-Wheel Drive,0,,-1,900,0,Electricity,Electricity,-1,-1,64,0,0,0,0,53,0,0,0,16424,0,0,N,FALSE,0,0,88,0,0,0,0,,116.2069,0,91.0811,0,Toyota,RAV4 EV,Sport Utility Vehicle - 2WD,2000,,2250,,,EV,,,50 KW DC,,,0,,N,0,0,0
0.282,0,0,0,81,0,0,0,0,41,0,0,-1,0,0,72,0,0,0,47,0,0,,,2-Wheel Drive,0,,-1,900,0,Electricity,Electricity,-1,-1,64,0,0,0,0,53,0,0,0,17328,0,0,N,FALSE,0,0,88,0,0,0,0,,116.2069,0,91.0811,0,Toyota,RAV4 EV,Sport Utility Vehicle - 2WD,2001,,2250,,,EV,,,50 KW DC,,,0,,N,0,0,0
0.312,0,0,0,74,0,0,0,0,46,0,0,-1,0,0,65,0,0,0,52,0,0,,,,0,,-1,1000,0,Electricity,Electricity,-1,-1,58,0,0,0,0,59,0,0,0,17329,0,0,N,FALSE,0,0,29,0,0,0,0,,105.3125,0,82.1951,0,Ford,Th!nk,Two Seaters,2001,,1750,,,EV,,,27 KW AC Induction,,,0,,N,0,0,0
0.522,0,0,0,45,0,0,0,0,75,0,0,-1,0,0,39,0,0,0,87,0,0,,,2-Wheel Drive,0,,-1,1700,0,Electricity,Electricity,-1,-1,33,0,0,0,0,102,0,0,0,17330,0,0,N,FALSE,0,0,38,0,0,0,0,,62.4074,0,46.8056,0,Ford,Explorer USPS Electric,Sport Utility Vehicle - 2WD,2001,,-1750,,,EV,,,67 KW AC Induction,,,0,,N,0,0,0
0.27,0,0,0,84,0,0,0,0,40,0,0,-1,0,0,75,0,0,0,45,0,0,,,,0,,-1,900,0,Electricity,Electricity,-1,-1,66,0,0,0,0,51,0,0,0,17331,0,0,N,FALSE,0,0,33,0,0,0,0,,120.3571,0,93.6111,0,Nissan,Hyper-Mini,Two Seaters,2001,,2250,,,EV,,,24 KW AC Synchronous,,,0,,N,0,0,0
0.258,0,0,0,87,0,0,0,0,39,0,0,-1,0,0,78,0,0,0,43,0,0,,,2-Wheel Drive,0,,-1,850,0,Electricity,Electricity,-1,-1,69,0,0,0,0,49,0,0,0,18290,0,0,N,FALSE,0,0,95,0,0,0,0,,124.8148,0,99.1176,0,Toyota,RAV4 EV,Sport Utility Vehicle - 2WD,2002,,2500,,,EV,,,50 KW DC,,,0,,N,0,0,0
0.522,0,0,0,45,0,0,0,0,75,0,0,-1,0,0,39,0,0,0,87,0,0,,,2-Wheel Drive,0,,-1,1700,0,Electricity,Electricity,-1,-1,33,0,0,0,0,102,0,0,0,18291,0,0,N,FALSE,0,0,38,0,0,0,0,,62.4074,0,46.8056,0,Ford,Explorer USPS Electric,Sport Utility Vehicle - 2WD,2002,,-1750,,,EV,,,67 KW AC Induction,,,0,,N,0,0,0
0.258,0,0,0,87,0,0,0,0,39,0,0,-1,0,0,78,0,0,0,43,0,0,,,2-Wheel Drive,0,,-1,850,0,Electricity,Electricity,-1,-1,69,0,0,0,0,49,0,0,0,19296,0,0,N,FALSE,0,0,95,0,0,0,0,,124.8148,0,99.1176,0,Toyota,RAV4 EV,Sport Utility Vehicle - 2WD,2003,,2500,,,EV,,,50 KW DC,,,0,,N,0,0,0
0.348,0,0,0,62,0,0,0,0,54,0,0,-1,0,0,58,0,0,0,58,0,0,,,2-Wheel Drive,0,,-1,1150,0,Electricity,Electricity,-1,-1,54,0,0,0,0,63,0,0,0,30965,0,0,N,FALSE,0,0,50,0,0,0,0,Automatic (A1),88.6842,0,76.5909,0,Ford,Ranger Pickup 2WD,Standard Pickup Trucks 2WD,2001,,1000,,,EV,,,67 KW AC  Induction,,,0,,N,0,0,0
