Category,Source,Technology,Size,Data,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
material content (%),TEDB,Glo,LDV,Regular steel,,,,,,,,,,,,,,,,,,,,,0.441256091,0.440376851,0.438914027,0.433619122,0.432474629,0.424141466,0.421966794,0.419166243,0.415132409,0.408213756,0.406771222,0.401088032,0.403336605,0.4002457,0.38339719,0.381683168,0.35805501,0.343367347,0.341273821,0.345267902,
material content (%),TEDB,Glo,LDV,High and medium strength steel,,,,,,,,,,,,,,,,,,,,,0.0877098,0.089636608,0.092094756,0.098207327,0.101483216,0.104561763,0.108301405,0.112608033,0.116015132,0.11850569,0.12223052,0.12363996,0.127085378,0.128501229,0.133844189,0.138366337,0.149312377,0.154591837,0.162738215,0.162493741,
material content (%),TEDB,Glo,LDV,Stainless steel,,,,,,,,,,,,,,,,,,,,,0.013806172,0.014266487,0.01463934,0.015328657,0.015612802,0.015889288,0.016091954,0.016268429,0.016393443,0.017318159,0.017674882,0.018051434,0.018400393,0.018427518,0.017624521,0.018069307,0.017927308,0.017346939,0.018555667,0.018277416,
material content (%),TEDB,Glo,LDV,Other steels,,,,,,,,,,,,,,,,,,,,,0.012452626,0.011843876,0.011179132,0.01039231,0.007806401,0.00666325,0.00715198,0.007625826,0.008070618,0.008411677,0.00871297,0.008654797,0.008341511,0.008353808,0.007918263,0.008168317,0.007858546,0.007653061,0.008024072,0.008012018,
material content (%),TEDB,Glo,LDV,Iron castings,,,,,,,,,,,,,,,,,,,,,0.126150514,0.119515478,0.11658238,0.113795791,0.113453031,0.110712455,0.098084291,0.090238943,0.084741488,0.081890153,0.081652975,0.081849654,0.078999019,0.073955774,0.052618135,0.058663366,0.067534381,0.071428571,0.070962889,0.067851778,
material content (%),TEDB,Glo,LDV,Aluminum,,,,,,,,,,,,,,,,,,,,,0.062533839,0.060296097,0.060420548,0.063652897,0.066874837,0.068682727,0.071264368,0.073462125,0.075409836,0.076942108,0.078665671,0.079871414,0.076790972,0.077395577,0.082758621,0.085148515,0.087180747,0.092857143,0.095035105,0.099649474,
material content (%),TEDB,Glo,LDV,Magnesium castings,,,,,,,,,,,,,,,,,,,,,0.001082837,0.001615074,0.001597019,0.001818654,0.001821494,0.002050231,0.002554278,0.002287748,0.002522068,0.002474023,0.00248942,0.002472799,0.002453386,0.002702703,0.003065134,0.003217822,0.002946955,0.002806122,0.002758275,0.002754131,
material content (%),TEDB,Glo,LDV,Copper and brass,,,,,,,,,,,,,,,,,,,,,0.013535463,0.013728129,0.014107,0.01376981,0.013531095,0.013326499,0.016858238,0.0175394,0.017654477,0.017565562,0.014687578,0.015084075,0.013002944,0.015724816,0.016091954,0.016089109,0.016453831,0.018367347,0.018304915,0.017776665,
material content (%),TEDB,Glo,LDV,Lead,,,,,,,,,,,,,,,,,,,,,0.008933406,0.009152086,0.009315944,0.009093271,0.009107468,0.009226038,0.00945083,0.008896797,0.008827238,0.009153884,0.009210854,0.009643917,0.01030422,0.011056511,0.011494253,0.00990099,0.010068762,0.009438776,0.009027081,0.00901352,
material content (%),TEDB,Glo,LDV,Zinc castings,,,,,,,,,,,,,,,,,,,,,0.005143476,0.005114401,0.004791057,0.004416732,0.003642987,0.003331625,0.002809706,0.002541942,0.002522068,0.002474023,0.00248942,0.002472799,0.002208047,0.002457002,0.002298851,0.002227723,0.002210216,0.002040816,0.002006018,0.002003005,
material content (%),TEDB,Glo,LDV,Powder metal parts,,,,,,,,,,,,,,,,,,,,,0.007850568,0.007537012,0.008251264,0.008573655,0.009107468,0.009226038,0.009706258,0.009913574,0.010340479,0.010638298,0.010455564,0.010385757,0.010549558,0.010565111,0.010472542,0.010148515,0.010068762,0.01122449,0.011283852,0.011517276,
material content (%),TEDB,Glo,LDV,Other metals,,,,,,,,,,,,,,,,,,,,,0.001082837,0.001076716,0.001064679,0.001039231,0.001040853,0.001025115,0.001021711,0.001016777,0.001008827,0.001237011,0.000995768,0.0012364,0.001226693,0.001228501,0.001277139,0.001485149,0.001227898,0.00127551,0.001253761,0.001001502,
material content (%),TEDB,Glo,LDV,Plastics and plastic composites,,,,,,,,,,,,,,,,,,,,,0.064970222,0.069179004,0.069204152,0.072226552,0.068956544,0.073295746,0.076117497,0.078037621,0.080453972,0.083621969,0.082648743,0.083580613,0.081207066,0.084275184,0.098084291,0.093564356,0.092583497,0.090561224,0.084252758,0.08237356,
material content (%),TEDB,Glo,LDV,Rubber,,,,,,,,,,,,,,,,,,,,,0.040335679,0.041453567,0.042054831,0.043128085,0.041373927,0.042542286,0.041634738,0.042704626,0.042622951,0.042553191,0.043066965,0.043026706,0.046368989,0.045454545,0.054150702,0.04950495,0.054518664,0.053571429,0.050902708,0.049323986,
material content (%),TEDB,Glo,LDV,Coatings,,,,,,,,,,,,,,,,,,,,,0.006226313,0.006729475,0.006388076,0.006755001,0.006245121,0.006406971,0.006641124,0.006609049,0.00630517,0.006927264,0.006721434,0.007171118,0.007114818,0.006879607,0.008684547,0.008415842,0.008349705,0.008418367,0.008024072,0.007010516,
material content (%),TEDB,Glo,LDV,Textiles,,,,,,,,,,,,,,,,,,,,,0.011369789,0.011036339,0.012509981,0.011171733,0.010928962,0.011276269,0.011494253,0.011438739,0.011601513,0.012617516,0.011949216,0.011869436,0.011285574,0.011793612,0.013537676,0.013366337,0.011787819,0.0125,0.012537613,0.012268403,
material content (%),TEDB,Glo,LDV,Fluids and lubricants,,,,,,,,,,,,,,,,,,,,,0.051976178,0.053297443,0.052967793,0.052221356,0.053083528,0.053049718,0.053128991,0.053126589,0.05296343,0.051954478,0.052277819,0.052176063,0.052747792,0.052579853,0.055938697,0.055940594,0.054764244,0.055357143,0.055667001,0.056084126,
material content (%),TEDB,Glo,LDV,Glass,,,,,,,,,,,,,,,,,,,,,0.026258798,0.026648721,0.026616982,0.025720966,0.026281551,0.02639672,0.026564496,0.026436197,0.026481715,0.025977239,0.025889968,0.025964392,0.026005888,0.026044226,0.023754789,0.023267327,0.024066798,0.024234694,0.024072217,0.024036054,
material content (%),TEDB,Glo,LDV,Other materials,,,,,,,,,,,,,,,,,,,,,0.017325393,0.017496635,0.017301038,0.015068849,0.017174083,0.018195797,0.019157088,0.020081342,0.020933165,0.021523998,0.021409012,0.021760633,0.022571148,0.022358722,0.022988506,0.022772277,0.023084479,0.022959184,0.02331996,0.023284927,
material content (lbs),Ducker,Glo,LDV,Aluminum,84,91.2,98.4,105.6,112.8,120,123.8,127.6,131.4,135.2,139,144.2,149.4,154.6,159.8,165,174.4,183.8,193.2,202.6,212,221.2,230.4,239.6,248.8,258,267.6,277.2,286.8,296.4,306,312.8,319.6,326.4,333.2,340,351.4,362.8,374.2,385.6,397
material content (%),Modaresi,Glo,LDV,Cast Aluminum,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713
material content (%),Modaresi,Glo,LDV,Wrought Aluminum,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287
curb weight (lbs),EPA,Glo,LDV,curb weight,4060.398912,4079.197817,3981.817501,3715.237624,3655.465025,3227.875662,3201.759039,3201.843448,3257.340198,3261.575944,3271.127113,3237.974362,3220.506504,3283.46494,3351.456824,3426.037795,3409.555472,3512.304827,3518.930404,3603.432248,3612.509268,3658.785761,3727.285495,3744.005378,3835.374547,3821.286174,3879.287568,3950.932465,3998.834953,4111.072272,4059.441491,4066.533121,4093.314534,4085.003261,3914.192915,4001.322797,4125.93362,3978.834829,4002.972921,4059.639386,4035.455341
