"Year","Value","Data","Technology","Size","Class","Unit","Aeo_year","Aeo_case"
2016,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2017,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2018,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2019,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2020,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2021,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2022,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2023,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2024,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2025,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2026,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2027,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2028,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2029,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2030,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2031,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2032,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2033,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2034,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2035,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2036,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2037,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2038,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2039,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2040,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2041,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2042,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2043,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2044,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2045,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2046,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2047,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2048,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2049,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2050,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2016,92.131432,"New Light-Duty Vehicle","100 Mile Electric Vehicle","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2017,92.550186,"New Light-Duty Vehicle","100 Mile Electric Vehicle","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2018,92.998489,"New Light-Duty Vehicle","100 Mile Electric Vehicle","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2019,93.828857,"New Light-Duty Vehicle","100 Mile Electric Vehicle","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2020,94.789406,"New Light-Duty Vehicle","100 Mile Electric Vehicle","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
2021,95.914566,"New Light-Duty Vehicle","100 Mile Electric Vehicle","Two Seater Cars, High price, AEO2018","Two Seater Cars","MPG",2018,"HOP"
