"Year","Value","Data","Technology","Size","Class","Unit","Aeo_year","Aeo_case"
2016,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, Reference, AEO2018","Two Seater Cars","MPG",2018,"REF"
2017,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, Reference, AEO2018","Two Seater Cars","MPG",2018,"REF"
2018,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, Reference, AEO2018","Two Seater Cars","MPG",2018,"REF"
2019,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, Reference, AEO2018","Two Seater Cars","MPG",2018,"REF"
2020,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, Reference, AEO2018","Two Seater Cars","MPG",2018,"REF"
2021,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, Reference, AEO2018","Two Seater Cars","MPG",2018,"REF"
2022,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, Reference, AEO2018","Two Seater Cars","MPG",2018,"REF"
2023,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, Reference, AEO2018","Two Seater Cars","MPG",2018,"REF"
2024,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, Reference, AEO2018","Two Seater Cars","MPG",2018,"REF"
2025,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, Reference, AEO2018","Two Seater Cars","MPG",2018,"REF"
2026,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, Reference, AEO2018","Two Seater Cars","MPG",2018,"REF"
2027,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, Reference, AEO2018","Two Seater Cars","MPG",2018,"REF"
2028,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, Reference, AEO2018","Two Seater Cars","MPG",2018,"REF"
2029,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, Reference, AEO2018","Two Seater Cars","MPG",2018,"REF"
2030,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, Reference, AEO2018","Two Seater Cars","MPG",2018,"REF"
2031,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, Reference, AEO2018","Two Seater Cars","MPG",2018,"REF"
2032,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, Reference, AEO2018","Two Seater Cars","MPG",2018,"REF"
2033,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, Reference, AEO2018","Two Seater Cars","MPG",2018,"REF"
2034,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, Reference, AEO2018","Two Seater Cars","MPG",2018,"REF"
2035,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, Reference, AEO2018","Two Seater Cars","MPG",2018,"REF"
2036,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, Reference, AEO2018","Two Seater Cars","MPG",2018,"REF"
2037,0,"New Light-Duty Vehicle","Diesel-Electric Hybrid","Two Seater Cars, Reference, AEO2018","Two Seater Cars","MPG",2018,"REF"
