Year,Size,Technology,Fuel type,Range,Data,Unit,Source,value
2012,Car,BEV,Electricity,100,Combined,kWh/100km,EPA,20.91811498
2012,Car,BEV,Electricity,100,City,kWh/100km,EPA,19.68080651
2012,Car,BEV,Electricity,100,Highway,kWh/100km,EPA,22.77679464
2013,Car,BEV,Electricity,100,Combined,kWh/100km,EPA,18.21762026
2013,Car,BEV,Electricity,100,City,kWh/100km,EPA,16.46629238
2013,Car,BEV,Electricity,100,Highway,kWh/100km,EPA,20.55778541
2014,Car,BEV,Electricity,100,Combined,kWh/100km,EPA,18.52515008
2014,Car,BEV,Electricity,100,City,kWh/100km,EPA,16.92729246
2014,Car,BEV,Electricity,100,Highway,kWh/100km,EPA,20.31696089
2015,Car,BEV,Electricity,100,Combined,kWh/100km,EPA,18.30877499
2015,Car,BEV,Electricity,100,City,kWh/100km,EPA,16.80728049
2015,Car,BEV,Electricity,100,Highway,kWh/100km,EPA,20.24129765
2012,Car,BEV,Electricity,300,Combined,kWh/100km,EPA,23.6121053
2012,Car,BEV,Electricity,300,City,kWh/100km,EPA,23.6121053
2012,Car,BEV,Electricity,300,Highway,kWh/100km,EPA,22.9907341
2013,Car,BEV,Electricity,300,Combined,kWh/100km,EPA,21.74799172
2013,Car,BEV,Electricity,300,City,kWh/100km,EPA,22.36936291
2013,Car,BEV,Electricity,300,Highway,kWh/100km,EPA,21.74799172
2014,Car,BEV,Electricity,300,Combined,kWh/100km,EPA,23.6121053
2014,Car,BEV,Electricity,300,City,kWh/100km,EPA,23.6121053
2014,Car,BEV,Electricity,300,Highway,kWh/100km,EPA,22.9907341
2015,Car,BEV,Electricity,300,Combined,kWh/100km,EPA,23.6121053
2015,Car,BEV,Electricity,300,City,kWh/100km,EPA,23.6121053
2015,Car,BEV,Electricity,300,Highway,kWh/100km,EPA,22.9907341
2012,Car,BEV,Electricity,all,Combined,kWh/100km,EPA,21.42296679
2012,Car,BEV,Electricity,all,City,kWh/100km,EPA,20.41752902
2012,Car,BEV,Electricity,all,Highway,kWh/100km,EPA,22.81688674
2013,Car,BEV,Electricity,all,Combined,kWh/100km,EPA,19.6060131
2013,Car,BEV,Electricity,all,City,kWh/100km,EPA,18.78779905
