Size,Technology,Aeo_case,Fc_impro,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Car,ICEV-G,REF,Med,0,0,0.560300035,-1.124910017,-1.723296075,-1.788205387,-2.031166705,-2.060614252,-3.722206849,-2.350943639,-4.197317566,-0.017870918,-0.140735909,0.083907759,0.163281625,0.220671898,0.230086454,0.278495692,0.285466988,0.281557323,0.279151762,0.277980531,0.267251889,0.276018922,0.272534718,0.279478776,0.274255088,0.278407075,0.282684698,0.279481815,0.286647388,0.292291683,0.289104443,0.290715587,0.295488044,0.29914362
Car,ICEV-G,REF,High,0,0,-0.149306841,-2.503241232,-3.497624837,-3.336726246,-4.351584979,-4.975849908,-6.412966454,-3.407299531,-5.689420898,-0.109878964,0.055168297,0.252398358,0.29814532,0.315558691,0.271703443,0.272435357,0.251998555,0.237371514,0.228383457,0.220318017,0.172618692,0.199955744,0.178792357,0.198181541,0.188512233,0.191337076,0.202090696,0.201086649,0.192780163,0.20697463,0.249030896,0.410111753,0.410619216,0.416661319
Car,BEV100,REF,Med,0,0,-0.208510177,-0.397516075,-0.7420346,-0.5640277,-0.58031116,-0.791655443,-1.372467469,-0.621911636,-1.579257991,-0.003349672,-0.016773279,-0.010865248,-0.005167588,0.000633827,0.000703349,0.000603912,0.000482748,0.000368339,0.000253928,0.00018055,0.00011393,7.39E-05,0,0,7.24E-06,-2.56E-05,-2.94E-05,-0.000198895,-9.22E-05,-5.89E-05,-3.67E-05,-2.61E-05,0,0
Car,BEV100,REF,High,0,0,-0.611354545,-0.653632993,-1.287606601,-1.129455349,-1.420575351,-2.312628246,-2.984151333,-1.757121476,-2.818289474,-0.017332375,0.002006836,0.001553641,0.000359125,-9.60E-05,0.000916064,0.001259844,0.00129731,0.001289645,0.000930512,0.000717335,0.000425409,0.000476307,0.000123878,0.000264082,0.000183418,0.000145966,0.000183418,0.000212228,8.07E-05,0.000169014,5.86E-05,8.07E-05,9.51E-05,8.07E-05
Car,BEV300,REF,Med,0,0,-0.327445913,-0.572620748,-0.697512244,-0.75374009,-0.880368131,-1.086594542,-1.160209365,-1.019908673,-0.420685904,-0.002075438,-0.002013523,0.001170261,0.000693705,0.000124981,0.000193153,0.000399563,0.00036611,0.000158438,0.000154651,9.59E-05,1.45E-05,-9.47E-06,-2.90E-05,-0.000168537,-0.000202623,-0.000225978,-0.00047657,-0.000534638,-6.25E-05,-0.000207668,-0.000139497,-6.25E-05,3.35E-05,0
Car,BEV300,REF,High,0,0,-0.213083455,-1.252583893,-1.588452461,-1.206270965,-1.333666399,-1.598766496,-2.335371382,-0.490727814,-2.607586365,-0.009997608,0.005367145,9.47E-05,8.76E-05,6.02E-05,6.81E-05,0.000384887,0.000452134,0.001120171,0.000776871,0.000586638,0.000405251,0.000323848,6.11E-05,0.00023625,0.000141573,9.47E-05,0.000121223,0.000101756,1.33E-05,6.11E-05,6.02E-05,3.45E-05,-7.08E-06,4.69E-05
Car,FFV,REF,Med,0,0,0.562711143,-1.114582813,-1.738213977,-1.798844903,-2.040468035,-2.06421663,-3.716510686,-2.329676115,-4.260193312,-0.011098959,-0.209709476,0.072161816,0.157060534,0.222087924,0.228564569,0.276057362,0.284259488,0.281216754,0.278824829,0.27766108,0.266589167,0.275660967,0.272000257,0.27932268,0.278635792,0.278208132,0.28292505,0.283197872,0.28622682,0.291973203,0.288286941,0.289674029,0.294299942,0.297959411
Car,FFV,REF,High,0,0,-0.145078808,-2.481832761,-3.519782087,-3.351394669,-4.37374631,-4.986510223,-6.38950111,-3.369845696,-5.819424524,-0.109501931,0.060343562,0.249450875,0.290521758,0.314595289,0.271983869,0.273972766,0.252956478,0.238516178,0.229627089,0.22164587,0.1738885,0.201481219,0.180211141,0.199960037,0.190475497,0.196539329,0.20411778,0.203223837,0.194693332,0.21018047,0.179337924,0.326401855,0.421269025,0.429180119
Car,ICEV-D,REF,Med,0,0,0.158555275,-0.847745253,-1.58985341,-1.500457771,-1.57962313,-1.565105236,-1.664045083,-1.294586024,-2.71333228,0.141788826,0.140076986,0.118493492,0.08474395,0.092505295,0.12383701,0.145181884,0.135307552,0.125742834,0.136177193,0.136991943,0.15882166,0.272204973,0.268553866,0.269447169,0.275493316,0.286397021,0.293053005,0.293391188,0.289798652,0.298651405,0.283510509,0.279720786,0.281539912,0.285791501
Car,ICEV-D,REF,High,0,0,0.029174106,-1.324237485,-1.422179106,-1.545579121,-2.172210534,-2.968721931,-3.686474562,-2.780360197,-4.021226422,0.186401777,0.181860598,0.142193767,0.182960178,0.193848713,0.168609814,0.196828247,0.180493101,0.167308103,0.183339036,0.187518294,0.157242764,0.196793134,0.179591511,0.19991701,0.190690538,0.215448779,0.313258041,0.314531144,0.305581937,0.31925178,0.29487794,0.28799303,0.288750104,0.296824258
Car,CNG,REF,Med,0,0,1.578160768,-2.203048575,-2.87547354,-2.749365632,-2.952774532,-2.695903722,-2.682450671,-2.086159594,-3.473798416,-0.00410099,0.092312745,0.104646565,0.123763013,0.177459125,0.15192931,0.170613081,0.156081456,0.143711988,0.15183422,0.160897594,0.149981765,0.305864594,0.296883474,0.307796762,0.303173921,0.305428904,0.312492403,0.316879217,0.308934307,0.318411347,0.301498331,0.296681858,0.296064687,0.303203115
Car,CNG,REF,High,0,0,-0.127601577,-2.45129366,-3.470774186,-3.307739335,-4.304883979,-4.8442541,-6.235550115,-3.365133366,-5.294446072,-0.109732703,0.046742708,0.25169991,0.298047725,0.310027725,0.265688844,0.264463976,0.244353444,0.229600089,0.215067215,0.204906588,0.161215543,0.193057397,0.175308814,0.181513689,0.174720366,0.177697195,0.186356969,0.184893767,0.17770775,0.189464668,0.167740217,0.291425637,0.29225131,0.297029992
Car,HEV,REF,Med,0,0,0.336320845,-1.034192444,-1.757149716,-2.156592782,-2.206344049,-2.399478732,-2.856246503,-1.905801729,-2.650423862,0.056938103,-0.060948576,0.004052921,-0.004291919,0.078810085,0.083559213,0.097492112,0.093858989,0.084054153,0.084619807,0.081771056,0.062272052,0.061463447,0.064991189,0.054661793,0.058590667,0.06039366,0.059429722,0.058146791,0.066903086,0.070761831,0.061911105,0.060025347,0.062599104,0.063922041
