"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"BEV100","Car",2016,"sales","LOP",2018,"vehicle",32592
"BEV300","Car",2016,"sales","LOP",2018,"vehicle",20959
"CNG","Car",2016,"sales","LOP",2018,"vehicle",37367
"FCV","Car",2016,"sales","LOP",2018,"vehicle",1751
"FFV","Car",2016,"sales","LOP",2018,"vehicle",429064
"HEV","Car",2016,"sales","LOP",2018,"vehicle",276995
"ICEV-D","Car",2016,"sales","LOP",2018,"vehicle",10355
"ICEV-G","Car",2016,"sales","LOP",2018,"vehicle",8115034
"PHEV20","Car",2016,"sales","LOP",2018,"vehicle",34012
"PHEV40","Car",2016,"sales","LOP",2018,"vehicle",26582
"BEV100","Light truck",2016,"sales","LOP",2018,"vehicle",5712
"BEV300","Light truck",2016,"sales","LOP",2018,"vehicle",4915
"CNG","Light truck",2016,"sales","LOP",2018,"vehicle",64051
"FCV","Light truck",2016,"sales","LOP",2018,"vehicle",1751
"FFV","Light truck",2016,"sales","LOP",2018,"vehicle",929603
"HEV","Light truck",2016,"sales","LOP",2018,"vehicle",57829
"ICEV-D","Light truck",2016,"sales","LOP",2018,"vehicle",25555
"ICEV-G","Light truck",2016,"sales","LOP",2018,"vehicle",6145804
"PHEV20","Light truck",2016,"sales","LOP",2018,"vehicle",17880
"PHEV40","Light truck",2016,"sales","LOP",2018,"vehicle",6791
"BEV100","Car",2017,"sales","LOP",2018,"vehicle",29936
"BEV300","Car",2017,"sales","LOP",2018,"vehicle",24845
"CNG","Car",2017,"sales","LOP",2018,"vehicle",36635
"FCV","Car",2017,"sales","LOP",2018,"vehicle",1750
"FFV","Car",2017,"sales","LOP",2018,"vehicle",362201
"HEV","Car",2017,"sales","LOP",2018,"vehicle",408979
"ICEV-D","Car",2017,"sales","LOP",2018,"vehicle",10587
"ICEV-G","Car",2017,"sales","LOP",2018,"vehicle",7472286
"PHEV20","Car",2017,"sales","LOP",2018,"vehicle",19367
"PHEV40","Car",2017,"sales","LOP",2018,"vehicle",45039
"BEV100","Light truck",2017,"sales","LOP",2018,"vehicle",5658
"BEV300","Light truck",2017,"sales","LOP",2018,"vehicle",5046
"CNG","Light truck",2017,"sales","LOP",2018,"vehicle",62667
"FCV","Light truck",2017,"sales","LOP",2018,"vehicle",1750
"FFV","Light truck",2017,"sales","LOP",2018,"vehicle",907987
"HEV","Light truck",2017,"sales","LOP",2018,"vehicle",105287
"ICEV-D","Light truck",2017,"sales","LOP",2018,"vehicle",132563
"ICEV-G","Light truck",2017,"sales","LOP",2018,"vehicle",5856172
"PHEV20","Light truck",2017,"sales","LOP",2018,"vehicle",30656
"PHEV40","Light truck",2017,"sales","LOP",2018,"vehicle",7414
"BEV100","Car",2018,"sales","LOP",2018,"vehicle",32247
"BEV300","Car",2018,"sales","LOP",2018,"vehicle",26763
"CNG","Car",2018,"sales","LOP",2018,"vehicle",39463
"FCV","Car",2018,"sales","LOP",2018,"vehicle",1885
"FFV","Car",2018,"sales","LOP",2018,"vehicle",390168
"HEV","Car",2018,"sales","LOP",2018,"vehicle",440558
"ICEV-D","Car",2018,"sales","LOP",2018,"vehicle",11404
"ICEV-G","Car",2018,"sales","LOP",2018,"vehicle",8049270
"PHEV20","Car",2018,"sales","LOP",2018,"vehicle",20862
"PHEV40","Car",2018,"sales","LOP",2018,"vehicle",48516
"BEV100","Light truck",2018,"sales","LOP",2018,"vehicle",6094
"BEV300","Light truck",2018,"sales","LOP",2018,"vehicle",5435
"CNG","Light truck",2018,"sales","LOP",2018,"vehicle",67505
"FCV","Light truck",2018,"sales","LOP",2018,"vehicle",1885
"FFV","Light truck",2018,"sales","LOP",2018,"vehicle",978098
"HEV","Light truck",2018,"sales","LOP",2018,"vehicle",113416
"ICEV-D","Light truck",2018,"sales","LOP",2018,"vehicle",142799
"ICEV-G","Light truck",2018,"sales","LOP",2018,"vehicle",6308365
"PHEV20","Light truck",2018,"sales","LOP",2018,"vehicle",33023
"PHEV40","Light truck",2018,"sales","LOP",2018,"vehicle",7986
"BEV100","Car",2019,"sales","LOP",2018,"vehicle",32396
"BEV300","Car",2019,"sales","LOP",2018,"vehicle",26886
"CNG","Car",2019,"sales","LOP",2018,"vehicle",39645
"FCV","Car",2019,"sales","LOP",2018,"vehicle",1893
"FFV","Car",2019,"sales","LOP",2018,"vehicle",391967
"HEV","Car",2019,"sales","LOP",2018,"vehicle",442589
"ICEV-D","Car",2019,"sales","LOP",2018,"vehicle",11457
"ICEV-G","Car",2019,"sales","LOP",2018,"vehicle",8086368
"PHEV20","Car",2019,"sales","LOP",2018,"vehicle",20958
"PHEV40","Car",2019,"sales","LOP",2018,"vehicle",48740
"BEV100","Light truck",2019,"sales","LOP",2018,"vehicle",6122
"BEV300","Light truck",2019,"sales","LOP",2018,"vehicle",5460
"CNG","Light truck",2019,"sales","LOP",2018,"vehicle",67817
"FCV","Light truck",2019,"sales","LOP",2018,"vehicle",1893
"FFV","Light truck",2019,"sales","LOP",2018,"vehicle",982606
"HEV","Light truck",2019,"sales","LOP",2018,"vehicle",113939
"ICEV-D","Light truck",2019,"sales","LOP",2018,"vehicle",143457
"ICEV-G","Light truck",2019,"sales","LOP",2018,"vehicle",6337440
"PHEV20","Light truck",2019,"sales","LOP",2018,"vehicle",33175
"PHEV40","Light truck",2019,"sales","LOP",2018,"vehicle",8023
"BEV100","Car",2020,"sales","LOP",2018,"vehicle",30863
"BEV300","Car",2020,"sales","LOP",2018,"vehicle",25614
"CNG","Car",2020,"sales","LOP",2018,"vehicle",37769
"FCV","Car",2020,"sales","LOP",2018,"vehicle",1804
"FFV","Car",2020,"sales","LOP",2018,"vehicle",373421
"HEV","Car",2020,"sales","LOP",2018,"vehicle",421648
"ICEV-D","Car",2020,"sales","LOP",2018,"vehicle",10914
"ICEV-G","Car",2020,"sales","LOP",2018,"vehicle",7703772
"PHEV20","Car",2020,"sales","LOP",2018,"vehicle",19966
"PHEV40","Car",2020,"sales","LOP",2018,"vehicle",46434
"BEV100","Light truck",2020,"sales","LOP",2018,"vehicle",5833
"BEV300","Light truck",2020,"sales","LOP",2018,"vehicle",5202
"CNG","Light truck",2020,"sales","LOP",2018,"vehicle",64608
"FCV","Light truck",2020,"sales","LOP",2018,"vehicle",1804
"FFV","Light truck",2020,"sales","LOP",2018,"vehicle",936115
"HEV","Light truck",2020,"sales","LOP",2018,"vehicle",108548
"ICEV-D","Light truck",2020,"sales","LOP",2018,"vehicle",136669
"ICEV-G","Light truck",2020,"sales","LOP",2018,"vehicle",6037592
"PHEV20","Light truck",2020,"sales","LOP",2018,"vehicle",31605
"PHEV40","Light truck",2020,"sales","LOP",2018,"vehicle",7643
"BEV100","Car",2021,"sales","LOP",2018,"vehicle",31276
"BEV300","Car",2021,"sales","LOP",2018,"vehicle",25957
"CNG","Car",2021,"sales","LOP",2018,"vehicle",38275
"FCV","Car",2021,"sales","LOP",2018,"vehicle",1828
"FFV","Car",2021,"sales","LOP",2018,"vehicle",378421
"HEV","Car",2021,"sales","LOP",2018,"vehicle",427294
"ICEV-D","Car",2021,"sales","LOP",2018,"vehicle",11061
"ICEV-G","Car",2021,"sales","LOP",2018,"vehicle",7806913
"PHEV20","Car",2021,"sales","LOP",2018,"vehicle",20234
"PHEV40","Car",2021,"sales","LOP",2018,"vehicle",47055
"BEV100","Light truck",2021,"sales","LOP",2018,"vehicle",5911
"BEV300","Light truck",2021,"sales","LOP",2018,"vehicle",5271
"CNG","Light truck",2021,"sales","LOP",2018,"vehicle",65473
"FCV","Light truck",2021,"sales","LOP",2018,"vehicle",1828
"FFV","Light truck",2021,"sales","LOP",2018,"vehicle",948648
"HEV","Light truck",2021,"sales","LOP",2018,"vehicle",110002
"ICEV-D","Light truck",2021,"sales","LOP",2018,"vehicle",138499
"ICEV-G","Light truck",2021,"sales","LOP",2018,"vehicle",6118426
"PHEV20","Light truck",2021,"sales","LOP",2018,"vehicle",32028
"PHEV40","Light truck",2021,"sales","LOP",2018,"vehicle",7746
"BEV100","Car",2022,"sales","LOP",2018,"vehicle",31505
"BEV300","Car",2022,"sales","LOP",2018,"vehicle",26147
"CNG","Car",2022,"sales","LOP",2018,"vehicle",38556
"FCV","Car",2022,"sales","LOP",2018,"vehicle",1841
"FFV","Car",2022,"sales","LOP",2018,"vehicle",381195
"HEV","Car",2022,"sales","LOP",2018,"vehicle",430426
"ICEV-D","Car",2022,"sales","LOP",2018,"vehicle",11142
"ICEV-G","Car",2022,"sales","LOP",2018,"vehicle",7864147
"PHEV20","Car",2022,"sales","LOP",2018,"vehicle",20382
"PHEV40","Car",2022,"sales","LOP",2018,"vehicle",47400
"BEV100","Light truck",2022,"sales","LOP",2018,"vehicle",5954
"BEV300","Light truck",2022,"sales","LOP",2018,"vehicle",5310
"CNG","Light truck",2022,"sales","LOP",2018,"vehicle",65953
"FCV","Light truck",2022,"sales","LOP",2018,"vehicle",1841
"FFV","Light truck",2022,"sales","LOP",2018,"vehicle",955603
"HEV","Light truck",2022,"sales","LOP",2018,"vehicle",110808
"ICEV-D","Light truck",2022,"sales","LOP",2018,"vehicle",139514
"ICEV-G","Light truck",2022,"sales","LOP",2018,"vehicle",6163281
"PHEV20","Light truck",2022,"sales","LOP",2018,"vehicle",32263
"PHEV40","Light truck",2022,"sales","LOP",2018,"vehicle",7802
"BEV100","Car",2023,"sales","LOP",2018,"vehicle",32070
"BEV300","Car",2023,"sales","LOP",2018,"vehicle",26616
"CNG","Car",2023,"sales","LOP",2018,"vehicle",39247
"FCV","Car",2023,"sales","LOP",2018,"vehicle",1874
"FFV","Car",2023,"sales","LOP",2018,"vehicle",388025
"HEV","Car",2023,"sales","LOP",2018,"vehicle",438138
"ICEV-D","Car",2023,"sales","LOP",2018,"vehicle",11341
"ICEV-G","Car",2023,"sales","LOP",2018,"vehicle",8005048
"PHEV20","Car",2023,"sales","LOP",2018,"vehicle",20747
