"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"BEV100","Car",2016,"sales","LOP",2018,"vehicle",32592
"BEV300","Car",2016,"sales","LOP",2018,"vehicle",20959
"CNG","Car",2016,"sales","LOP",2018,"vehicle",37367
"FCV","Car",2016,"sales","LOP",2018,"vehicle",1751
"FFV","Car",2016,"sales","LOP",2018,"vehicle",429064
"HEV","Car",2016,"sales","LOP",2018,"vehicle",276995
"ICEV-D","Car",2016,"sales","LOP",2018,"vehicle",10355
"ICEV-G","Car",2016,"sales","LOP",2018,"vehicle",8115034
"PHEV20","Car",2016,"sales","LOP",2018,"vehicle",34012
"PHEV40","Car",2016,"sales","LOP",2018,"vehicle",26582
"BEV100","Light truck",2016,"sales","LOP",2018,"vehicle",5712
"BEV300","Light truck",2016,"sales","LOP",2018,"vehicle",4915
"CNG","Light truck",2016,"sales","LOP",2018,"vehicle",64051
"FCV","Light truck",2016,"sales","LOP",2018,"vehicle",1751
"FFV","Light truck",2016,"sales","LOP",2018,"vehicle",929603
"HEV","Light truck",2016,"sales","LOP",2018,"vehicle",57829
"ICEV-D","Light truck",2016,"sales","LOP",2018,"vehicle",25555
"ICEV-G","Light truck",2016,"sales","LOP",2018,"vehicle",6145804
"PHEV20","Light truck",2016,"sales","LOP",2018,"vehicle",17880
"PHEV40","Light truck",2016,"sales","LOP",2018,"vehicle",6791
"BEV100","Car",2017,"sales","LOP",2018,"vehicle",74757
"BEV300","Car",2017,"sales","LOP",2018,"vehicle",62043
"CNG","Car",2017,"sales","LOP",2018,"vehicle",36275
"FCV","Car",2017,"sales","LOP",2018,"vehicle",1732
"FFV","Car",2017,"sales","LOP",2018,"vehicle",358646
"HEV","Car",2017,"sales","LOP",2018,"vehicle",404964
"ICEV-D","Car",2017,"sales","LOP",2018,"vehicle",10483
"ICEV-G","Car",2017,"sales","LOP",2018,"vehicle",7398947
"PHEV20","Car",2017,"sales","LOP",2018,"vehicle",19176
"PHEV40","Car",2017,"sales","LOP",2018,"vehicle",44596
"BEV100","Light truck",2017,"sales","LOP",2018,"vehicle",5658
"BEV300","Light truck",2017,"sales","LOP",2018,"vehicle",5046
"CNG","Light truck",2017,"sales","LOP",2018,"vehicle",62667
"FCV","Light truck",2017,"sales","LOP",2018,"vehicle",1750
"FFV","Light truck",2017,"sales","LOP",2018,"vehicle",907987
"HEV","Light truck",2017,"sales","LOP",2018,"vehicle",105287
"ICEV-D","Light truck",2017,"sales","LOP",2018,"vehicle",132563
"ICEV-G","Light truck",2017,"sales","LOP",2018,"vehicle",5856172
"PHEV20","Light truck",2017,"sales","LOP",2018,"vehicle",30656
"PHEV40","Light truck",2017,"sales","LOP",2018,"vehicle",7414
"BEV100","Car",2018,"sales","LOP",2018,"vehicle",102122
"BEV300","Car",2018,"sales","LOP",2018,"vehicle",250774
"CNG","Car",2018,"sales","LOP",2018,"vehicle",25724
"FCV","Car",2018,"sales","LOP",2018,"vehicle",3034
"FFV","Car",2018,"sales","LOP",2018,"vehicle",345316
"HEV","Car",2018,"sales","LOP",2018,"vehicle",440295
"ICEV-D","Car",2018,"sales","LOP",2018,"vehicle",16823
"ICEV-G","Car",2018,"sales","LOP",2018,"vehicle",7065438
"PHEV20","Car",2018,"sales","LOP",2018,"vehicle",24549
"PHEV40","Car",2018,"sales","LOP",2018,"vehicle",16710
"BEV100","Light truck",2018,"sales","LOP",2018,"vehicle",8187
"BEV300","Light truck",2018,"sales","LOP",2018,"vehicle",6882
"CNG","Light truck",2018,"sales","LOP",2018,"vehicle",63242
"FCV","Light truck",2018,"sales","LOP",2018,"vehicle",3137
"FFV","Light truck",2018,"sales","LOP",2018,"vehicle",1064633
"HEV","Light truck",2018,"sales","LOP",2018,"vehicle",51361
"ICEV-D","Light truck",2018,"sales","LOP",2018,"vehicle",88961
"ICEV-G","Light truck",2018,"sales","LOP",2018,"vehicle",7109035
"PHEV20","Light truck",2018,"sales","LOP",2018,"vehicle",24834
"PHEV40","Light truck",2018,"sales","LOP",2018,"vehicle",14690
"BEV100","Car",2019,"sales","LOP",2018,"vehicle",91035
"BEV300","Car",2019,"sales","LOP",2018,"vehicle",352529
"CNG","Car",2019,"sales","LOP",2018,"vehicle",24721
"FCV","Car",2019,"sales","LOP",2018,"vehicle",5584
"FFV","Car",2019,"sales","LOP",2018,"vehicle",349509
"HEV","Car",2019,"sales","LOP",2018,"vehicle",432535
"ICEV-D","Car",2019,"sales","LOP",2018,"vehicle",36285
"ICEV-G","Car",2019,"sales","LOP",2018,"vehicle",6726415
"PHEV20","Car",2019,"sales","LOP",2018,"vehicle",27391
"PHEV40","Car",2019,"sales","LOP",2018,"vehicle",17773
"BEV100","Light truck",2019,"sales","LOP",2018,"vehicle",14179
"BEV300","Light truck",2019,"sales","LOP",2018,"vehicle",12735
"CNG","Light truck",2019,"sales","LOP",2018,"vehicle",67087
"FCV","Light truck",2019,"sales","LOP",2018,"vehicle",5802
"FFV","Light truck",2019,"sales","LOP",2018,"vehicle",1096740
"HEV","Light truck",2019,"sales","LOP",2018,"vehicle",58116
"ICEV-D","Light truck",2019,"sales","LOP",2018,"vehicle",159661
"ICEV-G","Light truck",2019,"sales","LOP",2018,"vehicle",7280327
"PHEV20","Light truck",2019,"sales","LOP",2018,"vehicle",27876
"PHEV40","Light truck",2019,"sales","LOP",2018,"vehicle",16534
"BEV100","Car",2020,"sales","LOP",2018,"vehicle",80467
"BEV300","Car",2020,"sales","LOP",2018,"vehicle",383061
"CNG","Car",2020,"sales","LOP",2018,"vehicle",23482
"FCV","Car",2020,"sales","LOP",2018,"vehicle",10531
"FFV","Car",2020,"sales","LOP",2018,"vehicle",329985
"HEV","Car",2020,"sales","LOP",2018,"vehicle",424469
"ICEV-D","Car",2020,"sales","LOP",2018,"vehicle",63695
"ICEV-G","Car",2020,"sales","LOP",2018,"vehicle",6309995
"PHEV20","Car",2020,"sales","LOP",2018,"vehicle",39382
"PHEV40","Car",2020,"sales","LOP",2018,"vehicle",25091
"BEV100","Light truck",2020,"sales","LOP",2018,"vehicle",24777
"BEV300","Light truck",2020,"sales","LOP",2018,"vehicle",23945
"CNG","Light truck",2020,"sales","LOP",2018,"vehicle",62758
"FCV","Light truck",2020,"sales","LOP",2018,"vehicle",10876
"FFV","Light truck",2020,"sales","LOP",2018,"vehicle",1042320
"HEV","Light truck",2020,"sales","LOP",2018,"vehicle",56714
"ICEV-D","Light truck",2020,"sales","LOP",2018,"vehicle",243590
"ICEV-G","Light truck",2020,"sales","LOP",2018,"vehicle",6788972
"PHEV20","Light truck",2020,"sales","LOP",2018,"vehicle",39927
"PHEV40","Light truck",2020,"sales","LOP",2018,"vehicle",23795
"BEV100","Car",2021,"sales","LOP",2018,"vehicle",85423
"BEV300","Car",2021,"sales","LOP",2018,"vehicle",429117
"CNG","Car",2021,"sales","LOP",2018,"vehicle",24201
"FCV","Car",2021,"sales","LOP",2018,"vehicle",15202
"FFV","Car",2021,"sales","LOP",2018,"vehicle",329380
"HEV","Car",2021,"sales","LOP",2018,"vehicle",441850
"ICEV-D","Car",2021,"sales","LOP",2018,"vehicle",75704
"ICEV-G","Car",2021,"sales","LOP",2018,"vehicle",6303172
"PHEV20","Car",2021,"sales","LOP",2018,"vehicle",48579
"PHEV40","Car",2021,"sales","LOP",2018,"vehicle",30873
"BEV100","Light truck",2021,"sales","LOP",2018,"vehicle",34960
"BEV300","Light truck",2021,"sales","LOP",2018,"vehicle",34497
"CNG","Light truck",2021,"sales","LOP",2018,"vehicle",63889
"FCV","Light truck",2021,"sales","LOP",2018,"vehicle",15642
"FFV","Light truck",2021,"sales","LOP",2018,"vehicle",1057474
"HEV","Light truck",2021,"sales","LOP",2018,"vehicle",59522
"ICEV-D","Light truck",2021,"sales","LOP",2018,"vehicle",261949
"ICEV-G","Light truck",2021,"sales","LOP",2018,"vehicle",6832489
"PHEV20","Light truck",2021,"sales","LOP",2018,"vehicle",48991
"PHEV40","Light truck",2021,"sales","LOP",2018,"vehicle",29236
"BEV100","Car",2022,"sales","LOP",2018,"vehicle",112844
"BEV300","Car",2022,"sales","LOP",2018,"vehicle",620686
"CNG","Car",2022,"sales","LOP",2018,"vehicle",24191
"FCV","Car",2022,"sales","LOP",2018,"vehicle",17958
"FFV","Car",2022,"sales","LOP",2018,"vehicle",319825
"HEV","Car",2022,"sales","LOP",2018,"vehicle",443482
"ICEV-D","Car",2022,"sales","LOP",2018,"vehicle",86070
"ICEV-G","Car",2022,"sales","LOP",2018,"vehicle",6128095
"PHEV20","Car",2022,"sales","LOP",2018,"vehicle",46293
"PHEV40","Car",2022,"sales","LOP",2018,"vehicle",29876
"BEV100","Light truck",2022,"sales","LOP",2018,"vehicle",41917
"BEV300","Light truck",2022,"sales","LOP",2018,"vehicle",41606
"CNG","Light truck",2022,"sales","LOP",2018,"vehicle",64688
"FCV","Light truck",2022,"sales","LOP",2018,"vehicle",18842
"FFV","Light truck",2022,"sales","LOP",2018,"vehicle",1065824
"HEV","Light truck",2022,"sales","LOP",2018,"vehicle",62153
"ICEV-D","Light truck",2022,"sales","LOP",2018,"vehicle",269734
"ICEV-G","Light truck",2022,"sales","LOP",2018,"vehicle",6871563
"PHEV20","Light truck",2022,"sales","LOP",2018,"vehicle",47248
"PHEV40","Light truck",2022,"sales","LOP",2018,"vehicle",28182
"BEV100","Car",2023,"sales","LOP",2018,"vehicle",151928
"BEV300","Car",2023,"sales","LOP",2018,"vehicle",896004
"CNG","Car",2023,"sales","LOP",2018,"vehicle",24043
"FCV","Car",2023,"sales","LOP",2018,"vehicle",19719
"FFV","Car",2023,"sales","LOP",2018,"vehicle",318355
"HEV","Car",2023,"sales","LOP",2018,"vehicle",450891
"ICEV-D","Car",2023,"sales","LOP",2018,"vehicle",98528
"ICEV-G","Car",2023,"sales","LOP",2018,"vehicle",5987876
"PHEV20","Car",2023,"sales","LOP",2018,"vehicle",53133
