"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"BEV100","Car",2016,"sales","REF",2018,"vehicle",32592
"BEV300","Car",2016,"sales","REF",2018,"vehicle",20959
"CNG","Car",2016,"sales","REF",2018,"vehicle",37367
"FCV","Car",2016,"sales","REF",2018,"vehicle",1751
"FFV","Car",2016,"sales","REF",2018,"vehicle",429064
"HEV","Car",2016,"sales","REF",2018,"vehicle",276995
"ICEV-D","Car",2016,"sales","REF",2018,"vehicle",10355
"ICEV-G","Car",2016,"sales","REF",2018,"vehicle",8115033
"PHEV20","Car",2016,"sales","REF",2018,"vehicle",34012
"PHEV40","Car",2016,"sales","REF",2018,"vehicle",26582
"BEV100","Light truck",2016,"sales","REF",2018,"vehicle",5712
"BEV300","Light truck",2016,"sales","REF",2018,"vehicle",4915
"CNG","Light truck",2016,"sales","REF",2018,"vehicle",64051
"FCV","Light truck",2016,"sales","REF",2018,"vehicle",1751
"FFV","Light truck",2016,"sales","REF",2018,"vehicle",929603
"HEV","Light truck",2016,"sales","REF",2018,"vehicle",57829
"ICEV-D","Light truck",2016,"sales","REF",2018,"vehicle",25555
"ICEV-G","Light truck",2016,"sales","REF",2018,"vehicle",6145804
"PHEV20","Light truck",2016,"sales","REF",2018,"vehicle",17880
"PHEV40","Light truck",2016,"sales","REF",2018,"vehicle",6791
"BEV100","Car",2017,"sales","REF",2018,"vehicle",30382
"BEV300","Car",2017,"sales","REF",2018,"vehicle",25223
"CNG","Car",2017,"sales","REF",2018,"vehicle",36655
"FCV","Car",2017,"sales","REF",2018,"vehicle",1750
"FFV","Car",2017,"sales","REF",2018,"vehicle",364637
"HEV","Car",2017,"sales","REF",2018,"vehicle",414459
"ICEV-D","Car",2017,"sales","REF",2018,"vehicle",10605
"ICEV-G","Car",2017,"sales","REF",2018,"vehicle",7556488
"PHEV20","Car",2017,"sales","REF",2018,"vehicle",19468
"PHEV40","Car",2017,"sales","REF",2018,"vehicle",45641
"BEV100","Light truck",2017,"sales","REF",2018,"vehicle",5658
"BEV300","Light truck",2017,"sales","REF",2018,"vehicle",5046
"CNG","Light truck",2017,"sales","REF",2018,"vehicle",62666
"FCV","Light truck",2017,"sales","REF",2018,"vehicle",1750
"FFV","Light truck",2017,"sales","REF",2018,"vehicle",908656
"HEV","Light truck",2017,"sales","REF",2018,"vehicle",55253
"ICEV-D","Light truck",2017,"sales","REF",2018,"vehicle",55583
"ICEV-G","Light truck",2017,"sales","REF",2018,"vehicle",6009134
"PHEV20","Light truck",2017,"sales","REF",2018,"vehicle",12954
"PHEV40","Light truck",2017,"sales","REF",2018,"vehicle",7414
"BEV100","Car",2018,"sales","REF",2018,"vehicle",28792
"BEV300","Car",2018,"sales","REF",2018,"vehicle",66637
"CNG","Car",2018,"sales","REF",2018,"vehicle",27654
"FCV","Car",2018,"sales","REF",2018,"vehicle",3137
"FFV","Car",2018,"sales","REF",2018,"vehicle",370058
"HEV","Car",2018,"sales","REF",2018,"vehicle",486360
"ICEV-D","Car",2018,"sales","REF",2018,"vehicle",18030
"ICEV-G","Car",2018,"sales","REF",2018,"vehicle",7561623
"PHEV20","Car",2018,"sales","REF",2018,"vehicle",25508
"PHEV40","Car",2018,"sales","REF",2018,"vehicle",17785
"BEV100","Light truck",2018,"sales","REF",2018,"vehicle",8254
"BEV300","Light truck",2018,"sales","REF",2018,"vehicle",6882
"CNG","Light truck",2018,"sales","REF",2018,"vehicle",56382
"FCV","Light truck",2018,"sales","REF",2018,"vehicle",3137
"FFV","Light truck",2018,"sales","REF",2018,"vehicle",948240
"HEV","Light truck",2018,"sales","REF",2018,"vehicle",48711
"ICEV-D","Light truck",2018,"sales","REF",2018,"vehicle",83595
"ICEV-G","Light truck",2018,"sales","REF",2018,"vehicle",6302677
"PHEV20","Light truck",2018,"sales","REF",2018,"vehicle",24825
"PHEV40","Light truck",2018,"sales","REF",2018,"vehicle",14690
"BEV100","Car",2019,"sales","REF",2018,"vehicle",33459
"BEV300","Car",2019,"sales","REF",2018,"vehicle",142089
"CNG","Car",2019,"sales","REF",2018,"vehicle",27383
"FCV","Car",2019,"sales","REF",2018,"vehicle",5802
"FFV","Car",2019,"sales","REF",2018,"vehicle",383456
"HEV","Car",2019,"sales","REF",2018,"vehicle",498776
"ICEV-D","Car",2019,"sales","REF",2018,"vehicle",41145
"ICEV-G","Car",2019,"sales","REF",2018,"vehicle",7344525
"PHEV20","Car",2019,"sales","REF",2018,"vehicle",28603
"PHEV40","Car",2019,"sales","REF",2018,"vehicle",18903
"BEV100","Light truck",2019,"sales","REF",2018,"vehicle",14173
"BEV300","Light truck",2019,"sales","REF",2018,"vehicle",12736
"CNG","Light truck",2019,"sales","REF",2018,"vehicle",57961
"FCV","Light truck",2019,"sales","REF",2018,"vehicle",5802
"FFV","Light truck",2019,"sales","REF",2018,"vehicle",947080
"HEV","Light truck",2019,"sales","REF",2018,"vehicle",53257
"ICEV-D","Light truck",2019,"sales","REF",2018,"vehicle",135139
