"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"BEV100","Car",2016,"sales","REF",2018,"vehicle",32592
"BEV300","Car",2016,"sales","REF",2018,"vehicle",20959
"CNG","Car",2016,"sales","REF",2018,"vehicle",37367
"FCV","Car",2016,"sales","REF",2018,"vehicle",1751
"FFV","Car",2016,"sales","REF",2018,"vehicle",429064
"HEV","Car",2016,"sales","REF",2018,"vehicle",276995
"ICEV-D","Car",2016,"sales","REF",2018,"vehicle",10355
"ICEV-G","Car",2016,"sales","REF",2018,"vehicle",8115033
"PHEV20","Car",2016,"sales","REF",2018,"vehicle",34012
"PHEV40","Car",2016,"sales","REF",2018,"vehicle",26582
"BEV100","Light truck",2016,"sales","REF",2018,"vehicle",5712
"BEV300","Light truck",2016,"sales","REF",2018,"vehicle",4915
"CNG","Light truck",2016,"sales","REF",2018,"vehicle",64051
"FCV","Light truck",2016,"sales","REF",2018,"vehicle",1751
"FFV","Light truck",2016,"sales","REF",2018,"vehicle",929603
"HEV","Light truck",2016,"sales","REF",2018,"vehicle",57829
"ICEV-D","Light truck",2016,"sales","REF",2018,"vehicle",25555
"ICEV-G","Light truck",2016,"sales","REF",2018,"vehicle",6145804
"PHEV20","Light truck",2016,"sales","REF",2018,"vehicle",17880
"PHEV40","Light truck",2016,"sales","REF",2018,"vehicle",6791
"BEV100","Car",2017,"sales","REF",2018,"vehicle",30382
"BEV300","Car",2017,"sales","REF",2018,"vehicle",25223
"CNG","Car",2017,"sales","REF",2018,"vehicle",36655
"FCV","Car",2017,"sales","REF",2018,"vehicle",1750
"FFV","Car",2017,"sales","REF",2018,"vehicle",364637
"HEV","Car",2017,"sales","REF",2018,"vehicle",414459
"ICEV-D","Car",2017,"sales","REF",2018,"vehicle",10605
"ICEV-G","Car",2017,"sales","REF",2018,"vehicle",7556488
"PHEV20","Car",2017,"sales","REF",2018,"vehicle",19468
"PHEV40","Car",2017,"sales","REF",2018,"vehicle",45641
"BEV100","Light truck",2017,"sales","REF",2018,"vehicle",5658
"BEV300","Light truck",2017,"sales","REF",2018,"vehicle",5046
"CNG","Light truck",2017,"sales","REF",2018,"vehicle",62666
"FCV","Light truck",2017,"sales","REF",2018,"vehicle",1750
"FFV","Light truck",2017,"sales","REF",2018,"vehicle",908656
"HEV","Light truck",2017,"sales","REF",2018,"vehicle",55253
"ICEV-D","Light truck",2017,"sales","REF",2018,"vehicle",55583
"ICEV-G","Light truck",2017,"sales","REF",2018,"vehicle",6009134
"PHEV20","Light truck",2017,"sales","REF",2018,"vehicle",12954
"PHEV40","Light truck",2017,"sales","REF",2018,"vehicle",7414
"BEV100","Car",2018,"sales","REF",2018,"vehicle",31302
"BEV300","Car",2018,"sales","REF",2018,"vehicle",25987
"CNG","Car",2018,"sales","REF",2018,"vehicle",37765
"FCV","Car",2018,"sales","REF",2018,"vehicle",1803
"FFV","Car",2018,"sales","REF",2018,"vehicle",375685
"HEV","Car",2018,"sales","REF",2018,"vehicle",427016
"ICEV-D","Car",2018,"sales","REF",2018,"vehicle",10926
"ICEV-G","Car",2018,"sales","REF",2018,"vehicle",7785441
"PHEV20","Car",2018,"sales","REF",2018,"vehicle",20057
"PHEV40","Car",2018,"sales","REF",2018,"vehicle",47023
"BEV100","Light truck",2018,"sales","REF",2018,"vehicle",5829
"BEV300","Light truck",2018,"sales","REF",2018,"vehicle",5198
"CNG","Light truck",2018,"sales","REF",2018,"vehicle",64564
"FCV","Light truck",2018,"sales","REF",2018,"vehicle",1803
"FFV","Light truck",2018,"sales","REF",2018,"vehicle",936187
"HEV","Light truck",2018,"sales","REF",2018,"vehicle",56927
"ICEV-D","Light truck",2018,"sales","REF",2018,"vehicle",57267
"ICEV-G","Light truck",2018,"sales","REF",2018,"vehicle",6191204
"PHEV20","Light truck",2018,"sales","REF",2018,"vehicle",13346
"PHEV40","Light truck",2018,"sales","REF",2018,"vehicle",7638
"BEV100","Car",2019,"sales","REF",2018,"vehicle",31203
"BEV300","Car",2019,"sales","REF",2018,"vehicle",25905
"CNG","Car",2019,"sales","REF",2018,"vehicle",37646
"FCV","Car",2019,"sales","REF",2018,"vehicle",1797
"FFV","Car",2019,"sales","REF",2018,"vehicle",374497
"HEV","Car",2019,"sales","REF",2018,"vehicle",425666
"ICEV-D","Car",2019,"sales","REF",2018,"vehicle",10891
"ICEV-G","Car",2019,"sales","REF",2018,"vehicle",7760829
"PHEV20","Car",2019,"sales","REF",2018,"vehicle",19994
"PHEV40","Car",2019,"sales","REF",2018,"vehicle",46875
"BEV100","Light truck",2019,"sales","REF",2018,"vehicle",5811
"BEV300","Light truck",2019,"sales","REF",2018,"vehicle",5182
"CNG","Light truck",2019,"sales","REF",2018,"vehicle",64360
"FCV","Light truck",2019,"sales","REF",2018,"vehicle",1797
"FFV","Light truck",2019,"sales","REF",2018,"vehicle",933227
"HEV","Light truck",2019,"sales","REF",2018,"vehicle",56747
"ICEV-D","Light truck",2019,"sales","REF",2018,"vehicle",57086
