"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"BEV100","Car",2016,"sales","REF",2018,"vehicle",32592
"BEV300","Car",2016,"sales","REF",2018,"vehicle",20959
"CNG","Car",2016,"sales","REF",2018,"vehicle",37367
"FCV","Car",2016,"sales","REF",2018,"vehicle",1751
"FFV","Car",2016,"sales","REF",2018,"vehicle",429064
"HEV","Car",2016,"sales","REF",2018,"vehicle",276995
"ICEV-D","Car",2016,"sales","REF",2018,"vehicle",10355
"ICEV-G","Car",2016,"sales","REF",2018,"vehicle",8115033
"PHEV20","Car",2016,"sales","REF",2018,"vehicle",34012
"PHEV40","Car",2016,"sales","REF",2018,"vehicle",26582
"BEV100","Light truck",2016,"sales","REF",2018,"vehicle",5712
"BEV300","Light truck",2016,"sales","REF",2018,"vehicle",4915
"CNG","Light truck",2016,"sales","REF",2018,"vehicle",64051
"FCV","Light truck",2016,"sales","REF",2018,"vehicle",1751
"FFV","Light truck",2016,"sales","REF",2018,"vehicle",929603
"HEV","Light truck",2016,"sales","REF",2018,"vehicle",57829
"ICEV-D","Light truck",2016,"sales","REF",2018,"vehicle",25555
"ICEV-G","Light truck",2016,"sales","REF",2018,"vehicle",6145804
"PHEV20","Light truck",2016,"sales","REF",2018,"vehicle",17880
"PHEV40","Light truck",2016,"sales","REF",2018,"vehicle",6791
"BEV100","Car",2017,"sales","REF",2018,"vehicle",75279
"BEV300","Car",2017,"sales","REF",2018,"vehicle",62496
"CNG","Car",2017,"sales","REF",2018,"vehicle",36298
"FCV","Car",2017,"sales","REF",2018,"vehicle",1732
"FFV","Car",2017,"sales","REF",2018,"vehicle",361091
"HEV","Car",2017,"sales","REF",2018,"vehicle",410428
"ICEV-D","Car",2017,"sales","REF",2018,"vehicle",10501
"ICEV-G","Car",2017,"sales","REF",2018,"vehicle",7483003
"PHEV20","Car",2017,"sales","REF",2018,"vehicle",19278
"PHEV40","Car",2017,"sales","REF",2018,"vehicle",45197
"BEV100","Light truck",2017,"sales","REF",2018,"vehicle",5658
"BEV300","Light truck",2017,"sales","REF",2018,"vehicle",5046
"CNG","Light truck",2017,"sales","REF",2018,"vehicle",62666
"FCV","Light truck",2017,"sales","REF",2018,"vehicle",1750
"FFV","Light truck",2017,"sales","REF",2018,"vehicle",908656
"HEV","Light truck",2017,"sales","REF",2018,"vehicle",55253
"ICEV-D","Light truck",2017,"sales","REF",2018,"vehicle",55583
"ICEV-G","Light truck",2017,"sales","REF",2018,"vehicle",6009134
"PHEV20","Light truck",2017,"sales","REF",2018,"vehicle",12954
"PHEV40","Light truck",2017,"sales","REF",2018,"vehicle",7414
"BEV100","Car",2018,"sales","REF",2018,"vehicle",102319
"BEV300","Car",2018,"sales","REF",2018,"vehicle",236810
"CNG","Car",2018,"sales","REF",2018,"vehicle",26862
"FCV","Car",2018,"sales","REF",2018,"vehicle",3047
"FFV","Car",2018,"sales","REF",2018,"vehicle",359460
"HEV","Car",2018,"sales","REF",2018,"vehicle",472432
"ICEV-D","Car",2018,"sales","REF",2018,"vehicle",17513
"ICEV-G","Car",2018,"sales","REF",2018,"vehicle",7345085
"PHEV20","Car",2018,"sales","REF",2018,"vehicle",24777
"PHEV40","Car",2018,"sales","REF",2018,"vehicle",17275
"BEV100","Light truck",2018,"sales","REF",2018,"vehicle",8254
"BEV300","Light truck",2018,"sales","REF",2018,"vehicle",6882
"CNG","Light truck",2018,"sales","REF",2018,"vehicle",56382
"FCV","Light truck",2018,"sales","REF",2018,"vehicle",3137
"FFV","Light truck",2018,"sales","REF",2018,"vehicle",948240
"HEV","Light truck",2018,"sales","REF",2018,"vehicle",48711
"ICEV-D","Light truck",2018,"sales","REF",2018,"vehicle",83595
"ICEV-G","Light truck",2018,"sales","REF",2018,"vehicle",6302677
"PHEV20","Light truck",2018,"sales","REF",2018,"vehicle",24825
"PHEV40","Light truck",2018,"sales","REF",2018,"vehicle",14690
"BEV100","Car",2019,"sales","REF",2018,"vehicle",80536
"BEV300","Car",2019,"sales","REF",2018,"vehicle",342012
"CNG","Car",2019,"sales","REF",2018,"vehicle",26572
"FCV","Car",2019,"sales","REF",2018,"vehicle",5630
"FFV","Car",2019,"sales","REF",2018,"vehicle",372111
"HEV","Car",2019,"sales","REF",2018,"vehicle",484019
"ICEV-D","Car",2019,"sales","REF",2018,"vehicle",39927
"ICEV-G","Car",2019,"sales","REF",2018,"vehicle",7127230
"PHEV20","Car",2019,"sales","REF",2018,"vehicle",27756
"PHEV40","Car",2019,"sales","REF",2018,"vehicle",18343
"BEV100","Light truck",2019,"sales","REF",2018,"vehicle",14173
"BEV300","Light truck",2019,"sales","REF",2018,"vehicle",12736
"CNG","Light truck",2019,"sales","REF",2018,"vehicle",57961
"FCV","Light truck",2019,"sales","REF",2018,"vehicle",5802
"FFV","Light truck",2019,"sales","REF",2018,"vehicle",947080
"HEV","Light truck",2019,"sales","REF",2018,"vehicle",53257
"ICEV-D","Light truck",2019,"sales","REF",2018,"vehicle",135139
