Source,Technology,Size,Data,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
EPA,Glo,LDV,curb weight (lbs),4060.398912,4079.197817,3981.817501,3715.237624,3655.465025,3227.875662,3201.759039,3201.843448,3257.340198,3261.575944,3271.127113,3237.974362,3220.506504,3283.46494,3351.456824,3426.037795,3409.555472,3512.304827,3518.930404,3603.432248,3612.509268,3658.785761,3727.285495,3744.005378,3835.374547,3821.286174,3879.287568,3950.932465,3998.834953,4111.072272,4059.441491,4066.533121,4093.314534,4085.003261,3914.192915,4001.322797,4125.93362,3978.834829,4002.972921,4059.639386,4035.455341
TEDB,Glo,LDV,curb weight (lbs),,,,,,,,,,,,,,,,,,,,,3694,3715,3757,3849,3843,3902,3915,3934,3965,4042,4017,4044,4076,4070,3915,4040,4072,3920,3988,3994,
EPA,Glo,Car,curb weight (lbs),4057.49384,4058.85893,3943.612673,3588.111208,3484.556394,3101.498497,3075.887677,3053.386591,3112.01206,3100.501257,3095.974592,3043.022998,3034.935975,3051.050732,3103.50359,3178.419338,3168.471381,3253.610856,3241.070023,3268.106213,3274.090978,3296.772234,3285.48213,3333.932314,3390.274345,3400.90891,3410.948778,3415.317173,3437.169054,3492.267028,3498.113805,3563.456751,3550.976894,3568.989092,3501.628889,3536.414537,3616.516782,3519.480645,3542.972149,3559.296268,3555.909679
EPA,Glo,Light truck,curb weight (lbs),4072.518499,4155.326859,4136.001638,4152.066832,4256.863205,3868.605769,3805.59637,3813.483394,3772.505755,3787.013344,3803.230559,3741.088212,3717.872421,3849.867024,3931.676428,4013.663231,3960.869198,4077.521921,4098.418614,4148.771257,4201.098494,4254.75996,4393.927232,4316.95025,4456.773608,4420.970037,4542.719009,4612.206578,4654.56395,4782.647547,4762.949772,4758.224262,4871.283483,4837.015991,4752.971929,4784.495262,4824.308921,4809.062488,4823.903278,4789.933938,4680.477417
EPA,ICEV-G,Car,curb weight (lbs),4058.818963,4059.683167,3947.463371,3589.024962,3476.271559,3083.652,3043.579744,3026.602133,3100.910158,3098.86096,3094.354053,3043.481942,3033.623759,3051.050732,3103.629757,3178.432413,3168.176356,3253.367458,3241.070023,3267.97007,3273.628044,3296.427205,3285.254077,3334.099401,3390.356788,3402.566597,3412.914215,3417.327112,3440.524505,3497.132412,3506.177632,3570.952853,3558.193759,3579.54458,3503.805165,3535.36794,3619.150195,3517.90275,3535.543258,3552.816938,3551.428625
EPA,ICEV-D,Car,curb weight (lbs),3500,3737.917404,3149.309348,3487.98502,3867.318324,3486.692078,3588.008987,3599.413477,3642.797886,3196.635692,3275.765186,2897.957285,3605.950031,0,2750,3141.565681,3403.213497,3641.551016,0,5000,4076.164387,3628.644526,3550.352929,3241.504648,3337.966363,3000,3098.546914,3212.261212,3205.189168,3336.511978,3566.522022,3528.954458,4608.77115,4289.940543,3550.462157,3511.215558,3604.32481,3541.404207,3518.654793,3649.910376,3713.982113
EPA,HEV,Car,curb weight (lbs),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,2845.742326,2931.334122,2982.147431,2993.735209,3078.669585,3090.102669,3318.271125,3244.478267,3420.196446,3557.637274,3544.991854,3544.043455,3664.142251,3661.891682,3623.294501
EPA,ICEV-G,Light truck,curb weight (lbs),4072.518499,4155.326859,4136.001638,4150.200337,4243.684428,3848.243427,3840.960762,3774.213652,3741.780246,3774.707901,3794.667472,3735.102594,3715.164919,3846.899992,3929.508719,4011.479666,3958.765471,4076.588256,4098.418614,4148.771257,4201.098494,4253.867634,4393.467605,4316.637974,4456.773608,4420.970037,4542.719009,4612.206578,4654.56395,4782.544989,4763.880607,4762.980628,4874.11153,4837.150526,4747.887189,4780.475693,4819.66642,4802.643335,4819.557524,4788.98958,4671.137051
EPA,ICEV-D,Light truck,curb weight (lbs),0,0,0,4376.23439,4977.044964,4436.895352,3212.637435,4192.296902,4384.143613,4293.547015,4580.540256,4534.559395,4694.51087,5343.730852,5382.282305,5364.474175,5466.183862,5161.692461,0,0,0,5455.904073,5849.053638,5861.604689,0,0,0,0,0,6000,4500,4627.847822,5241.214674,5413.172362,5508.854938,5586.673135,5559.338767,5567.507581,5433.706333,5168.030172,5515.42898
EPA,HEV,Light truck,curb weight (lbs),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4195.873371,4453.799395,4430.240856,4727.445327,5041.300513,4914.986464,5042.18545,5065.22116,5090.217282,4381.008008,4682.080337
GREET,PHEV,Car,curb weight (lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREET,BEV,Car,curb weight (lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREET,FCV,Car,curb weight (lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREET,PHEV,Light truck,curb weight (lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREET,BEV,Light truck,curb weight (lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREET,FCV,Light truck,curb weight (lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
