Fuel,LHV Conv,LHV,HHV,Density,C ratio,S ratio,S ratio,
Unit,J/L,Btu/gal,Btu/gal,grams/gal,(% by wt),(ppm by wt),Actual ratio by wt,LHV/HHV
Crude oil,36141146.11,129670,138350,3205,0.853,16000,0.016,0.937260571
Synthetic crude oil (SCO),37650370.74,135084.9129,144475.8427,3266,0.855620685,1800,0.0018,0.935
Bitumen,42468257.94,152370.9013,162963.5308,3839.682125,0.83,48000,0.048,0.935
Dilbit (After Recovery),42468257.94,152370.9013,162963.5308,3839.682125,0.83,48000,0.048,0.935
Dilbit (Before Recovery),40467991.04,145194.189,155287.9027,3500.477488,0.832458857,37227.38965,3.72E-02,0.935
Diluent,35800701.61,128448.5269,137378.1037,2709,0.840590835,1600,0.0016,0.935
Shale Oil (Bakken),35007023.54,125600.9073,134008.5257,3087.237213,0.853,16000,0.016,0.937260571
Shale Oil (Eagle Ford),34140690.02,122492.6089,130692.1604,2984.042655,0.853,16000,0.016,0.937260571
Gasoline blendstock,32356178.39,116090,124340,2819,0.863,25.5,0.0000255,0.93364967
Gasoline,31270165.8,112193.52,120438.62,2835.562,0.82778547,22.92551837,2.29E-05,0.931541062
CA gasoline,31270165.8,112193.52,120438.62,2835.562,0.82778547,22.92551837,2.29E-05,0.931541062
High Octane Fuel (E25),29585738.1,106150,114387.5,2861.25,0.77775,19.26750003,1.93E-05,0.927986012
High Octane Fuel (E40),27923473.93,100186,108416,2886.6,0.7266,15.52800004,1.55E-05,0.924088695
Diesel,35801112.19,128450,137380,3167,0.865,200,0.0002,0.934997816
CA diesel,36090377.26,129487.8476,138490,3206,0.871,11,0.000011,
Diesel for non-road engines,35801112.19,128450,137380,3167,0.865,11,0.000011,0.934997816
Low-sulfur diesel,36090377.26,129487.8476,138490,3206,0.871,11,0.000011,0.934997816
Petroleum naphtha,32587512.94,116920,125080,2745,0.85,1,0.000001,0.934761752
Low Octane Gasoline-Like Fuel (LOF),32954703.53,118237.4348,126586.1571,2833.856976,0.853156388,10,0.00001,0.934047115
Conventional Jet Fuel,34646399.98,124307.0342,132948.6944,3035.899622,0.862,700,0.0007,0.935000038
ULS Jet Fuel,34293599.99,123041.2311,131594.8943,2998.045512,0.86,11,0.000011,0.935000038
NG-based FT naphtha,31082444.78,111520,119740,2651,0.842,0,0,0.931351261
