Class,Commodity
Crude and semicrude,"Aluminium alloy plate, sheet, strip, t > 0.2 mm, nes"
Crude and semicrude,"Aluminium alloy rectangular plate/sheet/strip, t > 0.2 mm"
Bauxite,Aluminium ores & concentrates
Unwrought,"Aluminium unwrought, alloyed"
Unwrought,"Aluminium unwrought, not alloyed"
Residues,Ash or residues containing mainly aluminium
Crude and semicrude,"Bars, rods & other profiles, aluminium alloyed"
Crude and semicrude,"Bars, rods & profiles, aluminium, not alloyed"
Manufactures,"Foil, aluminium, not backed, rolled but not further worked, < 0.2 mm"
Manufactures,"Powders, aluminium, of non-lamellar structure"
Manufactures,"Powders/flakes, aluminium, of lamellar structure"
Crude and semicrude,"Profiles, hollow, aluminium, alloyed"
Crude and semicrude,"Pure aluminium plate, sheet, strip, t > 0.2 mm"
Crude and semicrude,"Pure aluminium rectangular plate/sheet/strip, t > 0.2 mm"
Crude and semicrude,"Tubes & pipe, aluminium alloy"
Crude and semicrude,"Tubes & pipe, aluminium, not alloyed"
Scrap,"Waste or scrap, aluminium"
Manufactures,"Wire, aluminium alloy, t < 7 mm"
Manufactures,"Wire, aluminium alloy, t > 7 mm"
Manufactures,"Wire, aluminium, not alloyed, t < 7 mm"
Manufactures,"Wire, aluminium, not alloyed, t > 7 mm"
