Data,Region,"Electricity, medium voltage, aluminium industry"
Transmission efficiency,CA-QC,0.966737527
Transmission efficiency,CN,0.97631503
Transmission efficiency,IAI Area 1,0.958323667
Transmission efficiency,"IAI Area 2, without Quebec",0.975908948
Transmission efficiency,IAI Area 3,0.942531859
Transmission efficiency,IAI Area 4&5 without China,0.951330636
Transmission efficiency,IAI Area 8,0.955557247
Transmission efficiency,RoW,1
Transmission efficiency,UN-EUROPE,0.960695525
Transmission efficiency,UN-OCEANIA,0.969902928
