"Year","Region","electricity production, hydro","electricity production, coal","electricity production, oil","electricity production, nuclear","electricity production, natural gas"
2000,"CA-QC",1,0,0,0,0
2000,"CN",0.100004624491306,0.899995375508694,0,0,0
2000,"IAI Area 1",0.389345647032323,0.610654352967677,0,0,0
2000,"IAI Area 2, without Quebec",0.473775834032445,0.477805119571043,0.00283373271926524,0.0344959729691889,0.011089340708058
2000,"IAI Area 3",0.917657326872724,0,0.0155897312426641,0.00297950461973696,0.063773437264875
2000,"IAI Area 4&5 without China",0.118897747936774,0.330011190376276,0.0132186319765002,0,0.537872429710449
2000,"IAI Area 8",0,0,0,0,0
2000,"RoW",0,0,0,0,0
2000,"UN-EUROPE",0.453840631730079,0.22790141182101,0.0167823243200128,0.223402727925341,0.0780729042035575
2000,"UN-OCEANIA",0.252472006890612,0.747527993109388,0,0,0
2001,"CA-QC",1,0,0,0,0
2001,"CN",0.100001917582312,0.899998082417688,0,0,0
2001,"IAI Area 1",0.339251743817375,0.64996829422955,0,0.00907272815960197,0.00170723379347349
2001,"IAI Area 2, without Quebec",0.324937574680487,0.64241285402478,0.00412619688118339,0.0198002065103767,0.00872316790317293
2001,"IAI Area 3",0.959970193740686,0,0,0,0.0400298062593145
2001,"IAI Area 4&5 without China",0.120849047158162,0.329639889196676,0.0135166705603578,0,0.535994393084805
2001,"IAI Area 8",0,0,0,0,0
2001,"RoW",0,0,0,0,0
2001,"UN-EUROPE",0.447576502817296,0.263549481679793,0.0174329919372412,0.182423808486131,0.089017215079538
2001,"UN-OCEANIA",0.229355753001497,0.770644246998503,0,0,0
2002,"CA-QC",1,0,0,0,0
2002,"CN",0.10000150650055,0.89999849349945,0,0,0
2002,"IAI Area 1",0.320373868947002,0.668340459381525,0,0.00939644029034503,0.00188923138112757
2002,"IAI Area 2, without Quebec",0.278602978154493,0.692866621475022,0.00236481928204555,0.0172402954110417,0.00892528567739771
2002,"IAI Area 3",0.959970193740686,0,0,0,0.0400298062593145
2002,"IAI Area 4&5 without China",0.102520724073761,0.341059042463204,0.00368803924885806,0,0.552732194214177
2002,"IAI Area 8",0,0,0,0,0
2002,"RoW",0,0,0,0,0
2002,"UN-EUROPE",0.454820008498756,0.239376555575791,0.0194105505979482,0.192314696776543,0.0940781885509622
2002,"UN-OCEANIA",0.234285714285714,0.765714285714286,0,0,0
2003,"CA-QC",1,0,0,0,0
2003,"CN",0.100001199774442,0.899998800225558,0,0,0
2003,"IAI Area 1",0.23636803874092,0.747312348668281,0,0.0135593220338983,0.00276029055690073
2003,"IAI Area 2, without Quebec",0.290955491615022,0.690006394045724,0.000125250752231934,0.010946915745071,0.007965947841951
2003,"IAI Area 3",0.959185439441576,0,0,0,0.040814560558424
2003,"IAI Area 4&5 without China",0.032312466270912,0.391594711279007,0.00357528332433891,0,0.572517539125742
2003,"IAI Area 8",0,0,0,0,0
2003,"RoW",0,0,0,0,0
2003,"UN-EUROPE",0.467852136058437,0.245628274182838,0.016571976684129,0.178705821589316,0.09124179148528
