Start Date,End Date,Africa & Asia (ex China),North America,South America,Europe,Oceania,China,World
1-Jan-1985,1-Jan-1986,"16,239","12,048","12,452","12,267","13,417",ND,"12,977"
1-Jan-1986,1-Jan-1987,"15,536","11,512","10,286","12,126","13,031",ND,"12,156"
1-Jan-1987,1-Jan-1988,"18,016","12,728","9,965","12,269","12,592",ND,"12,229"
1-Jan-1988,1-Jan-1989,"15,463","13,365","9,981","12,230","12,402",ND,"12,234"
1-Jan-1989,1-Jan-1990,"14,456","13,653","11,462","11,893","12,339",ND,"12,476"
1-Jan-1990,1-Jan-1991,"15,488","13,289","11,985","12,001","12,706",ND,"12,737"
1-Jan-1991,1-Jan-1992,"15,379","13,286","12,278","12,084","12,435",ND,"12,696"
1-Jan-1992,1-Jan-1993,"15,004","13,020","12,372","12,453","12,447",ND,"12,705"
1-Jan-1993,1-Jan-1994,"15,698","12,872","12,613","12,264","11,398",ND,"12,353"
1-Jan-1994,1-Jan-1995,"15,169","12,327","12,644","11,723","11,500",ND,"12,194"
1-Jan-1995,1-Jan-1996,"15,065","12,528","12,794","12,094","12,301",ND,"12,621"
1-Jan-1996,1-Jan-1997,"16,455","12,668","12,580","11,987","12,213",ND,"12,637"
1-Jan-1997,1-Jan-1998,"16,356","11,356","12,052","12,191","12,269",ND,"12,339"
1-Jan-1998,1-Jan-1999,"17,468","11,025","12,144","13,031","12,126","40,632","14,919"
1-Jan-1999,1-Jan-2000,"17,106","11,273","11,709","12,883","11,964","38,278","14,774"
1-Jan-2000,1-Jan-2001,"16,687","11,654","11,903","12,627","11,370","35,644","14,479"
1-Jan-2001,1-Jan-2002,"15,421","11,082","11,807","12,934","11,087","34,691","14,366"
1-Jan-2002,1-Jan-2003,"12,938","11,957","11,436","13,490","11,375","33,948","14,554"
1-Jan-2003,1-Jan-2004,"14,536","10,927","11,112","12,312","11,745","32,612","14,193"
1-Jan-2004,1-Jan-2005,"12,581","10,352","10,043","12,403","11,864","30,088","13,756"
1-Jan-2005,1-Jan-2006,"12,788","11,385","11,190","12,510","11,444","29,348","14,133"
1-Jan-2006,1-Jan-2007,"19,093","12,076","11,065","17,005","11,457","23,598","15,201"
1-Jan-2007,1-Jan-2008,"18,057","10,961","10,741","14,628","11,230","25,522","15,737"
1-Jan-2008,1-Jan-2009,"16,787","10,871","10,504","15,840","11,295","23,356","15,456"
1-Jan-2009,1-Jan-2010,"16,955","11,819","9,554","17,137","11,397","19,385","14,638"
1-Jan-2010,1-Jan-2011,"16,212","12,018","9,814","14,627","10,721","18,581","14,236"
1-Jan-2011,1-Jan-2012,"15,491","11,262","9,043","14,274","11,411","16,640","13,600"
1-Jan-2012,1-Jan-2013,"15,683","11,617","8,882","13,255","10,128","17,140","13,534"
1-Jan-2013,1-Jan-2014,"16,642","11,451","8,847","13,791","10,508","15,523","13,215"
1-Jan-2014,1-Jan-2015,"15,011","11,953","8,624","13,086","10,673","13,936","12,520"
1-Jan-2015,1-Jan-2016,"14,622","12,158","8,974","12,979","10,450","12,524","11,910"
