2015,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),"5,478,000","5,479,000","12,701,000","19,916,000","8,391,000","56,768,000",-,"108,733,000"
Reporting Production (tonnes),"5,302,311","5,189,239","12,345,299","19,904,221","7,630,907","56,768,000","1,593,023","107,139,977"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"54,114",0,"27,387","56,731","16,265","515,251",ND,"669,748"
Oil,"13,314",0,"70,764","4,131",156,"32,421",ND,"120,786"
Gas,510,"35,672","7,433","125,744","69,698","89,584",ND,"328,641"
Electricity,106,"1,980","3,774","8,446","11,110","66,619",ND,"92,035"
Other,"3,609","13,404",0,"12,954",187,"7,110",ND,"37,264"
Total,"71,653","51,056","109,358","208,006","97,416","710,985","45,000","1,248,474"

2014,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),"5,307,000","5,551,000","13,175,000","20,269,000","8,179,000","49,269,000",-,"101,750,000"
Reporting Production (tonnes),"2,933,921","5,551,000","13,009,859","20,269,000","7,281,765","49,269,000","3,435,455","98,314,545"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"32,045",71,"28,657","53,153",0,"497,574",ND,"611,500"
Oil,"7,514",25,"71,672","15,678","9,728","31,309",ND,"135,926"
Gas,361,"50,384","7,838","126,981","56,912","86,511",ND,"328,987"
Electricity,75,"3,113","4,026","10,897","10,330","64,334",ND,"92,775"
Other,"2,988","14,727",0,"11,984","15,636","6,866",ND,"52,201"
Total,"42,983","68,320","112,193","218,693","92,606","686,594","55,000","1,221,389"

2013,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),"4,980,000","5,873,000","13,069,000","21,240,000","8,264,000","46,961,000",-,"100,387,000"
Reporting Production (tonnes),"2,914,748","5,632,383","12,674,355","21,236,706","7,431,593","44,375,731","6,121,484","94,265,516"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"31,700",78,"26,425","46,050",0,"499,212",ND,"603,465"
Oil,"7,374",27,"72,404","23,540","12,863","31,412",ND,"147,620"
Gas,387,"45,164","8,576","124,471","57,264","86,796",ND,"322,658"
Electricity,155,"3,064","2,617","8,383","12,001","64,546",ND,"90,766"
Other,"3,315","15,476",0,"20,722","16,787","6,889",ND,"63,189"
Total,"42,931","63,809","110,022","223,166","98,915","688,855","100,000","1,227,698"

2012,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),"5,391,000","5,226,000","13,918,119","20,997,000","8,163,000","41,276,881",-,"94,972,000"
Reporting Production (tonnes),"3,026,890","3,856,230","13,918,119","20,962,702","7,219,582","37,696,321","8,292,156","86,679,844"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"29,351",82,"26,975","43,101",0,"468,245",ND,"567,754"
Oil,"4,958",3,"74,123","22,034","13,825","29,463",ND,"144,406"
Gas,497,"39,746","18,689","121,836","52,125","81,411",ND,"314,304"
Electricity,"1,247","2,173","3,831","7,777","7,010","60,542",ND,"82,580"
Other,"3,280",887,0,"17,551","17,362","6,461",ND,"45,541"
Total,"39,333","42,891","123,618","212,299","90,322","646,122","131,000","1,154,585"

2011,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),"5,921,000","4,823,000","14,823,000","19,115,000","8,442,000","38,466,000",-,"91,590,000"
Reporting Production (tonnes),"3,381,117","3,678,620","14,719,926","19,059,437","7,642,054","34,077,611","9,031,235","82,558,765"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"29,083",0,"29,111","36,032",17,"410,952",ND,"505,195"
Oil,"9,909",0,"74,634","44,108","19,024","25,858",ND,"173,533"
Gas,590,"32,296","22,078","115,447","50,819","71,450",ND,"292,680"
Electricity,"1,175","1,918","7,284","5,868","7,532","53,134",ND,"76,911"
Other,"3,563","12,322",0,"16,039","27,143","5,671",ND,"64,738"
Total,"44,320","46,536","133,107","217,494","104,535","567,065","133,000","1,113,057"

2010,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),"5,711,000","4,446,000","13,662,734","19,647,000","8,204,000","31,017,266",-,"82,688,000"
Reporting Production (tonnes),"1,825,478","3,393,259","13,662,734","15,965,021","7,692,941","28,955,050","11,193,517","71,494,483"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"12,251",0,"26,991","19,901",23,"389,899",ND,"449,065"
Oil,"11,570",0,"76,232","21,836","21,919","24,533",ND,"156,090"
Gas,589,"30,271","25,484","97,061","49,963","67,790",ND,"271,158"
Electricity,404,"2,079","5,378","3,520","8,288","50,412",ND,"70,081"
Other,"4,224","10,998",0,"17,984","28,132","5,380",ND,"66,718"
Total,"29,038","43,348","134,085","160,302","108,325","538,014","164,000","1,013,112"

2009,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),"5,685,000","3,540,000","13,161,000","19,958,000","7,690,000","23,855,000",-,"73,889,000"
Reporting Production (tonnes),"3,234,698","2,804,849","12,226,990","16,502,744","7,117,522","22,895,000","9,107,197","64,781,803"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"26,274",95,"19,596","32,822",18,"321,636",ND,"400,441"
Oil,"17,844","1,324","73,842","27,340","26,336","20,238",ND,"166,924"
Gas,0,"17,369","15,032","97,664","49,091","55,921",ND,"235,077"
Electricity,"1,251","2,322","5,474","17,068","13,758","41,586",ND,"81,459"
Other,"1,965","11,002",0,"10,768","30,673","4,438",ND,"58,846"
Total,"47,334","32,112","113,944","185,662","119,876","443,820","139,000","942,748"

2008,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),"5,816,000","5,427,439","15,589,000","19,416,000","9,860,000","22,590,561",-,"78,699,000"
Reporting Production (tonnes),"3,309,551","5,427,439","15,541,235","19,324,142","7,902,378","21,781,000","5,413,255","73,285,745"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"32,820",65,"14,708","51,414",46,"368,667",ND,"467,720"
Oil,"17,598","3,935","116,719","26,379","32,106","23,197",ND,"219,934"
Gas,52,"38,978","24,526","118,054","49,634","64,098",ND,"295,342"
Electricity,924,"4,185","7,287","19,012","27,776","47,667",ND,"106,851"
Other,"3,080","11,842",0,"3,416","12,837","5,087",ND,"36,262"
Total,"54,474","59,005","163,240","218,275","122,399","508,717","90,000","1,126,110"

2007,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),"5,263,000","5,290,000","14,949,581","18,987,000","10,031,000","20,010,419",-,"74,531,000"
Reporting Production (tonnes),"1,688,160","5,169,404","14,949,581","18,831,417","8,559,454","18,547,000","6,785,984","67,745,016"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"7,810",0,"5,416","51,811",182,"343,041",ND,"408,260"
Oil,"11,771","4,299","118,037","21,050","42,854","21,585",ND,"219,596"
Gas,840,"37,298","26,496","123,431","51,294","59,643",ND,"299,002"
Electricity,599,"3,432","10,619","9,826","31,051","44,354",ND,"99,881"
Other,"2,905","11,632",2,"5,359",0,"4,734",ND,"24,632"
Total,"23,925","56,661","160,570","211,477","125,381","473,357","122,000","1,051,371"

2006,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),"5,019,000","5,929,000","14,857,206","18,341,000","9,851,000","12,727,794",-,"66,725,000"
Reporting Production (tonnes),"3,437,938","5,517,803","14,857,206","18,298,942","8,327,174","12,918,000","3,367,937","63,357,063"
