Year,Category,Africa,North America,Asia (ex China),South America,Europe,Oceania,GCC,China,World
1980,AC,16487.00,17477.00,15680.00,17348.00,16669.00,16678.00,ND,ND,16951.00
1980,DC,ND,ND,ND,ND,ND,ND,ND,ND,ND
1981,AC,16348.00,17151.00,15864.00,17396.00,16550.00,16094.00,ND,ND,16776.00
1981,DC,ND,ND,ND,ND,ND,ND,ND,ND,ND
1982,AC,16022.00,17009.00,16495.00,17135.00,16375.00,16468.00,ND,ND,16694.00
1982,DC,ND,ND,ND,ND,ND,ND,ND,ND,ND
1983,AC,15655.00,17264.00,16997.00,16905.00,16356.00,16647.00,ND,ND,16825.00
1983,DC,ND,ND,ND,ND,ND,ND,ND,ND,ND
1984,AC,15880.00,17325.00,16563.00,16357.00,16151.00,15867.00,ND,ND,16676.00
1984,DC,ND,ND,ND,ND,ND,ND,ND,ND,ND
1985,AC,16393.00,16955.00,16876.00,16284.00,16290.00,15902.00,ND,ND,16580.00
1985,DC,ND,ND,ND,ND,ND,ND,ND,ND,ND
1986,AC,15933.00,16713.00,16547.00,16463.00,16219.00,15936.00,ND,ND,16419.00
1986,DC,ND,ND,ND,ND,ND,ND,ND,ND,ND
1987,AC,15870.00,16839.00,16599.00,15922.00,16034.00,15670.00,ND,ND,16328.00
1987,DC,ND,ND,ND,ND,ND,ND,ND,ND,ND
1988,AC,15608.00,16640.00,16527.00,16067.00,16157.00,15702.00,ND,ND,16298.00
1988,DC,ND,ND,ND,ND,ND,ND,ND,ND,ND
1989,AC,15763.00,16856.00,16264.00,15867.00,15990.00,15265.00,ND,ND,16253.00
1989,DC,ND,ND,ND,ND,ND,ND,ND,ND,ND
1990,AC,15590.00,16443.00,16080.00,16067.00,15897.00,15397.00,ND,ND,16083.00
1990,DC,ND,ND,ND,ND,ND,ND,ND,ND,ND
1991,AC,15483.00,16273.00,16140.00,15947.00,15732.00,15550.00,ND,ND,15984.00
1991,DC,ND,ND,ND,ND,ND,ND,ND,ND,ND
1992,AC,15424.00,16164.00,16216.00,15755.00,15402.00,15448.00,ND,ND,15841.00
1992,DC,ND,ND,ND,ND,ND,ND,ND,ND,ND
1993,AC,15754.00,16015.00,15838.00,15465.00,15339.00,15297.00,ND,ND,15689.00
1993,DC,ND,ND,ND,ND,ND,ND,ND,ND,ND
1994,AC,15760.00,15987.00,15964.00,15636.00,15563.00,15180.00,ND,ND,15747.00
1994,DC,ND,ND,ND,ND,ND,ND,ND,ND,ND
1995,AC,15817.00,16048.00,16114.00,15607.00,15603.00,15238.00,ND,16600.00,15878.00
1995,DC,ND,ND,ND,ND,ND,ND,ND,14530.00,ND
1996,AC,15238.00,15984.00,15821.00,15678.00,15440.00,15231.00,ND,16065.00,15718.00
1996,DC,ND,ND,ND,ND,ND,ND,ND,14487.00,ND
1997,AC,15132.00,15985.00,15765.00,15654.00,15619.00,15187.00,ND,15858.00,15711.00
1997,DC,ND,ND,ND,ND,ND,ND,ND,14178.00,ND
1998,AC,15084.00,15940.00,15831.00,15958.00,15548.00,15259.00,ND,15473.00,15679.00
