2015,Africa,North America,South America,Asia (ex China),Europe,Oceania,GCC,China,Estimated Unreported,World Reported
Aluminium Production (tonnes),"1,687,000","4,469,000","1,325,000","3,001,000","7,574,000","1,982,520","5,104,000","31,672,000","1,075,480","57,890,000"
Reporting Production (tonnes),"1,600,532","4,432,100","1,320,336","2,183,088","7,463,427","1,982,520","4,347,279","31,413,060",ND,"54,742,342"
POWER MIX,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Hydro,"13,178","49,543","14,789","4,767","101,184","7,920",0,"40,444",ND,"231,825"
Coal,"10,110","16,284",51,"28,122","7,088","21,158",0,"363,999",ND,"446,812"
Oil,0,1,0,0,252,0,7,0,ND,260
Natural Gas,0,582,"5,553",0,"3,055",0,"63,268",0,ND,"72,458"
Nuclear,0,648,96,0,"11,327",0,0,0,ND,"12,071"
Total,"23,288","67,058","20,489","32,889","122,906","29,078","63,275","404,443","50,000","763,426"
POWER SOURCE,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Self-Generated,0,"23,573","5,785","32,758","2,349",0,"57,823","254,799",ND,"377,087"
Purchased from Supplier(s),"23,288","43,485","15,011",131,"120,557","29,078","5,452","149,644",ND,"386,646"
Total,"23,288","67,058","20,796","32,889","122,906","29,078","63,275","404,443","50,000","763,733"

2014,Africa,North America,South America,Asia (ex China),Europe,Oceania,GCC,China,Estimated Unreported,World Reported
Aluminium Production (tonnes),"1,746,000","4,585,000","1,543,000","2,429,000","7,360,000","2,036,801","4,832,000","27,517,400","1,078,000","53,127,201"
Reporting Production (tonnes),"1,406,433","3,841,987","1,407,328","1,085,078","7,273,560","2,036,801","3,822,343","27,517,400",ND,"48,390,930"
POWER MIX,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Hydro,"10,243","47,646","14,888",546,"95,382","7,766",0,"37,413",ND,"213,884"
Coal,"10,218","8,621",52,"15,797","6,852","22,318",0,"336,714",ND,"400,572"
Oil,0,277,316,0,335,0,28,0,ND,956
Natural Gas,0,578,"5,720",0,"2,810",0,"57,640",0,ND,"66,748"
Nuclear,0,7,103,0,"7,900",0,0,0,ND,"8,010"
Total,"20,461","57,129","21,079","16,343","113,279","30,084","57,668","374,127","80,000","690,170"
POWER SOURCE,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Self-Generated,0,"22,107","6,934","16,108","9,622",683,"57,365","235,700",ND,"348,519"
Purchased from Supplier(s),"20,461","35,022","14,145",235,"103,657","29,401",303,"138,427",ND,"341,651"
