Region,"aluminium production, primary, liquid, Soderberg","Anode, paste, for aluminium electrolysis",Aluminium oxide,"Electricity, medium voltage"
CA-QC,1,-0.527,-1.92376,-15.111
CN,1,-0.527138066,-1.92338807,-17.17267928
IAI Area 1,1,-0.527138066,-1.92338807,-17.17267928
"IAI Area 2, without Quebec",1,-0.527138066,-1.92376,-15.111
IAI Area 3,1,-0.527138066,-1.92338807,-17.17267928
IAI Area 4&5 without China,1,-0.527138066,-1.92338807,-17.17267928
IAI Area 8,1,-0.527138066,-1.92338807,-17.17267928
RoW,1,-0.527138066,-1.92338807,-17.17267928
UN-EUROPE,1,-0.527138066,-1.92338807,-17.17267928
UN-OCEANIA,1,-0.527138066,-1.92338807,-17.17267928
