Region,"Aluminium, primary, ingot","aluminium production, primary, liquid, prebake","aluminium production, primary, liquid, Soderberg","Electricity, medium voltage"
CA-QC,1,-1.007689836,-0.078310164,-0.17
CN,1,-1.02,0,-0.075
IAI Area 1,1,-1.02,0,-0.075
"IAI Area 2, without Quebec",1,-0.8823,-0.1377,-0.075
IAI Area 3,1,-0.728382,-0.291618,-0.075
IAI Area 4&5 without China,1,-1.003884,-0.016116,-0.075
IAI Area 8,1,-1.02,0,-0.075
RoW,1,-1.00769,-0.07831017,-0.075
UN-EUROPE,1,-0.694722,-0.325278,-0.075
UN-OCEANIA,1,-1.02,0,-0.075
