Country,Region
Afghanistan,RoW
Albania,UN-EUROPE
Algeria,RoW
American Samoa,RoW
Andorra,RoW
Angola,RoW
Anguilla,RoW
Antarctica,RoW
Antigua and Barbuda,RoW
"Areas, nes",RoW
Argentina,IAI Area 3
Armenia,RoW
Aruba,RoW
Australia,UN-OCEANIA
Austria,UN-EUROPE
Azerbaijan,IAI Area 4&5 without China
Bahamas,RoW
Bahrain,IAI Area 8
Bangladesh,RoW
Barbados,RoW
Belarus,UN-EUROPE
Belgium,UN-EUROPE
Belize,RoW
Benin,RoW
Bermuda,RoW
Bhutan,RoW
Bolivia,RoW
Bonaire,RoW
Bosnia Herzegovina,UN-EUROPE
Botswana,RoW
Bouvet Island,RoW
Brazil,IAI Area 3
British Indian Ocean Territory,RoW
British Virgin Isds,RoW
Brunei Darussalam,RoW
Bulgaria,UN-EUROPE
Bunkers,RoW
Burkina Faso,RoW
Burundi,RoW
Cabo Verde,RoW
Cambodia,RoW
Cameroon,IAI Area 1
Canada,CA-QC
Cayman Isds,RoW
Central African Rep.,RoW
Chad,RoW
Chile,RoW
China,CN
"China, Hong Kong SAR",CN
"China, Macao SAR",CN
Christmas Isds,RoW
Cocos Isds,RoW
Colombia,RoW
Comoros,RoW
"Congo, Dem. Rep.",RoW
"Congo, Rep.",RoW
Cook Isds,RoW
Costa Rica,RoW
Cote d'Ivoire,RoW
Croatia,UN-EUROPE
Cuba,RoW
Curacao,RoW
Cyprus,UN-EUROPE
Czech Rep.,UN-EUROPE
Denmark,UN-EUROPE
Djibouti,RoW
Dominica,RoW
Dominican Rep.,IAI Area 3
Ecuador,RoW
Egypt,IAI Area 1
El Salvador,RoW
Equatorial Guinea,RoW
Eritrea,RoW
Estonia,UN-EUROPE
Ethiopia,RoW
"Europe EU, nes",UN-EUROPE
Faeroe Isds,RoW
Falkland Isds (Malvinas),RoW
Fiji,RoW
Finland,UN-EUROPE
Fmr Sudan,RoW
France,UN-EUROPE
Free Zones,RoW
French Polynesia,RoW
French Southern Territories,RoW
Gabon,RoW
Gambia,RoW
Georgia,RoW
Germany,UN-EUROPE
Ghana,IAI Area 1
Gibraltar,RoW
Greece,UN-EUROPE
Greenland,RoW
Grenada,RoW
Guam,RoW
Guatemala,RoW
Guinea,IAI Area 1
Guinea-Bissau,RoW
Guyana,IAI Area 3
Haiti,IAI Area 3
Heard Island and McDonald Isds,RoW
Holy See,UN-EUROPE
Honduras,RoW
