Scenario,Scrapped material,Year,Wrought Aluminum,Cast Aluminum,Cast Iron,Mild steel and other steels,HSS/AHSS,Construction steel,Loss
All,Wrought Aluminum,1950,0,0.22,0,0,0,0,0.78
All,Wrought Aluminum,1951,0,0.23,0,0,0,0,0.77
All,Wrought Aluminum,1952,0,0.24,0,0,0,0,0.76
All,Wrought Aluminum,1953,0,0.25,0,0,0,0,0.75
All,Wrought Aluminum,1954,0,0.26,0,0,0,0,0.74
All,Wrought Aluminum,1955,0,0.27,0,0,0,0,0.73
All,Wrought Aluminum,1956,0,0.28,0,0,0,0,0.72
All,Wrought Aluminum,1957,0,0.29,0,0,0,0,0.71
All,Wrought Aluminum,1958,0,0.3,0,0,0,0,0.7
All,Wrought Aluminum,1959,0,0.31,0,0,0,0,0.69
All,Wrought Aluminum,1960,0,0.33,0,0,0,0,0.68
All,Wrought Aluminum,1961,0,0.34,0,0,0,0,0.66
All,Wrought Aluminum,1962,0,0.35,0,0,0,0,0.65
All,Wrought Aluminum,1963,0,0.36,0,0,0,0,0.64
All,Wrought Aluminum,1964,0,0.37,0,0,0,0,0.63
All,Wrought Aluminum,1965,0,0.38,0,0,0,0,0.62
All,Wrought Aluminum,1966,0,0.39,0,0,0,0,0.61
All,Wrought Aluminum,1967,0,0.4,0,0,0,0,0.6
All,Wrought Aluminum,1968,0,0.41,0,0,0,0,0.59
All,Wrought Aluminum,1969,0,0.42,0,0,0,0,0.58
All,Wrought Aluminum,1970,0,0.43,0,0,0,0,0.57
All,Wrought Aluminum,1971,0,0.44,0,0,0,0,0.56
All,Wrought Aluminum,1972,0,0.45,0,0,0,0,0.55
All,Wrought Aluminum,1973,0,0.46,0,0,0,0,0.54
All,Wrought Aluminum,1974,0,0.47,0,0,0,0,0.53
All,Wrought Aluminum,1975,0,0.48,0,0,0,0,0.52
All,Wrought Aluminum,1976,0,0.49,0,0,0,0,0.51
All,Wrought Aluminum,1977,0,0.5,0,0,0,0,0.5
All,Wrought Aluminum,1978,0,0.51,0,0,0,0,0.49
All,Wrought Aluminum,1979,0,0.52,0,0,0,0,0.48
All,Wrought Aluminum,1980,0,0.54,0,0,0,0,0.47
All,Wrought Aluminum,1981,0,0.55,0,0,0,0,0.45
All,Wrought Aluminum,1982,0,0.56,0,0,0,0,0.44
All,Wrought Aluminum,1983,0,0.57,0,0,0,0,0.43
All,Wrought Aluminum,1984,0,0.58,0,0,0,0,0.42
All,Wrought Aluminum,1985,0,0.59,0,0,0,0,0.41
All,Wrought Aluminum,1986,0,0.6,0,0,0,0,0.4
All,Wrought Aluminum,1987,0,0.61,0,0,0,0,0.39
All,Wrought Aluminum,1988,0,0.62,0,0,0,0,0.38
All,Wrought Aluminum,1989,0,0.63,0,0,0,0,0.37
All,Wrought Aluminum,1990,0,0.64,0,0,0,0,0.36
All,Wrought Aluminum,1991,0,0.65,0,0,0,0,0.35
All,Wrought Aluminum,1992,0,0.66,0,0,0,0,0.34
All,Wrought Aluminum,1993,0,0.67,0,0,0,0,0.33
All,Wrought Aluminum,1994,0,0.68,0,0,0,0,0.32
All,Wrought Aluminum,1995,0,0.69,0,0,0,0,0.31
All,Wrought Aluminum,1996,0,0.7,0,0,0,0,0.3
All,Wrought Aluminum,1997,0,0.71,0,0,0,0,0.29
All,Wrought Aluminum,1998,0,0.72,0,0,0,0,0.28
All,Wrought Aluminum,1999,0,0.73,0,0,0,0,0.27
All,Wrought Aluminum,2000,0,0.75,0,0,0,0,0.26
All,Wrought Aluminum,2001,0,0.76,0,0,0,0,0.24
All,Wrought Aluminum,2002,0,0.77,0,0,0,0,0.23
All,Wrought Aluminum,2003,0,0.78,0,0,0,0,0.22
All,Wrought Aluminum,2004,0,0.79,0,0,0,0,0.21
All,Wrought Aluminum,2005,0,0.8,0,0,0,0,0.2
All,Wrought Aluminum,2006,0,0.81,0,0,0,0,0.19
All,Wrought Aluminum,2007,0,0.82,0,0,0,0,0.18
All,Wrought Aluminum,2008,0,0.83,0,0,0,0,0.17
All,Wrought Aluminum,2009,0,0.84,0,0,0,0,0.16
All,Wrought Aluminum,2010,0,0.85,0,0,0,0,0.15
All,Wrought Aluminum,2011,0,0.85,0,0,0,0,0.15
All,Wrought Aluminum,2012,0,0.85,0,0,0,0,0.15
All,Wrought Aluminum,2013,0,0.86,0,0,0,0,0.14
All,Wrought Aluminum,2014,0,0.86,0,0,0,0,0.14
All,Wrought Aluminum,2015,0,0.86,0,0,0,0,0.14
All,Cast Aluminum,1950,0,0.22,0,0,0,0,0.78
All,Cast Aluminum,1951,0,0.23,0,0,0,0,0.77
All,Cast Aluminum,1952,0,0.24,0,0,0,0,0.76
All,Cast Aluminum,1953,0,0.25,0,0,0,0,0.75
All,Cast Aluminum,1954,0,0.26,0,0,0,0,0.74
All,Cast Aluminum,1955,0,0.27,0,0,0,0,0.73
All,Cast Aluminum,1956,0,0.28,0,0,0,0,0.72
All,Cast Aluminum,1957,0,0.29,0,0,0,0,0.71
All,Cast Aluminum,1958,0,0.3,0,0,0,0,0.7
All,Cast Aluminum,1959,0,0.31,0,0,0,0,0.69
All,Cast Aluminum,1960,0,0.33,0,0,0,0,0.68
All,Cast Aluminum,1961,0,0.34,0,0,0,0,0.66
All,Cast Aluminum,1962,0,0.35,0,0,0,0,0.65
All,Cast Aluminum,1963,0,0.36,0,0,0,0,0.64
All,Cast Aluminum,1964,0,0.37,0,0,0,0,0.63
All,Cast Aluminum,1965,0,0.38,0,0,0,0,0.62
All,Cast Aluminum,1966,0,0.39,0,0,0,0,0.61
All,Cast Aluminum,1967,0,0.4,0,0,0,0,0.6
All,Cast Aluminum,1968,0,0.41,0,0,0,0,0.59
All,Cast Aluminum,1969,0,0.42,0,0,0,0,0.58
All,Cast Aluminum,1970,0,0.43,0,0,0,0,0.57
All,Cast Aluminum,1971,0,0.44,0,0,0,0,0.56
All,Cast Aluminum,1972,0,0.45,0,0,0,0,0.55
All,Cast Aluminum,1973,0,0.46,0,0,0,0,0.54
All,Cast Aluminum,1974,0,0.47,0,0,0,0,0.53
All,Cast Aluminum,1975,0,0.48,0,0,0,0,0.52
All,Cast Aluminum,1976,0,0.49,0,0,0,0,0.51
All,Cast Aluminum,1977,0,0.5,0,0,0,0,0.5
All,Cast Aluminum,1978,0,0.51,0,0,0,0,0.49
All,Cast Aluminum,1979,0,0.52,0,0,0,0,0.48
All,Cast Aluminum,1980,0,0.54,0,0,0,0,0.47
All,Cast Aluminum,1981,0,0.55,0,0,0,0,0.45
All,Cast Aluminum,1982,0,0.56,0,0,0,0,0.44
All,Cast Aluminum,1983,0,0.57,0,0,0,0,0.43
All,Cast Aluminum,1984,0,0.58,0,0,0,0,0.42
All,Cast Aluminum,1985,0,0.59,0,0,0,0,0.41
All,Cast Aluminum,1986,0,0.6,0,0,0,0,0.4
All,Cast Aluminum,1987,0,0.61,0,0,0,0,0.39
All,Cast Aluminum,1988,0,0.62,0,0,0,0,0.38
All,Cast Aluminum,1989,0,0.63,0,0,0,0,0.37
All,Cast Aluminum,1990,0,0.64,0,0,0,0,0.36
All,Cast Aluminum,1991,0,0.65,0,0,0,0,0.35
