"LWscen","Year","GWP100","fc_impro","frv_impro","aeo_scen","Case"
"Aluminum Intensive",2015,1511306011540.24,"Med","Med","REF","Lightweighting"
"Aluminum Maximum",2015,1511306011540.24,"Med","Med","REF","Lightweighting"
"Baseline with technological changes",2015,1511306011540.24,"Med","Med","REF","Lightweighting"
"Steel Intensive",2015,1511306011540.24,"Med","Med","REF","Lightweighting"
"Aluminum Intensive",2016,1498151469704.62,"Med","Med","REF","Lightweighting"
"Aluminum Maximum",2016,1499914584200.88,"Med","Med","REF","Lightweighting"
"Baseline with technological changes",2016,1498015693682.26,"Med","Med","REF","Lightweighting"
"Steel Intensive",2016,1497370495907.61,"Med","Med","REF","Lightweighting"
"Aluminum Intensive",2017,1497883829325.64,"Med","Med","REF","Lightweighting"
"Aluminum Maximum",2017,1500868411498.71,"Med","Med","REF","Lightweighting"
"Baseline with technological changes",2017,1498243358416.45,"Med","Med","REF","Lightweighting"
"Steel Intensive",2017,1496717151658.18,"Med","Med","REF","Lightweighting"
"Aluminum Intensive",2018,1500874622936.57,"Med","Med","REF","Lightweighting"
"Aluminum Maximum",2018,1504932918982.29,"Med","Med","REF","Lightweighting"
"Baseline with technological changes",2018,1502275339892.06,"Med","Med","REF","Lightweighting"
"Steel Intensive",2018,1499527125534.43,"Med","Med","REF","Lightweighting"
"Aluminum Intensive",2019,1498979416622.26,"Med","Med","REF","Lightweighting"
"Aluminum Maximum",2019,1503564313827.88,"Med","Med","REF","Lightweighting"
"Baseline with technological changes",2019,1502057842607.46,"Med","Med","REF","Lightweighting"
"Steel Intensive",2019,1497850021524.07,"Med","Med","REF","Lightweighting"
"Aluminum Intensive",2020,1492762394458.54,"Med","Med","REF","Lightweighting"
"Aluminum Maximum",2020,1497429388327.64,"Med","Med","REF","Lightweighting"
"Baseline with technological changes",2020,1498059241926.24,"Med","Med","REF","Lightweighting"
"Steel Intensive",2020,1492181325947.68,"Med","Med","REF","Lightweighting"
"Aluminum Intensive",2021,1479122902363.2,"Med","Med","REF","Lightweighting"
"Aluminum Maximum",2021,1483321505774.78,"Med","Med","REF","Lightweighting"
"Baseline with technological changes",2021,1487146847196.87,"Med","Med","REF","Lightweighting"
"Steel Intensive",2021,1479458848456.96,"Med","Med","REF","Lightweighting"
"Aluminum Intensive",2022,1464895150618.73,"Med","Med","REF","Lightweighting"
"Aluminum Maximum",2022,1468552383485.57,"Med","Med","REF","Lightweighting"
"Baseline with technological changes",2022,1476029480215.12,"Med","Med","REF","Lightweighting"
"Steel Intensive",2022,1466278231133.34,"Med","Med","REF","Lightweighting"
"Aluminum Intensive",2023,1449978803175.64,"Med","Med","REF","Lightweighting"
"Aluminum Maximum",2023,1452863693561.61,"Med","Med","REF","Lightweighting"
"Baseline with technological changes",2023,1464667630645.44,"Med","Med","REF","Lightweighting"
"Steel Intensive",2023,1452622448879.03,"Med","Med","REF","Lightweighting"
"Aluminum Intensive",2024,1432660040858.65,"Med","Med","REF","Lightweighting"
"Aluminum Maximum",2024,1434392195806.53,"Med","Med","REF","Lightweighting"
"Baseline with technological changes",2024,1451360656272.3,"Med","Med","REF","Lightweighting"
"Steel Intensive",2024,1436846614971.8,"Med","Med","REF","Lightweighting"
"Aluminum Intensive",2025,1413606797104.92,"Med","Med","REF","Lightweighting"
"Aluminum Maximum",2025,1413931737936.45,"Med","Med","REF","Lightweighting"
"Baseline with technological changes",2025,1436721845898.32,"Med","Med","REF","Lightweighting"
"Steel Intensive",2025,1419546351539.1,"Med","Med","REF","Lightweighting"
"Aluminum Intensive",2026,1396981229702.86,"Med","Med","REF","Lightweighting"
"Aluminum Maximum",2026,1395714147843.77,"Med","Med","REF","Lightweighting"
"Baseline with technological changes",2026,1424907649493.38,"Med","Med","REF","Lightweighting"
"Steel Intensive",2026,1404857800263.01,"Med","Med","REF","Lightweighting"
"Aluminum Intensive",2027,1381024093544.96,"Med","Med","REF","Lightweighting"
"Aluminum Maximum",2027,1377785275934.85,"Med","Med","REF","Lightweighting"
"Baseline with technological changes",2027,1414170321127.01,"Med","Med","REF","Lightweighting"
"Steel Intensive",2027,1391180677621,"Med","Med","REF","Lightweighting"
"Aluminum Intensive",2028,1367029192457.56,"Med","Med","REF","Lightweighting"
"Aluminum Maximum",2028,1361631740834.75,"Med","Med","REF","Lightweighting"
"Baseline with technological changes",2028,1405739554699.19,"Med","Med","REF","Lightweighting"
"Steel Intensive",2028,1379699600766.14,"Med","Med","REF","Lightweighting"
"Aluminum Intensive",2029,1353812414831.01,"Med","Med","REF","Lightweighting"
"Aluminum Maximum",2029,1345916844780.02,"Med","Med","REF","Lightweighting"
"Baseline with technological changes",2029,1398473105301.31,"Med","Med","REF","Lightweighting"
"Steel Intensive",2029,1369272713648.63,"Med","Med","REF","Lightweighting"
"Aluminum Intensive",2030,1342421526246.03,"Med","Med","REF","Lightweighting"
"Aluminum Maximum",2030,1331896405194.6,"Med","Med","REF","Lightweighting"
