"LWscen","Year","GWP100","fc_impro","frv_impro","aeo_scen","Case","y_start","y_end","delta_y","rel_delta_y","cum_GWP100"
"Baseline without technological changes",2015,1511306011540.24,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"Baseline without technological changes",2016,1498021454855.47,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"Baseline without technological changes",2017,1502427899150.19,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"Baseline without technological changes",2018,1507495191361.34,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"Baseline without technological changes",2019,1510843297012.74,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"Baseline without technological changes",2020,1513925651604.03,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"Baseline without technological changes",2021,1513500973984.94,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"Baseline without technological changes",2022,1516538020807.46,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"Baseline without technological changes",2023,1522379195817.26,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"Baseline without technological changes",2024,1529356557126.72,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"Baseline without technological changes",2025,1538184426230.34,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"Baseline without technological changes",2026,1549448668370.78,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"Baseline without technological changes",2027,1561501022809.62,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"Baseline without technological changes",2028,1575257812800.88,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"Baseline without technological changes",2029,1589371294156.61,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"Baseline without technological changes",2030,1604718753833.48,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"Baseline without technological changes",2031,1620548029827.41,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"Baseline without technological changes",2032,1635253488172.47,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"Baseline without technological changes",2033,1649195980934.76,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"Baseline without technological changes",2034,1663786556916.39,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"Baseline without technological changes",2035,1678433921685.95,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"Baseline without technological changes",2036,1693531300201.93,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"Baseline without technological changes",2037,1708553270540.72,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
