"LWscen","Year","Phase","GWP100","delta_GWP100","phase_tbp"
"Aluminum Intensive",2050,"Fuel Production",9429802296269.12,-518267143590.428,"Fuel Production"
"Aluminum Maximum",2050,"Fuel Production",9116750372631.88,-831319067227.67,"Fuel Production"
"Steel Intensive",2050,"Fuel Production",9705843325813.1,-242226114046.445,"Fuel Production"
"Aluminum Intensive",2050,"Fuel Use",37104539648358.5,-1906957965223.32,"Fuel Use"
"Aluminum Maximum",2050,"Fuel Use",35937744210534.2,-3073753403047.7,"Fuel Use"
"Steel Intensive",2050,"Fuel Use",38126375434266.4,-885122179315.477,"Fuel Use"
"Aluminum Intensive",2050,"Manufacturing",974183745607.251,-71246933995.1143,"Vehicle production"
"Aluminum Maximum",2050,"Manufacturing",886813868370.35,-158616811232.016,"Vehicle production"
"Steel Intensive",2050,"Manufacturing",1015478198434.29,-29952481168.0757,"Vehicle production"
"Aluminum Intensive",2050,"Primary Material Production",1975551187769.87,278821141461.527,"Vehicle production"
"Aluminum Maximum",2050,"Primary Material Production",2804475675392.06,1107745629083.72,"Vehicle production"
"Steel Intensive",2050,"Primary Material Production",1594495131567.86,-102234914740.479,"Vehicle production"
"Aluminum Intensive",2050,"Secondary Material Production",334914093840.056,24329166218.0339,"Vehicle production"
"Aluminum Maximum",2050,"Secondary Material Production",369275526238.67,58690598616.6476,"Vehicle production"
"Steel Intensive",2050,"Secondary Material Production",296995664575.324,-13589263046.6981,"Vehicle production"
