"LWscen","Year","GWP100","fc_impro","frv_impro","aeo_scen","Case","y_start","y_end","delta_y","rel_delta_y","cum_GWP100"
"BAU",2015,1511306011540.24,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2016,1498021454855.47,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2017,1502427899150.19,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2018,1507495191361.34,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2019,1510843297012.74,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2020,1513925651604.03,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2021,1513500973984.94,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2022,1516538020807.46,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2023,1522379195817.26,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2024,1529356557126.72,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2025,1538184426230.34,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2026,1549448668370.78,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2027,1561501022809.62,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2028,1575257812800.88,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2029,1589371294156.61,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2030,1604718753833.48,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2031,1620548029827.41,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2032,1635253488172.47,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2033,1649195980934.76,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2034,1663786556916.39,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2035,1678433921685.95,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2036,1693531300201.93,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2037,1708553270540.72,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2038,1724812803175.66,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2039,1741687839279.19,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2040,1758613423226,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2041,1776919868817.94,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2042,1795900070566.19,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2043,1816575026902.05,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2044,1838887768596.3,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2045,1862313695836.32,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2046,1887116355207.28,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2047,1911825243249.14,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2048,1934727452940.44,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2049,1959475973284.93,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2050,1984670872142.13,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2015,1511306011540.24,"Med","Med","REF_BAU","Fuel consumption improvements",1511306011540.24,1511306011540.24,0,0,0
"BAU",2016,1498015693682.26,"Med","Med","REF_BAU","Fuel consumption improvements",1498021454855.47,1498015693682.26,-5761173.20825195,-3.84585493724306e-06,-5761173.20849609
"BAU",2017,1501913996364.69,"Med","Med","REF_BAU","Fuel consumption improvements",1502427899150.19,1501913996364.69,-513902785.50293,-0.000342048217950163,-519663958.711914
"BAU",2018,1504912997045.14,"Med","Med","REF_BAU","Fuel consumption improvements",1507495191361.34,1504912997045.14,-2582194316.20239,-0.00171290384937848,-3101858274.91309
"BAU",2019,1504493746052.26,"Med","Med","REF_BAU","Fuel consumption improvements",1510843297012.74,1504493746052.26,-6349550960.48682,-0.00420265355979752,-9451409235.40039
"BAU",2020,1501395596022.74,"Med","Med","REF_BAU","Fuel consumption improvements",1513925651604.03,1501395596022.74,-12530055581.2876,-0.0082765329777006,-21981464816.6875
"BAU",2021,1491717983399.44,"Med","Med","REF_BAU","Fuel consumption improvements",1513500973984.94,1491717983399.44,-21782990585.4998,-0.014392452307544,-43764455402.1875
"BAU",2022,1482908309230.27,"Med","Med","REF_BAU","Fuel consumption improvements",1516538020807.46,1482908309230.27,-33629711577.1963,-0.0221753171472025,-77394166979.3828
"BAU",2023,1474248635201.61,"Med","Med","REF_BAU","Fuel consumption improvements",1522379195817.26,1474248635201.61,-48130560615.6438,-0.0316153562449374,-125524727595.027
"BAU",2024,1463644522542.02,"Med","Med","REF_BAU","Fuel consumption improvements",1529356557126.72,1463644522542.02,-65712034584.7014,-0.0429671120697701,-191236762179.729
"BAU",2025,1451853299580.55,"Med","Med","REF_BAU","Fuel consumption improvements",1538184426230.34,1451853299580.55,-86331126649.7898,-0.0561253417845111,-277567888829.518
