"LWscen","Year","GWP100","fc_impro","frv_impro","aeo_scen","Case","y_start","y_end","delta_y","rel_delta_y","cum_GWP100"
"BAU",2015,1511306011540.24,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2016,1498021454855.47,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2017,1502427899150.19,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2018,1507495191361.34,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2019,1510843297012.74,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2020,1513925651604.03,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2021,1513500973984.94,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2022,1516538020807.46,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2023,1522379195817.26,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2024,1529356557126.72,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2025,1538184426230.34,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2026,1549448668370.78,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2027,1561501022809.62,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2028,1575257812800.88,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2029,1589371294156.61,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2030,1604718753833.48,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2031,1620548029827.41,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2032,1635253488172.47,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2033,1649195980934.76,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2034,1663786556916.39,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2035,1678433921685.95,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2036,1693531300201.93,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2037,1708553270540.72,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2038,1724812803175.66,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2039,1741687839279.19,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2040,1758613423226,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2041,1776919868817.94,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2042,1795900070566.19,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2043,1816575026902.05,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2044,1838887768596.3,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2045,1862313695836.32,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2046,1887116355207.28,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2047,1911825243249.14,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2048,1934727452940.44,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2049,1959475973284.93,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2050,1984670872142.13,"n","n","REF_BAU","No Change",NA,NA,NA,NA,NA
"BAU",2015,1511306011540.24,"n","n","REF_EV","Alternative powertrain/fuel penetration",1511306011540.24,1511306011540.24,0,0,0
"BAU",2016,1498021454855.47,"n","n","REF_EV","Alternative powertrain/fuel penetration",1498021454855.47,1498021454855.47,0,0,0
"BAU",2017,1502318097023.85,"n","n","REF_EV","Alternative powertrain/fuel penetration",1502427899150.19,1502318097023.85,-109802126.339844,-7.30831252547629e-05,-109802126.339844
"BAU",2018,1506757987463.97,"n","n","REF_EV","Alternative powertrain/fuel penetration",1507495191361.34,1506757987463.97,-737203897.373291,-0.000489025704093664,-847006023.712891
"BAU",2019,1508874527645.21,"n","n","REF_EV","Alternative powertrain/fuel penetration",1510843297012.74,1508874527645.21,-1968769367.53271,-0.00130309302852611,-2815775391.24609
"BAU",2020,1509474241100.68,"n","n","REF_EV","Alternative powertrain/fuel penetration",1513925651604.03,1509474241100.68,-4451410503.35034,-0.0029403098485279,-7267185894.5957
"BAU",2021,1506020059135.75,"n","n","REF_EV","Alternative powertrain/fuel penetration",1513500973984.94,1506020059135.75,-7480914849.19385,-0.00494278826230096,-14748100743.791
"BAU",2022,1505176404607.5,"n","n","REF_EV","Alternative powertrain/fuel penetration",1516538020807.46,1505176404607.5,-11361616199.9622,-0.00749181098269649,-26109716943.752
"BAU",2023,1505948393313.06,"n","n","REF_EV","Alternative powertrain/fuel penetration",1522379195817.26,1505948393313.06,-16430802504.1929,-0.0107928448768458,-42540519447.9453
"BAU",2024,1507215880397.57,"n","n","REF_EV","Alternative powertrain/fuel penetration",1529356557126.72,1507215880397.57,-22140676729.1514,-0.0144771189072797,-64681196177.0957
"BAU",2025,1509296691451.59,"n","n","REF_EV","Alternative powertrain/fuel penetration",1538184426230.34,1509296691451.59,-28887734778.7454,-0.0187804103891113,-93568930955.8418
