"LWscen","Case","delta_GWP100","param"
"Aluminum Intensive","Fuel consumption improvements",-2520987590917.82,"No improvements"
"Aluminum Maximum","Fuel consumption improvements",-3421845278279.69,"No improvements"
"Steel Intensive","Fuel consumption improvements",-1426438166390.34,"No improvements"
"Aluminum Intensive","Fuel consumption improvements",-2038913376434.02,"High improvements"
"Aluminum Maximum","Fuel consumption improvements",-2649237434574.56,"High improvements"
"Steel Intensive","Fuel consumption improvements",-1201093240447.65,"High improvements"
"Aluminum Intensive","Alternative powertrain/fuel penetration",-2318229987181.03,"No penetration"
"Aluminum Maximum","Alternative powertrain/fuel penetration",-3091369713259.45,"No penetration"
"Steel Intensive","Alternative powertrain/fuel penetration",-1332804400946.77,"No penetration"
"Aluminum Intensive","Alternative powertrain/fuel penetration",-1807703940637.35,"High EV"
"Aluminum Maximum","Alternative powertrain/fuel penetration",-2277287563682.5,"High EV"
"Steel Intensive","Alternative powertrain/fuel penetration",-1093922101713.63,"High EV"
"Aluminum Intensive","Oil prices",-2499107680703.12,"Low oil prices"
"Aluminum Maximum","Oil prices",-3312149398178.2,"Low oil prices"
"Steel Intensive","Oil prices",-1449782235217.2,"Low oil prices"
"Aluminum Intensive","Oil prices",-1898758988240.06,"High oil prices"
"Aluminum Maximum","Oil prices",-2493913463018.5,"High oil prices"
"Steel Intensive","Oil prices",-1103815664016.6,"High oil prices"
"Aluminum Intensive","Automotive material recovery",-2251024467409.07,"Closed loop"
"Aluminum Maximum","Automotive material recovery",-3175234780392.36,"Closed loop"
"Steel Intensive","Automotive material recovery",-1255829681131.55,"Closed loop"
"Aluminum Intensive","Fuel consumption improvements",-2193321735129.3,"Default"
"Aluminum Maximum","Fuel consumption improvements",-2897253053807.02,"Default"
"Steel Intensive","Fuel consumption improvements",-1273124952317.17,"Default"
"Aluminum Intensive","Alternative powertrain/fuel penetration",-2193321735129.3,"Default"
"Aluminum Maximum","Alternative powertrain/fuel penetration",-2897253053807.02,"Default"
"Steel Intensive","Alternative powertrain/fuel penetration",-1273124952317.17,"Default"
"Aluminum Intensive","Oil prices",-2193321735129.3,"Default"
"Aluminum Maximum","Oil prices",-2897253053807.02,"Default"
"Steel Intensive","Oil prices",-1273124952317.17,"Default"
"Aluminum Intensive","Automotive material recovery",-2193321735129.3,"Default"
"Aluminum Maximum","Automotive material recovery",-2897253053807.02,"Default"
"Steel Intensive","Automotive material recovery",-1273124952317.17,"Default"
