"LWscen","Year","GWP100","assess_period","lw_period","frv_impro","fc_impro","aeo_scen","rec_scen","lw_first_yr","Case","delta_GWP100"
"Aluminum Intensive",2050,49949779496814.3,"20","14","Med","Med","REF","BAU","2016","Default technological changes",-2193321735129.3
"Aluminum Maximum",2050,49245848178136.6,"20","14","Med","Med","REF","BAU","2016","Default technological changes",-2897253053807.02
"Steel Intensive",2050,50869976279626.5,"20","14","Med","Med","REF","BAU","2016","Default technological changes",-1273124952317.17
"Aluminum Intensive",2050,50775352919336.6,"20","14","Med","Med","REF","BAU","2023","Default technological changes",-1367748312607.06
"Aluminum Maximum",2050,50426830282170,"20","14","Med","Med","REF","BAU","2023","Default technological changes",-1716270949773.66
"Steel Intensive",2050,51318437193307.2,"20","14","Med","Med","REF","BAU","2023","Default technological changes",-824664038636.453
"Aluminum Intensive",2050,51426009817665.6,"20","14","Med","Med","REF","BAU","2030","Default technological changes",-717091414278.047
"Aluminum Maximum",2050,51323143918361.5,"20","14","Med","Med","REF","BAU","2030","Default technological changes",-819957313582.148
"Steel Intensive",2050,51686544269804.6,"20","14","Med","Med","REF","BAU","2030","Default technological changes",-456556962139.031
"Aluminum Intensive",2050,41559695209934.5,"20","14","High","High","REF_EV","BAU","2016","High technological changes",-1682220821531.86
"Aluminum Maximum",2050,41163640965241.8,"20","14","High","High","REF_EV","BAU","2016","High technological changes",-2078275066224.58
"Steel Intensive",2050,42208045166300.9,"20","14","High","High","REF_EV","BAU","2016","High technological changes",-1033870865165.5
"Aluminum Intensive",2050,42297100765436.8,"20","14","High","High","REF_EV","BAU","2023","High technological changes",-944815266029.547
"Aluminum Maximum",2050,42198255876102.1,"20","14","High","High","REF_EV","BAU","2023","High technological changes",-1043660155364.29
"Steel Intensive",2050,42621255141173.9,"20","14","High","High","REF_EV","BAU","2023","High technological changes",-620660890292.453
"Aluminum Intensive",2050,42793808928514.7,"20","14","High","High","REF_EV","BAU","2030","High technological changes",-448107102951.703
"Aluminum Maximum",2050,42839337769672.3,"20","14","High","High","REF_EV","BAU","2030","High technological changes",-402578261794.102
"Steel Intensive",2050,42918290688675,"20","14","High","High","REF_EV","BAU","2030","High technological changes",-323625342791.344
"Aluminum Intensive",2050,57512175160383.8,"20","14","n","n","REF_BAU","BAU","2016","No technological changes",-2674930012581.58
"Aluminum Maximum",2050,56523851892429.3,"20","14","n","n","REF_BAU","BAU","2016","No technological changes",-3663253280536.06
"Steel Intensive",2050,58687781861066.2,"20","14","n","n","REF_BAU","BAU","2016","No technological changes",-1499323311899.19
"Aluminum Intensive",2050,58355759370535.6,"20","14","n","n","REF_BAU","BAU","2023","No technological changes",-1831345802429.73
"Aluminum Maximum",2050,57732152399856.6,"20","14","n","n","REF_BAU","BAU","2023","No technological changes",-2454952773108.74
"Steel Intensive",2050,59144213039507.6,"20","14","n","n","REF_BAU","BAU","2023","No technological changes",-1042892133457.78
"Aluminum Intensive",2050,59170001118395,"20","14","n","n","REF_BAU","BAU","2030","No technological changes",-1017104054570.3
"Aluminum Maximum",2050,58888706517880.8,"20","14","n","n","REF_BAU","BAU","2030","No technological changes",-1298398655084.59
"Steel Intensive",2050,59588335212627.9,"20","14","n","n","REF_BAU","BAU","2030","No technological changes",-598769960337.461
