"LWscen","Year","GWP100","assess_period","lw_period","frv_impro","fc_impro","aeo_scen","rec_scen","lw_first_yr","Case","delta_GWP100"
"Aluminum Intensive",2036,0.278076760579162,"20","14","Med","Med","REF","BAU","2016","Default technological changes",-0.0067301578998194
"Aluminum Maximum",2036,0.276841293631119,"20","14","Med","Med","REF","BAU","2016","Default technological changes",-0.0079656248478629
"Steel Intensive",2036,0.280475543132727,"20","14","Med","Med","REF","BAU","2016","Default technological changes",-0.00433137534625516
"Aluminum Intensive",2036,0.25487187049093,"20","14","High","High","REF_EV","BAU","2016","High technological changes",-0.00581278469614499
"Aluminum Maximum",2036,0.254168580703345,"20","14","High","High","REF_EV","BAU","2016","High technological changes",-0.00651607448372959
"Steel Intensive",2036,0.256797197594888,"20","14","High","High","REF_EV","BAU","2016","High technological changes",-0.00388745759218662
"Aluminum Intensive",2036,0.302872596383196,"20","14","n","n","REF_BAU","BAU","2016","No technological changes",-0.00802812927002494
"Aluminum Maximum",2036,0.300877811769722,"20","14","n","n","REF_BAU","BAU","2016","No technological changes",-0.0100229138834992
"Steel Intensive",2036,0.305960765922464,"20","14","n","n","REF_BAU","BAU","2016","No technological changes",-0.00493995973075684
"Aluminum Intensive",2043,0.25280690985487,"20","14","Med","Med","REF","BAU","2023","Default technological changes",-0.0060487809463905
"Aluminum Maximum",2043,0.251887252200236,"20","14","Med","Med","REF","BAU","2023","Default technological changes",-0.00696843860102397
"Steel Intensive",2043,0.254955059228123,"20","14","Med","Med","REF","BAU","2023","Default technological changes",-0.00390063157313691
"Aluminum Intensive",2043,0.208507179977779,"20","14","High","High","REF_EV","BAU","2023","High technological changes",-0.00436403838582269
"Aluminum Maximum",2043,0.208561982626645,"20","14","High","High","REF_EV","BAU","2023","High technological changes",-0.00430923573695621
"Steel Intensive",2043,0.20979759945473,"20","14","High","High","REF_EV","BAU","2023","High technological changes",-0.00307361890887137
"Aluminum Intensive",2043,0.295356312601316,"20","14","n","n","REF_BAU","BAU","2023","No technological changes",-0.00808820943961247
"Aluminum Maximum",2043,0.293229427258441,"20","14","n","n","REF_BAU","BAU","2023","No technological changes",-0.0102150947824874
"Steel Intensive",2043,0.298585949768437,"20","14","n","n","REF_BAU","BAU","2023","No technological changes",-0.00485857227249153
"Aluminum Intensive",2050,0.239994189620241,"20","14","Med","Med","REF","BAU","2030","Default technological changes",-0.00584237143801819
"Aluminum Maximum",2050,0.239156108477344,"20","14","Med","Med","REF","BAU","2030","Default technological changes",-0.00668045258091599
"Steel Intensive",2050,0.242116846524911,"20","14","Med","Med","REF","BAU","2030","Default technological changes",-0.00371971453334843
"Aluminum Intensive",2050,0.176069095180079,"20","14","High","High","REF_EV","BAU","2030","High technological changes",-0.00364502382451334
"Aluminum Maximum",2050,0.176439439032316,"20","14","High","High","REF_EV","BAU","2030","High technological changes",-0.00327467997227623
"Steel Intensive",2050,0.1770816633329,"20","14","High","High","REF_EV","BAU","2030","High technological changes",-0.00263245567169215
"Aluminum Intensive",2050,0.294772576438772,"20","14","n","n","REF_BAU","BAU","2030","No technological changes",-0.00827520594682035
"Aluminum Maximum",2050,0.292483950471228,"20","14","n","n","REF_BAU","BAU","2030","No technological changes",-0.0105638319143648
"Steel Intensive",2050,0.298176162108103,"20","14","n","n","REF_BAU","BAU","2030","No technological changes",-0.00487162027748994
