"Scenario","Size","Technology","Subcomponent","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"Steel Intensive","Car","ICEV-G","Body",0,-1.95036801614356,-3.90065803624117,-5.85086313832329,-7.80097577439506,-9.75098766141559,-11.7008896416211,-13.6506714996235,-15.6003217165904,-17.5498271292469,-19.4991724379161,-21.4483394603457,-23.3973059226305,-25.346043312099,-27.2945125081295,-29.2426526273153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steel Intensive","Car","ICEV-G","Chassis",0,-0.908117163388624,-1.82345863470539,-2.74664142793637,-3.67839148964248,-4.61957456254083,-5.5712397511914,-6.53468300877034,-7.51154328153899,-8.50395517296982,-9.51480630618954,-10.5482064783943,-11.6104393962773,-12.7122196480333,-13.8755923709023,-15.1692174996078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steel Intensive","Car","ICEV-G","Exterior",0,-0.0026136530954517,-0.00522722861657599,-0.00784072005058079,-0.0104541203281627,-0.0130674217247488,-0.015680615733686,-0.01829369289986,-0.0209066425955484,-0.0235194527088751,-0.0261321091933908,-0.0287445953834435,-0.0313568908825275,-0.0339689695850751,-0.036580795642621,-0.03919231314417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steel Intensive","Car","ICEV-G","Weld blanks and fasteners - G",0,-0.324092983835904,-0.6481859676718,-0.972278951507697,-1.2963719353436,-1.6204649191795,-1.94455790301539,-2.26865088685129,-2.59274387068719,-2.91683685452309,-3.24092983835899,-3.56502282219488,-3.88911580603078,-4.21320878986668,-4.53730177370258,-4.86139475753848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steel Intensive","Car","BEV100","Body",0,-2.1676531453781,-4.32471786629856,-6.47212793822877,-8.61067993437302,-10.7408445264659,-12.8636437407873,-14.9797264370547,-17.0894389921393,-19.1927048144794,-21.2907585633488,-23.3830826248845,-25.4714716846046,-27.5561753524609,-29.6373855737416,-31.7152460000067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steel Intensive","Car","BEV100","Chassis",0,-1.00928799554634,-2.01900122949706,-3.03039530696662,-4.04474530899597,-5.06323618131972,-6.08765545782637,-7.11977919936157,-8.16151575449715,-9.21495976699617,-10.2840031668052,-11.3724365099445,-12.4881640418663,-13.6424853268969,-14.8584400925487,-16.2075245636949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steel Intensive","Car","BEV100","Exterior",0,-0.00290483298863364,-0.0057991348038513,-0.00868387643746615,-0.0115598854512839,-0.0144276625775319,-0.0172882431476964,-0.0201422905662909,-0.0229901696574544,-0.0258318344987316,-0.0286684980613998,-0.0314996887731454,-0.034327138116943,-0.0371510995731867,-0.0399717701144553,-0.042789299750055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steel Intensive","Car","BEV100","Weld blanks and fasteners - G",0,-0.360199290591297,-0.720398581182593,-1.08059787177389,-1.44079716236519,-1.80099645295648,-2.16119574354777,-2.52139503413906,-2.88159432473036,-3.24179361532165,-3.60199290591295,-3.96219219650424,-4.32239148709554,-4.68259077768683,-5.04279006827812,-5.40298935886942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steel Intensive","Car","BEV300","Body",0,-2.17167582069675,-4.29495037266554,-6.37431393848749,-8.41397256682689,-10.4179812841965,-12.3900800539354,-14.3330558574841,-16.2488925456633,-18.1399095608048,-20.0090308982565,-21.8606493726518,-23.6979408160864,-25.5220377988681,-27.3339378928366,-29.1344886079763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steel Intensive","Car","BEV300","Chassis",0,-1.01116100641889,-1.99538342592012,-2.95609742558418,-3.89664295476808,-4.82039256095663,-5.73066691305411,-6.63030297078456,-7.52182010863208,-8.40839560710151,-9.29429998230091,-10.1860129128132,-11.0909210470366,-12.0184051555372,-12.9869456280225,-14.0528347529543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steel Intensive","Car","BEV300","Exterior",0,-0.00291022370347349,-0.00577230784124794,-0.00859091064663176,-0.0113703708513668,-0.0141148421540294,-0.0168281349163522,-0.0195130997935209,-0.0221717853552192,-0.0248065462939238,-0.0274202970943236,-0.0300173296072117,-0.0326007400947574,-0.0351716632277146,-0.0377310965830731,-0.0402798882937816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steel Intensive","Car","BEV300","Weld blanks and fasteners - G",0,-0.360867739230848,-0.721735478461703,-1.08260321769255,-1.44347095692341,-1.80433869615426,-2.16520643538512,-2.52607417461596,-2.88694191384682,-3.24780965307767,-3.60867739230852,-3.96954513153937,-4.33041287077022,-4.69128061000107,-5.05214834923192,-5.41301608846277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steel Intensive","Car","FFV","Body",0,-1.95305390923079,-3.90602580326191,-5.85890873896062,-7.81169514623321,-9.76437671885486,-11.7169442746016,-13.6693875720989,-15.6216950646653,-17.5738535588484,-19.5258477217922,-21.4776593340429,-23.4292660788165,-25.3806393919455,-27.3317400867064,-29.282507183687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steel Intensive","Car","FFV","Chassis",0,-0.909367750760509,-1.82596692585179,-2.75041533713636,-3.68343987212785,-4.62590739831018,-5.57886838636955,-6.5436204808866,-7.52180477198237,-8.5155586615291,-9.52777356650938,-10.5625646953391,-11.6262240457967,-12.729480373062,-13.8944080226818,-15.1897580828089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
