"Scenario","Size","Technology","Subcomponent","2030"
"Steel Intensive","Car","ICEV-G","Body",-10.1059900555417
"Steel Intensive","Car","ICEV-G","Chassis",-12.9540417984677
"Steel Intensive","Car","ICEV-G","Exterior",-0.734981094948509
"Steel Intensive","Car","ICEV-G","Interior",-1.65370746363411
"Steel Intensive","Car","ICEV-G","Tires",-1.60777114519987
"Steel Intensive","Car","ICEV-G","Transmission",-6.43108458079947
"Steel Intensive","Car","ICEV-G","Wheels",-1.60777114519987
"Steel Intensive","Car","BEV100","Body",-11.7219334355304
"Steel Intensive","Car","BEV100","Chassis",-15.0253874037253
"Steel Intensive","Car","BEV100","Exterior",-0.852504249856757
"Steel Intensive","Car","BEV100","Interior",-1.91813456217776
"Steel Intensive","Car","BEV100","Tires",-1.86485304656164
"Steel Intensive","Car","BEV100","Transmission",-7.45941218624649
"Steel Intensive","Car","BEV100","Wheels",-1.86485304656164
"Steel Intensive","Car","BEV300","Body",-12.1789827980662
"Steel Intensive","Car","BEV300","Chassis",-15.6112415866124
"Steel Intensive","Car","BEV300","Exterior",-0.885744203495747
"Steel Intensive","Car","BEV300","Interior",-1.9929244578654
"Steel Intensive","Car","BEV300","Tires",-1.93756544514693
"Steel Intensive","Car","BEV300","Transmission",-7.75026178058776
"Steel Intensive","Car","BEV300","Wheels",-1.93756544514694
"Steel Intensive","Car","FFV","Body",-10.1201846218838
"Steel Intensive","Car","FFV","Chassis",-12.972236651687
"Steel Intensive","Car","FFV","Exterior",-0.736013427046089
"Steel Intensive","Car","FFV","Interior",-1.6560302108536
"Steel Intensive","Car","FFV","Tires",-1.61002937166328
"Steel Intensive","Car","FFV","Transmission",-6.44011748665309
"Steel Intensive","Car","FFV","Wheels",-1.61002937166326
"Steel Intensive","Car","ICEV-D","Body",-10.6338561724597
"Steel Intensive","Car","ICEV-D","Chassis",-13.6306701846985
"Steel Intensive","Car","ICEV-D","Exterior",-0.773371357997085
"Steel Intensive","Car","ICEV-D","Interior",-1.74008555549338
"Steel Intensive","Car","ICEV-D","Tires",-1.69174984561861
"Steel Intensive","Car","ICEV-D","Transmission",-6.76699938247444
"Steel Intensive","Car","ICEV-D","Wheels",-1.69174984561859
"Steel Intensive","Car","CNG","Body",-10.1201846218838
"Steel Intensive","Car","CNG","Chassis",-12.972236651687
"Steel Intensive","Car","CNG","Exterior",-0.736013427046089
"Steel Intensive","Car","CNG","Interior",-1.6560302108536
"Steel Intensive","Car","CNG","Tires",-1.61002937166328
"Steel Intensive","Car","CNG","Transmission",-6.44011748665309
"Steel Intensive","Car","CNG","Wheels",-1.61002937166326
"Steel Intensive","Car","HEV","Body",-9.71669224374438
"Steel Intensive","Car","HEV","Chassis",-12.4550327851631
"Steel Intensive","Car","HEV","Exterior",-0.706668526817758
"Steel Intensive","Car","HEV","Interior",-1.59000418533989
"Steel Intensive","Car","HEV","Tires",-1.54583740241387
"Steel Intensive","Car","HEV","Transmission",-6.18334960965554
"Steel Intensive","Car","HEV","Wheels",-1.54583740241388
"Steel Intensive","Car","PHEV20","Body",-11.8118247881378
"Steel Intensive","Car","PHEV20","Chassis",-15.1406117738863
"Steel Intensive","Car","PHEV20","Exterior",-0.859041802773682
"Steel Intensive","Car","PHEV20","Interior",-1.93284405624092
"Steel Intensive","Car","PHEV20","Tires",-1.87915394356746
"Steel Intensive","Car","PHEV20","Transmission",-7.51661577426979
"Steel Intensive","Car","PHEV20","Wheels",-1.87915394356745
"Steel Intensive","Car","PHEV40","Body",-12.6662868817949
"Steel Intensive","Car","PHEV40","Chassis",-16.2358768212098
"Steel Intensive","Car","PHEV40","Exterior",-0.921184500494135
"Steel Intensive","Car","PHEV40","Interior",-2.07266512611187
"Steel Intensive","Car","PHEV40","Tires",-2.015091094831
"Steel Intensive","Car","PHEV40","Transmission",-8.06036437932405
"Steel Intensive","Car","PHEV40","Wheels",-2.015091094831
"Steel Intensive","Car","FCV","Body",-12.4820026785598
"Steel Intensive","Car","FCV","Chassis",-15.9996579788812
"Steel Intensive","Car","FCV","Exterior",-0.907782012986125
"Steel Intensive","Car","FCV","Interior",-2.04250952921865
"Steel Intensive","Car","FCV","Tires",-1.98577315340721
"Steel Intensive","Car","FCV","Transmission",-7.94309261362881
"Steel Intensive","Car","FCV","Wheels",-1.98577315340722
"Steel Intensive","Light truck","ICEV-G","Body",-14.308094042678
"Steel Intensive","Light truck","ICEV-G","Chassis",-18.340375091069
"Steel Intensive","Light truck","ICEV-G","Exterior",-1.04058865764932
"Steel Intensive","Light truck","ICEV-G","Interior",-2.34132447971095
"Steel Intensive","Light truck","ICEV-G","Tires",-2.27628768860786
"Steel Intensive","Light truck","ICEV-G","Transmission",-9.10515075443145
"Steel Intensive","Light truck","ICEV-G","Wheels",-2.27628768860787
"Steel Intensive","Light truck","BEV100","Body",-14.3510670847957
"Steel Intensive","Light truck","BEV100","Chassis",-18.3954587177834
"Steel Intensive","Light truck","BEV100","Exterior",-1.04371396980333
"Steel Intensive","Light truck","BEV100","Interior",-2.34835643205747
"Steel Intensive","Light truck","BEV100","Tires",-2.28312430894478
"Steel Intensive","Light truck","BEV100","Transmission",-9.13249723577907
"Steel Intensive","Light truck","BEV100","Wheels",-2.28312430894479
"Steel Intensive","Light truck","BEV300","Body",-14.573019470988
"Steel Intensive","Light truck","BEV300","Chassis",-18.6799613219024
"Steel Intensive","Light truck","BEV300","Exterior",-1.0598559615264
"Steel Intensive","Light truck","BEV300","Interior",-2.38467591343451
"Steel Intensive","Light truck","BEV300","Tires",-2.31843491583894
"Steel Intensive","Light truck","BEV300","Transmission",-9.27373966335577
"Steel Intensive","Light truck","BEV300","Wheels",-2.31843491583894
"Steel Intensive","Light truck","FFV","Body",-14.3412836924591
"Steel Intensive","Light truck","FFV","Chassis",-18.3829181876063
"Steel Intensive","Light truck","FFV","Exterior",-1.04300245036067
"Steel Intensive","Light truck","FFV","Interior",-2.34675551331128
"Steel Intensive","Light truck","FFV","Tires",-2.28156786016391
"Steel Intensive","Light truck","FFV","Transmission",-9.1262714406557
"Steel Intensive","Light truck","FFV","Wheels",-2.28156786016392
"Steel Intensive","Light truck","ICEV-D","Body",-17.3223630258906
"Steel Intensive","Light truck","ICEV-D","Chassis",-22.2041198786414
"Steel Intensive","Light truck","ICEV-D","Exterior",-1.25980822006481
"Steel Intensive","Light truck","ICEV-D","Interior",-2.83456849514562
"Steel Intensive","Light truck","ICEV-D","Tires",-2.75583048139172
"Steel Intensive","Light truck","ICEV-D","Transmission",-11.0233219255669
"Steel Intensive","Light truck","ICEV-D","Wheels",-2.75583048139172
"Steel Intensive","Light truck","CNG","Body",-14.3412836924591
"Steel Intensive","Light truck","CNG","Chassis",-18.3829181876063
"Steel Intensive","Light truck","CNG","Exterior",-1.04300245036067
"Steel Intensive","Light truck","CNG","Interior",-2.34675551331128
"Steel Intensive","Light truck","CNG","Tires",-2.28156786016391
"Steel Intensive","Light truck","CNG","Transmission",-9.1262714406557
"Steel Intensive","Light truck","CNG","Wheels",-2.28156786016392
"Steel Intensive","Light truck","HEV","Body",-13.5359501109425
"Steel Intensive","Light truck","HEV","Chassis",-17.3506269603891
"Steel Intensive","Light truck","HEV","Exterior",-0.984432735341244
"Steel Intensive","Light truck","HEV","Interior",-2.21497365451748
"Steel Intensive","Light truck","HEV","Tires",-2.15344660855892
"Steel Intensive","Light truck","HEV","Transmission",-8.61378643423558
"Steel Intensive","Light truck","HEV","Wheels",-2.15344660855892
"Steel Intensive","Light truck","PHEV20","Body",-14.5912582939452
"Steel Intensive","Light truck","PHEV20","Chassis",-18.7033401767854
"Steel Intensive","Light truck","PHEV20","Exterior",-1.06118242137791
"Steel Intensive","Light truck","PHEV20","Interior",-2.38766044810021
"Steel Intensive","Light truck","PHEV20","Tires",-2.3213365467641
"Steel Intensive","Light truck","PHEV20","Transmission",-9.28534618705646
"Steel Intensive","Light truck","PHEV20","Wheels",-2.32133654676413
"Steel Intensive","Light truck","PHEV40","Body",-15.5590567027782
"Steel Intensive","Light truck","PHEV40","Chassis",-19.9438817735613
"Steel Intensive","Light truck","PHEV40","Exterior",-1.13156776020207
"Steel Intensive","Light truck","PHEV40","Interior",-2.54602746045433
"Steel Intensive","Light truck","PHEV40","Tires",-2.47530447544197
"Steel Intensive","Light truck","PHEV40","Transmission",-9.90121790176798
"Steel Intensive","Light truck","PHEV40","Wheels",-2.47530447544199
"Steel Intensive","Light truck","FCV","Body",-15.0744929810744
"Steel Intensive","Light truck","FCV","Chassis",-19.322759184832
"Steel Intensive","Light truck","FCV","Exterior",-1.09632676226001
"Steel Intensive","Light truck","FCV","Interior",-2.4667352150849
"Steel Intensive","Light truck","FCV","Tires",-2.39821479244371
"Steel Intensive","Light truck","FCV","Transmission",-9.59285916977485
"Steel Intensive","Light truck","FCV","Wheels",-2.39821479244371
"Aluminum Intensive","Car","ICEV-G","Body",-21.9215386493918
"Aluminum Intensive","Car","ICEV-G","Chassis",-28.0994268142209
"Aluminum Intensive","Car","ICEV-G","Exterior",-1.5942937199558
"Aluminum Intensive","Car","ICEV-G","Interior",-3.58716086990049
"Aluminum Intensive","Car","ICEV-G","Tires",-3.48751751240325
"Aluminum Intensive","Car","ICEV-G","Transmission",-13.9500700496131
"Aluminum Intensive","Car","ICEV-G","Wheels",-3.48751751240325
"Aluminum Intensive","Car","BEV100","Body",-24.128719448264
"Aluminum Intensive","Car","BEV100","Chassis",-30.9286312927745
"Aluminum Intensive","Car","BEV100","Exterior",-1.75481595987375
"Aluminum Intensive","Car","BEV100","Interior",-3.94833590971595
"Aluminum Intensive","Car","BEV100","Tires",-3.83865991222382
"Aluminum Intensive","Car","BEV100","Transmission",-15.3546396488952
"Aluminum Intensive","Car","BEV100","Wheels",-3.83865991222381
"Aluminum Intensive","Car","BEV300","Body",-25.0627619215532
"Aluminum Intensive","Car","BEV300","Chassis",-32.1259039176275
"Aluminum Intensive","Car","BEV300","Exterior",-1.82274632156754
"Aluminum Intensive","Car","BEV300","Interior",-4.10117922352688
"Aluminum Intensive","Car","BEV300","Tires",-3.98725757842894
"Aluminum Intensive","Car","BEV300","Transmission",-15.9490303137158
"Aluminum Intensive","Car","BEV300","Wheels",-3.98725757842892
"Aluminum Intensive","Car","FFV","Body",-21.9539492030909
"Aluminum Intensive","Car","FFV","Chassis",-28.1409712512343
"Aluminum Intensive","Car","FFV","Exterior",-1.59665085113386
"Aluminum Intensive","Car","FFV","Interior",-3.59246441505115
"Aluminum Intensive","Car","FFV","Tires",-3.49267373685536
"Aluminum Intensive","Car","FFV","Transmission",-13.9706949474213
"Aluminum Intensive","Car","FFV","Wheels",-3.49267373685534
