"Scenario","Size","Technology","Subcomponent","bat_impro","fc_impro","frv_impro","Case","Year","value"
"BAU","Car","BEV300","Body","n","n","n","No improvements",2015,0
"BAU","Car","FFV","Body","n","n","n","No improvements",2015,0
"BAU","Car","HEV","Body","n","n","n","No improvements",2015,0
"BAU","Car","ICEV-G","Body","n","n","n","No improvements",2015,0
"BAU","Car","PHEV40","Body","n","n","n","No improvements",2015,0
"BAU","Car","BEV300","Chassis","n","n","n","No improvements",2015,0
"BAU","Car","FFV","Chassis","n","n","n","No improvements",2015,0
"BAU","Car","HEV","Chassis","n","n","n","No improvements",2015,0
"BAU","Car","ICEV-G","Chassis","n","n","n","No improvements",2015,0
"BAU","Car","PHEV40","Chassis","n","n","n","No improvements",2015,0
"BAU","Car","BEV300","Electronic Controller","n","n","n","No improvements",2015,0
"BAU","Car","HEV","Electronic Controller","n","n","n","No improvements",2015,0
"BAU","Car","PHEV40","Electronic Controller","n","n","n","No improvements",2015,0
"BAU","Car","FFV","Engine","n","n","n","No improvements",2015,0
"BAU","Car","HEV","Engine","n","n","n","No improvements",2015,0
"BAU","Car","ICEV-G","Engine","n","n","n","No improvements",2015,0
"BAU","Car","PHEV40","Engine","n","n","n","No improvements",2015,0
"BAU","Car","HEV","EV Battery","n","n","n","No improvements",2015,0
"BAU","Car","BEV300","Exterior","n","n","n","No improvements",2015,0
"BAU","Car","FFV","Exterior","n","n","n","No improvements",2015,0
"BAU","Car","HEV","Exterior","n","n","n","No improvements",2015,0
"BAU","Car","ICEV-G","Exterior","n","n","n","No improvements",2015,0
"BAU","Car","PHEV40","Exterior","n","n","n","No improvements",2015,0
"BAU","Car","FFV","Fuel storage system","n","n","n","No improvements",2015,0
"BAU","Car","ICEV-G","Fuel storage system","n","n","n","No improvements",2015,0
"BAU","Car","HEV","Generator","n","n","n","No improvements",2015,0
"BAU","Car","PHEV40","Generator","n","n","n","No improvements",2015,0
"BAU","Car","BEV300","Interior","n","n","n","No improvements",2015,0
"BAU","Car","FFV","Interior","n","n","n","No improvements",2015,0
"BAU","Car","HEV","Interior","n","n","n","No improvements",2015,0
"BAU","Car","ICEV-G","Interior","n","n","n","No improvements",2015,0
"BAU","Car","PHEV40","Interior","n","n","n","No improvements",2015,0
"BAU","Car","BEV300","Tires","n","n","n","No improvements",2015,0
"BAU","Car","FFV","Tires","n","n","n","No improvements",2015,0
"BAU","Car","HEV","Tires","n","n","n","No improvements",2015,0
"BAU","Car","ICEV-G","Tires","n","n","n","No improvements",2015,0
"BAU","Car","PHEV40","Tires","n","n","n","No improvements",2015,0
"BAU","Car","BEV300","Traction Motor","n","n","n","No improvements",2015,0
"BAU","Car","HEV","Traction Motor","n","n","n","No improvements",2015,0
"BAU","Car","PHEV40","Traction Motor","n","n","n","No improvements",2015,0
"BAU","Car","BEV300","Transmission","n","n","n","No improvements",2015,0
"BAU","Car","FFV","Transmission","n","n","n","No improvements",2015,0
"BAU","Car","HEV","Transmission","n","n","n","No improvements",2015,0
"BAU","Car","ICEV-G","Transmission","n","n","n","No improvements",2015,0
"BAU","Car","PHEV40","Transmission","n","n","n","No improvements",2015,0
"BAU","Car","BEV300","Wheels","n","n","n","No improvements",2015,0
"BAU","Car","FFV","Wheels","n","n","n","No improvements",2015,0
"BAU","Car","HEV","Wheels","n","n","n","No improvements",2015,0
"BAU","Car","ICEV-G","Wheels","n","n","n","No improvements",2015,0
"BAU","Car","PHEV40","Wheels","n","n","n","No improvements",2015,0
"BAU","Car","BEV300","Body","n","n","n","No improvements",2016,0.607933559606124
"BAU","Car","FFV","Body","n","n","n","No improvements",2016,0.636073400910846
"BAU","Car","HEV","Body","n","n","n","No improvements",2016,0.644404186322163
"BAU","Car","ICEV-G","Body","n","n","n","No improvements",2016,0.636048110730655
"BAU","Car","PHEV40","Body","n","n","n","No improvements",2016,0.64237608469449
"BAU","Car","BEV300","Chassis","n","n","n","No improvements",2016,0.779260290040668
"BAU","Car","FFV","Chassis","n","n","n","No improvements",2016,0.8153304502585
"BAU","Car","HEV","Chassis","n","n","n","No improvements",2016,0.826009002467458
"BAU","Car","ICEV-G","Chassis","n","n","n","No improvements",2016,0.815298032845647
"BAU","Car","PHEV40","Chassis","n","n","n","No improvements",2016,0.823409344926631
"BAU","Car","BEV300","Electronic Controller","n","n","n","No improvements",2016,0.113529010420464
"BAU","Car","HEV","Electronic Controller","n","n","n","No improvements",2016,0.0325421901053531
"BAU","Car","PHEV40","Electronic Controller","n","n","n","No improvements",2016,0.0372104138054539
"BAU","Car","FFV","Engine","n","n","n","No improvements",2016,0.373524745034985
"BAU","Car","HEV","Engine","n","n","n","No improvements",2016,0.281636084478322
"BAU","Car","ICEV-G","Engine","n","n","n","No improvements",2016,0.373412678126272
"BAU","Car","PHEV40","Engine","n","n","n","No improvements",2016,0.289325603403938
"BAU","Car","HEV","EV Battery","n","n","n","No improvements",2016,0.0980509437726838
"BAU","Car","BEV300","Exterior","n","n","n","No improvements",2016,0.0442133497895441
"BAU","Car","FFV","Exterior","n","n","n","No improvements",2016,0.0462598837026178
"BAU","Car","HEV","Exterior","n","n","n","No improvements",2016,0.0468657590052501
"BAU","Car","ICEV-G","Exterior","n","n","n","No improvements",2016,0.0462580444167813
"BAU","Car","PHEV40","Exterior","n","n","n","No improvements",2016,0.046718260705056
"BAU","Car","FFV","Fuel storage system","n","n","n","No improvements",2016,0.100051270991514
"BAU","Car","ICEV-G","Fuel storage system","n","n","n","No improvements",2016,0.100021253069535
"BAU","Car","HEV","Generator","n","n","n","No improvements",2016,0.0655799764680722
"BAU","Car","PHEV40","Generator","n","n","n","No improvements",2016,0.100779369972621
"BAU","Car","BEV300","Interior","n","n","n","No improvements",2016,3.19948003702646
"BAU","Car","FFV","Interior","n","n","n","No improvements",2016,3.20408473833086
"BAU","Car","HEV","Interior","n","n","n","No improvements",2016,3.20544795776178
"BAU","Car","ICEV-G","Interior","n","n","n","No improvements",2016,3.20408059993773
"BAU","Car","PHEV40","Interior","n","n","n","No improvements",2016,3.20511608658637
"BAU","Car","BEV300","Tires","n","n","n","No improvements",2016,0.0967167026646294
"BAU","Car","FFV","Tires","n","n","n","No improvements",2016,0.101193495599453
"BAU","Car","HEV","Tires","n","n","n","No improvements",2016,0.10251884782398
"BAU","Car","ICEV-G","Tires","n","n","n","No improvements",2016,0.101189472161693
"BAU","Car","PHEV40","Tires","n","n","n","No improvements",2016,0.102196195292311
"BAU","Car","BEV300","Traction Motor","n","n","n","No improvements",2016,0.201952260821685
"BAU","Car","HEV","Traction Motor","n","n","n","No improvements",2016,0.04257068833099
"BAU","Car","PHEV40","Traction Motor","n","n","n","No improvements",2016,0.0816702522838142
"BAU","Car","BEV300","Transmission","n","n","n","No improvements",2016,0.386866810658503
"BAU","Car","FFV","Transmission","n","n","n","No improvements",2016,0.404773982397813
"BAU","Car","HEV","Transmission","n","n","n","No improvements",2016,0.410075391295926
"BAU","Car","ICEV-G","Transmission","n","n","n","No improvements",2016,0.404757888646785
"BAU","Car","PHEV40","Transmission","n","n","n","No improvements",2016,0.408784781169274
"BAU","Car","BEV300","Wheels","n","n","n","No improvements",2016,0.0967167026646294
"BAU","Car","FFV","Wheels","n","n","n","No improvements",2016,0.101193495599453
"BAU","Car","HEV","Wheels","n","n","n","No improvements",2016,0.102518847823983
"BAU","Car","ICEV-G","Wheels","n","n","n","No improvements",2016,0.101189472161696
"BAU","Car","PHEV40","Wheels","n","n","n","No improvements",2016,0.102196195292315
"BAU","Car","BEV300","Body","n","n","n","No improvements",2017,1.21582259981125
"BAU","Car","FFV","Body","n","n","n","No improvements",2017,1.27203157136671
"BAU","Car","HEV","Body","n","n","n","No improvements",2017,1.28867833583502
"BAU","Car","ICEV-G","Body","n","n","n","No improvements",2017,1.27198085430598
"BAU","Car","PHEV40","Body","n","n","n","No improvements",2017,1.28465923541484
"BAU","Car","BEV300","Chassis","n","n","n","No improvements",2017,1.55846351430358
"BAU","Car","FFV","Chassis","n","n","n","No improvements",2017,1.63051319602465
"BAU","Car","HEV","Chassis","n","n","n","No improvements",2017,1.65185132138845
"BAU","Car","ICEV-G","Chassis","n","n","n","No improvements",2017,1.63044818597405
"BAU","Car","PHEV40","Chassis","n","n","n","No improvements",2017,1.64669956539541
"BAU","Car","BEV300","Electronic Controller","n","n","n","No improvements",2017,0.226968013408339
"BAU","Car","HEV","Electronic Controller","n","n","n","No improvements",2017,0.0650398773283385
"BAU","Car","PHEV40","Electronic Controller","n","n","n","No improvements",2017,0.0743826569859962
"BAU","Car","FFV","Engine","n","n","n","No improvements",2017,0.746538876038244
"BAU","Car","HEV","Engine","n","n","n","No improvements",2017,0.562887019171228
"BAU","Car","ICEV-G","Engine","n","n","n","No improvements",2017,0.746314136468669
"BAU","Car","PHEV40","Engine","n","n","n","No improvements",2017,0.578354415185458
"BAU","Car","HEV","EV Battery","n","n","n","No improvements",2017,0.195948870586392
"BAU","Car","BEV300","Exterior","n","n","n","No improvements",2017,0.0884234618044673
"BAU","Car","FFV","Exterior","n","n","n","No improvements",2017,0.0925113870084928
"BAU","Car","HEV","Exterior","n","n","n","No improvements",2017,0.0937220607879965
"BAU","Car","ICEV-G","Exterior","n","n","n","No improvements",2017,0.092507698494984
"BAU","Car","PHEV40","Exterior","n","n","n","No improvements",2017,0.0934297625756244
"BAU","Car","FFV","Fuel storage system","n","n","n","No improvements",2017,0.199965770367392
"BAU","Car","ICEV-G","Fuel storage system","n","n","n","No improvements",2017,0.199905572268392
"BAU","Car","HEV","Generator","n","n","n","No improvements",2017,0.131070269421635
"BAU","Car","PHEV40","Generator","n","n","n","No improvements",2017,0.201455359973451
"BAU","Car","BEV300","Interior","n","n","n","No improvements",2017,6.39895278906002
"BAU","Car","FFV","Interior","n","n","n","No improvements",2017,6.40815062076911
"BAU","Car","HEV","Interior","n","n","n","No improvements",2017,6.41087463677297
"BAU","Car","ICEV-G","Interior","n","n","n","No improvements",2017,6.40814232161367
"BAU","Car","PHEV40","Interior","n","n","n","No improvements",2017,6.41021696579514
"BAU","Car","BEV300","Tires","n","n","n","No improvements",2017,0.193426322697253
"BAU","Car","FFV","Tires","n","n","n","No improvements",2017,0.202368659081067
"BAU","Car","HEV","Tires","n","n","n","No improvements",2017,0.205017007973744
"BAU","Car","ICEV-G","Tires","n","n","n","No improvements",2017,0.202360590457772
