"Scenario","Size","Technology","Subcomponent","feature_wgt","Case","Year","value"
"BAU","Car","BEV100","Body","n","Low",2015,0
"BAU","Light truck","BEV100","Body","n","Low",2015,0
"BAU","Car","BEV300","Body","n","Low",2015,0
"BAU","Light truck","BEV300","Body","n","Low",2015,0
"BAU","Car","PHEV20","Body","n","Low",2015,0
"BAU","Light truck","PHEV20","Body","n","Low",2015,0
"BAU","Car","PHEV40","Body","n","Low",2015,0
"BAU","Light truck","PHEV40","Body","n","Low",2015,0
"BAU","Car","BEV100","Chassis","n","Low",2015,0
"BAU","Light truck","BEV100","Chassis","n","Low",2015,0
"BAU","Car","BEV300","Chassis","n","Low",2015,0
"BAU","Light truck","BEV300","Chassis","n","Low",2015,0
"BAU","Car","PHEV20","Chassis","n","Low",2015,0
"BAU","Light truck","PHEV20","Chassis","n","Low",2015,0
"BAU","Car","PHEV40","Chassis","n","Low",2015,0
"BAU","Light truck","PHEV40","Chassis","n","Low",2015,0
"BAU","Car","BEV100","Electronic Controller","n","Low",2015,0
"BAU","Light truck","BEV100","Electronic Controller","n","Low",2015,0
"BAU","Car","BEV300","Electronic Controller","n","Low",2015,0
"BAU","Light truck","BEV300","Electronic Controller","n","Low",2015,0
"BAU","Car","PHEV20","Electronic Controller","n","Low",2015,0
"BAU","Light truck","PHEV20","Electronic Controller","n","Low",2015,0
"BAU","Car","PHEV40","Electronic Controller","n","Low",2015,0
"BAU","Light truck","PHEV40","Electronic Controller","n","Low",2015,0
"BAU","Car","PHEV20","Engine","n","Low",2015,0
"BAU","Light truck","PHEV20","Engine","n","Low",2015,0
"BAU","Car","PHEV40","Engine","n","Low",2015,0
"BAU","Light truck","PHEV40","Engine","n","Low",2015,0
"BAU","Car","BEV100","EV Battery","n","Low",2015,0
"BAU","Light truck","BEV100","EV Battery","n","Low",2015,0
"BAU","Car","BEV300","EV Battery","n","Low",2015,0
"BAU","Light truck","BEV300","EV Battery","n","Low",2015,0
"BAU","Car","PHEV20","EV Battery","n","Low",2015,0
"BAU","Light truck","PHEV20","EV Battery","n","Low",2015,0
"BAU","Car","PHEV40","EV Battery","n","Low",2015,0
"BAU","Light truck","PHEV40","EV Battery","n","Low",2015,0
"BAU","Car","BEV100","Exterior","n","Low",2015,0
"BAU","Light truck","BEV100","Exterior","n","Low",2015,0
"BAU","Car","BEV300","Exterior","n","Low",2015,0
"BAU","Light truck","BEV300","Exterior","n","Low",2015,0
"BAU","Car","PHEV20","Exterior","n","Low",2015,0
"BAU","Light truck","PHEV20","Exterior","n","Low",2015,0
"BAU","Car","PHEV40","Exterior","n","Low",2015,0
"BAU","Light truck","PHEV40","Exterior","n","Low",2015,0
"BAU","Car","PHEV20","Generator","n","Low",2015,0
