"Scenario","Size","Technology","Subcomponent","Data","2030"
"Steel Intensive","Car","ICEV-G","Total","Material substitution",-49.3124571976052
"Steel Intensive","Car","BEV100","Total","Material substitution",-53.3685492223206
"Steel Intensive","Car","BEV300","Total","Material substitution",-48.6406193376879
"Steel Intensive","Car","FFV","Total","Material substitution",-49.3796006334765
"Steel Intensive","Car","ICEV-D","Total","Material substitution",-51.7480946620667
"Steel Intensive","Car","CNG","Total","Material substitution",-49.3796006334765
"Steel Intensive","Car","HEV","Total","Material substitution",-46.8076269102296
"Steel Intensive","Car","PHEV20","Total","Material substitution",-54.4189379688626
"Steel Intensive","Car","PHEV40","Total","Material substitution",-53.9908614789972
"Steel Intensive","Car","FCV","Total","Material substitution",-59.7344027981735
"Steel Intensive","Light truck","ICEV-G","Total","Material substitution",-67.8523447586063
"Steel Intensive","Light truck","BEV100","Total","Material substitution",-62.8031191162099
"Steel Intensive","Light truck","BEV300","Total","Material substitution",-55.9164061545569
"Steel Intensive","Light truck","FFV","Total","Material substitution",-67.9959310387317
"Steel Intensive","Light truck","ICEV-D","Total","Material substitution",-80.8302687511614
"Steel Intensive","Light truck","CNG","Total","Material substitution",-67.9959310387317
"Steel Intensive","Light truck","HEV","Total","Material substitution",-63.3100568622963
"Steel Intensive","Light truck","PHEV20","Total","Material substitution",-64.9867956235771
"Steel Intensive","Light truck","PHEV40","Total","Material substitution",-63.7665249877641
"Steel Intensive","Light truck","FCV","Total","Material substitution",-71.1193015313129
"Aluminum Intensive","Car","ICEV-G","Total","Material substitution",-101.244412834763
"Aluminum Intensive","Car","BEV100","Total","Material substitution",-109.709877628147
"Aluminum Intensive","Car","BEV300","Total","Material substitution",-100.143289148338
"Aluminum Intensive","Car","FFV","Total","Material substitution",-101.38206501346
"Aluminum Intensive","Car","ICEV-D","Total","Material substitution",-106.237622190408
"Aluminum Intensive","Car","CNG","Total","Material substitution",-101.38206501346
"Aluminum Intensive","Car","HEV","Total","Material substitution",-96.0754760838161
"Aluminum Intensive","Car","PHEV20","Total","Material substitution",-111.777248286319
"Aluminum Intensive","Car","PHEV40","Total","Material substitution",-110.850865357918
"Aluminum Intensive","Car","FCV","Total","Material substitution",-122.657195301715
"Aluminum Intensive","Light truck","ICEV-G","Total","Material substitution",-139.331003714558
"Aluminum Intensive","Light truck","BEV100","Total","Material substitution",-129.123117431467
"Aluminum Intensive","Light truck","BEV300","Total","Material substitution",-115.254472988202
"Aluminum Intensive","Light truck","FFV","Total","Material substitution",-139.625731441054
"Aluminum Intensive","Light truck","ICEV-D","Total","Material substitution",-165.968180987712
"Aluminum Intensive","Light truck","CNG","Total","Material substitution",-139.625731441054
"Aluminum Intensive","Light truck","HEV","Total","Material substitution",-129.951988345172
"Aluminum Intensive","Light truck","PHEV20","Total","Material substitution",-133.474619796154
"Aluminum Intensive","Light truck","PHEV40","Total","Material substitution",-130.93052986966
"Aluminum Intensive","Light truck","FCV","Total","Material substitution",-146.033161198479
"Aluminum Maximum","Car","ICEV-G","Total","Material substitution",-178.880513071541
"Aluminum Maximum","Car","BEV100","Total","Material substitution",-171.426997031866
"Aluminum Maximum","Car","BEV300","Total","Material substitution",-156.202912764967
"Aluminum Maximum","Car","FFV","Total","Material substitution",-179.122625395263
"Aluminum Maximum","Car","ICEV-D","Total","Material substitution",-187.662111263802
"Aluminum Maximum","Car","CNG","Total","Material substitution",-179.122625395263
"Aluminum Maximum","Car","HEV","Total","Material substitution",-165.879376304224
"Aluminum Maximum","Car","PHEV20","Total","Material substitution",-192.209902378992
"Aluminum Maximum","Car","PHEV40","Total","Material substitution",-191.850270603563
"Aluminum Maximum","Car","FCV","Total","Material substitution",-191.576161828724
"Aluminum Maximum","Light truck","ICEV-G","Total","Material substitution",-243.496666726639
"Aluminum Maximum","Light truck","BEV100","Total","Material substitution",-201.64549125076
"Aluminum Maximum","Light truck","BEV300","Total","Material substitution",-179.686399671816
"Aluminum Maximum","Light truck","FFV","Total","Material substitution",-244.009671665877
"Aluminum Maximum","Light truck","ICEV-D","Total","Material substitution",-289.847231774448
"Aluminum Maximum","Light truck","CNG","Total","Material substitution",-244.009671665877
"Aluminum Maximum","Light truck","HEV","Total","Material substitution",-222.041144038749
