"Scenario","Size","Technology","Material","Year","value"
"2015 design","Car","ICEV-G","Cast Aluminum",2015,117.160371354436
"2015 design","Car","ICEV-G","Cast Iron",2015,116.494633566792
"2015 design","Car","ICEV-G","HSS/AHSS",2015,290.388716084162
"2015 design","Car","ICEV-G","Steel",2015,587.604123009502
"2015 design","Car","ICEV-G","Other",2015,457.577331467782
"2015 design","Car","ICEV-G","Wrought Aluminum",2015,41.6757514169184
"2015 design","Car","BEV100","Cast Aluminum",2015,137.408514565904
"2015 design","Car","BEV100","Cast Iron",2015,16.1964768003699
"2015 design","Car","BEV100","HSS/AHSS",2015,322.740123193145
"2015 design","Car","BEV100","Steel",2015,592.691485494299
"2015 design","Car","BEV100","Other",2015,664.853082872584
"2015 design","Car","BEV100","Wrought Aluminum",2015,39.2347860756311
"2015 design","Car","BEV300","Cast Aluminum",2015,156.688943915824
"2015 design","Car","BEV300","Cast Iron",2015,16.2265338081587
"2015 design","Car","BEV300","HSS/AHSS",2015,323.339056067013
"2015 design","Car","BEV300","Steel",2015,610.268581030416
"2015 design","Car","BEV300","Other",2015,1189.18318452439
"2015 design","Car","BEV300","Wrought Aluminum",2015,39.3075971733838
"2015 design","Car","FFV","Cast Aluminum",2015,117.28423628293
"2015 design","Car","FFV","Cast Iron",2015,116.655060793042
"2015 design","Car","FFV","HSS/AHSS",2015,290.788616533042
"2015 design","Car","FFV","Steel",2015,588.401681000612
"2015 design","Car","FFV","Other",2015,458.070760217389
"2015 design","Car","FFV","Wrought Aluminum",2015,41.7331439765323
"2015 design","Car","ICEV-D","Cast Aluminum",2015,121.653661586522
"2015 design","Car","ICEV-D","Cast Iron",2015,122.314247701556
"2015 design","Car","ICEV-D","HSS/AHSS",2015,304.895395275788
"2015 design","Car","ICEV-D","Steel",2015,616.536118325199
"2015 design","Car","ICEV-D","Other",2015,475.476817688713
"2015 design","Car","ICEV-D","Wrought Aluminum",2015,43.7577081955005
"2015 design","Car","CNG","Cast Aluminum",2015,117.28423628293
"2015 design","Car","CNG","Cast Iron",2015,116.655060793042
"2015 design","Car","CNG","HSS/AHSS",2015,290.788616533042
"2015 design","Car","CNG","Steel",2015,588.401681000612
"2015 design","Car","CNG","Other",2015,458.070760217389
"2015 design","Car","CNG","Wrought Aluminum",2015,41.7331439765323
"2015 design","Car","HEV","Cast Aluminum",2015,133.286801637137
"2015 design","Car","HEV","Cast Iron",2015,78.2021082608562
"2015 design","Car","HEV","HSS/AHSS",2015,275.46993268738
"2015 design","Car","HEV","Steel",2015,621.999764708021
"2015 design","Car","HEV","Other",2015,501.051876371944
"2015 design","Car","HEV","Wrought Aluminum",2015,33.4882562512188
"2015 design","Car","PHEV20","Cast Aluminum",2015,150.757704271498
"2015 design","Car","PHEV20","Cast Iron",2015,89.1701254010883
"2015 design","Car","PHEV20","HSS/AHSS",2015,323.599601186391
"2015 design","Car","PHEV20","Steel",2015,740.182280461737
"2015 design","Car","PHEV20","Other",2015,563.844597907853
"2015 design","Car","PHEV20","Wrought Aluminum",2015,39.3392709212388
"2015 design","Car","PHEV40","Cast Aluminum",2015,171.905429951025
"2015 design","Car","PHEV40","Cast Iron",2015,95.9121669278445
"2015 design","Car","PHEV40","HSS/AHSS",2015,324.371345664025
"2015 design","Car","PHEV40","Steel",2015,773.907940140069
"2015 design","Car","PHEV40","Other",2015,634.534689534867
"2015 design","Car","PHEV40","Wrought Aluminum",2015,39.4330903067656
"2015 design","Car","FCV","Cast Aluminum",2015,123.922621357285
"2015 design","Car","FCV","Cast Iron",2015,17.6919763239384
"2015 design","Car","FCV","HSS/AHSS",2015,352.540289391066
"2015 design","Car","FCV","Steel",2015,654.694156235463
"2015 design","Car","FCV","Other",2015,786.289713971818
"2015 design","Car","FCV","Wrought Aluminum",2015,67.3588987002074
"2015 design","Light truck","ICEV-G","Cast Aluminum",2015,143.414498534628
"2015 design","Light truck","ICEV-G","Cast Iron",2015,147.126636760061
"2015 design","Light truck","ICEV-G","HSS/AHSS",2015,400.942458399527
"2015 design","Light truck","ICEV-G","Steel",2015,788.861586035649
"2015 design","Light truck","ICEV-G","Other",2015,585.129050234569
"2015 design","Light truck","ICEV-G","Wrought Aluminum",2015,53.3178955934685
"2015 design","Light truck","BEV100","Cast Aluminum",2015,158.422960701286
"2015 design","Light truck","BEV100","Cast Iron",2015,19.4414045874105
"2015 design","Light truck","BEV100","HSS/AHSS",2015,387.400382745299
"2015 design","Light truck","BEV100","Steel",2015,690.189602528059
"2015 design","Light truck","BEV100","Other",2015,895.477329733549
"2015 design","Light truck","BEV100","Wrought Aluminum",2015,44.3743641261442
"2015 design","Light truck","BEV300","Cast Aluminum",2015,184.17886565878
"2015 design","Light truck","BEV300","Cast Iron",2015,19.4762701529851
"2015 design","Light truck","BEV300","HSS/AHSS",2015,388.095133651157
"2015 design","Light truck","BEV300","Steel",2015,713.477087061117
"2015 design","Light truck","BEV300","Other",2015,1606.35398565318
"2015 design","Light truck","BEV300","Wrought Aluminum",2015,44.4539435419588
"2015 design","Light truck","FFV","Cast Aluminum",2015,143.662653735511
"2015 design","Light truck","FFV","Cast Iron",2015,147.440841304165
"2015 design","Light truck","FFV","HSS/AHSS",2015,401.798713562614
"2015 design","Light truck","FFV","Steel",2015,790.528226289216
"2015 design","Light truck","FFV","Other",2015,586.166647800042
"2015 design","Light truck","FFV","Wrought Aluminum",2015,53.4317616169601
"2015 design","Light truck","ICEV-D","Cast Aluminum",2015,165.845678773765
"2015 design","Light truck","ICEV-D","Cast Iron",2015,175.528132016515
"2015 design","Light truck","ICEV-D","HSS/AHSS",2015,478.340851927115
"2015 design","Light truck","ICEV-D","Steel",2015,939.512097443127
"2015 design","Light truck","ICEV-D","Other",2015,678.919298933471
