"Source","Technology","Size","Data","Year","value"
"EPA","ICEV-G","Car","curb weight (lbs)",1975,1841.04931282811
"EPA","ICEV-D","Car","curb weight (lbs)",1975,1587.573295
"EPA","ICEV-G","Light truck","curb weight (lbs)",1975,1847.26331783025
"EPA","ICEV-G","Car","curb weight (lbs)",1976,1841.44130916864
"EPA","ICEV-D","Car","curb weight (lbs)",1976,1695.49081414461
"EPA","ICEV-G","Light truck","curb weight (lbs)",1976,1884.82455809847
"EPA","ICEV-G","Car","curb weight (lbs)",1977,1790.53926594008
"EPA","ICEV-D","Car","curb weight (lbs)",1977,1428.50269102247
"EPA","ICEV-G","Light truck","curb weight (lbs)",1977,1876.0587853043
"EPA","ICEV-G","Car","curb weight (lbs)",1978,1627.95433850274
"EPA","ICEV-D","Car","curb weight (lbs)",1978,1582.1233917463
"EPA","ICEV-G","Light truck","curb weight (lbs)",1978,1882.49920683463
"EPA","ICEV-D","Light truck","curb weight (lbs)",1978,1985.0265286356
"EPA","ICEV-G","Car","curb weight (lbs)",1979,1576.8102552104
"EPA","ICEV-D","Car","curb weight (lbs)",1979,1754.18608412759
"EPA","ICEV-G","Light truck","curb weight (lbs)",1979,1924.90287722861
"EPA","ICEV-D","Light truck","curb weight (lbs)",1979,2257.54962081732
"EPA","ICEV-G","Car","curb weight (lbs)",1980,1398.72101893524
"EPA","ICEV-D","Car","curb weight (lbs)",1980,1581.53692312024
"EPA","ICEV-G","Light truck","curb weight (lbs)",1980,1745.53385638985
"EPA","ICEV-D","Light truck","curb weight (lbs)",1980,2012.54187815566
"EPA","ICEV-G","Car","curb weight (lbs)",1981,1380.54454936495
"EPA","ICEV-D","Car","curb weight (lbs)",1981,1627.49349999463
"EPA","ICEV-G","Light truck","curb weight (lbs)",1981,1742.23049511259
"EPA","ICEV-D","Light truck","curb weight (lbs)",1981,1457.22782809237
"EPA","ICEV-G","Car","curb weight (lbs)",1982,1372.84363455453
"EPA","ICEV-D","Car","curb weight (lbs)",1982,1632.66648964237
"EPA","ICEV-G","Light truck","curb weight (lbs)",1982,1711.95451529704
"EPA","ICEV-D","Light truck","curb weight (lbs)",1982,1901.59388752184
"EPA","ICEV-G","Car","curb weight (lbs)",1983,1406.54918772429
"EPA","ICEV-D","Car","curb weight (lbs)",1983,1652.34532654173
