"Year","Technology","Size","Adj_stock","Survival_rate_mdl","AEO","Rel_value","Value"
2020,"FCV","Light truck","y",1,"LOP",0.00975823347319005,24192
2020,"FCV","Light truck","y",1,"REF",0.00980991322387251,24192
2020,"FCV","Car","y",1,"LOP",0.00986472213212367,24456
2020,"FCV","Light truck","y",1,"HOP",0.00988042916421873,24193
2020,"FCV","Car","y",1,"REF",0.00991696584833937,24456
2020,"FCV","Car","y",1,"HOP",0.00998783845079706,24456
2020,"BEV","Light truck","y",1,"LOP",0.0201945254148173,50065
2020,"BEV","Light truck","y",1,"REF",0.0203639232882628,50219
2020,"BEV","Light truck","y",1,"HOP",0.0206650566572756,50600
2020,"BEV","Light truck","y",1,"LOP",0.0231548294599455,57404
2020,"BEV","Light truck","y",1,"REF",0.023284351323908,57421
2020,"BEV","Light truck","y",1,"HOP",0.0234630073125917,57451
2020,"PHEV","Light truck","y",1,"LOP",0.0301233827619805,74680
2020,"PHEV","Light truck","y",1,"REF",0.0302861606673524,74688
2020,"PHEV","Light truck","y",1,"HOP",0.0305062793898916,74697
2020,"CNG","Car","y",1,"LOP",0.0382108737150832,94730
2020,"CNG","Car","y",1,"REF",0.041051842966484,101237
2030,"CNG","Car","y",1,"LOP",0.0420575626762907,113115
2020,"CNG","Car","y",1,"HOP",0.044284481295949,108434
2040,"CNG","Car","y",1,"LOP",0.0465776542911683,134700
2030,"CNG","Car","y",1,"REF",0.0510199254442396,132116
2050,"CNG","Car","y",1,"LOP",0.0510551515981454,159388
2020,"PHEV","Light truck","y",1,"REF",0.0525689211487107,129639
2040,"CNG","Car","y",1,"REF",0.0572458756681992,154169
2020,"PHEV","Light truck","y",1,"LOP",0.0593702509184203,147187
2020,"PHEV","Light truck","y",1,"HOP",0.0601034596469947,147168
2050,"CNG","Car","y",1,"REF",0.0615173589869307,174829
2030,"CNG","Light truck","y",1,"HOP",0.0622060962774446,155497
2030,"CNG","Car","y",1,"HOP",0.0667950345231893,166968
2040,"CNG","Light truck","y",1,"HOP",0.0685957067512701,170701
2020,"CNG","Light truck","y",1,"HOP",0.0695738548807015,170357
2030,"CNG","Light truck","y",1,"REF",0.0745831788793357,193133
2040,"CNG","Light truck","y",1,"REF",0.0746763311788181,201111
2020,"CNG","Light truck","y",1,"REF",0.0788815641374616,194528
2050,"CNG","Light truck","y",1,"REF",0.0788857408892175,224189
2040,"CNG","Car","y",1,"HOP",0.0790485542683557,196713
2050,"CNG","Light truck","y",1,"HOP",0.0850599891675995,216818
2050,"CNG","Light truck","y",1,"LOP",0.0870520637012924,271766
2040,"CNG","Light truck","y",1,"LOP",0.088045598133483,254623
2020,"CNG","Light truck","y",1,"LOP",0.0881467941645699,218528
2030,"CNG","Light truck","y",1,"LOP",0.0908902913967609,244452
2020,"PHEV","Car","y",1,"LOP",0.0912777220836713,226290
2020,"PHEV","Car","y",1,"REF",0.0927100058024955,228630
2050,"CNG","Car","y",1,"HOP",0.0932577104529456,237714
2020,"PHEV","Car","y",1,"HOP",0.0943298576355251,230974
2030,"FCV","Light truck","y",1,"LOP",0.0958893094773225,257897
2030,"FCV","Light truck","y",1,"REF",0.0974161749722852,252259
2030,"FCV","Car","y",1,"LOP",0.098795395406491,265713
2030,"BEV","Light truck","y",1,"REF",0.0990929477801123,256601
2030,"FCV","Light truck","y",1,"HOP",0.0993864572363422,248437
2030,"BEV","Light truck","y",1,"LOP",0.100050262347502,269088
2030,"FCV","Car","y",1,"REF",0.100440699299992,260091
2030,"BEV","Light truck","y",1,"HOP",0.102367606901349,255889
2020,"PHEV","Car","y",1,"LOP",0.102421518221395,253917
2030,"FCV","Car","y",1,"HOP",0.102515224215679,256258
2020,"PHEV","Car","y",1,"REF",0.103234008691846,254583
2020,"PHEV","Car","y",1,"HOP",0.104261336840893,255292
2040,"BEV","Light truck","y",1,"LOP",0.122911755964461,355454
2020,"BEV","Car","y",1,"LOP",0.123668022509315,306590
2040,"BEV","Light truck","y",1,"REF",0.124716019422225,335873
2020,"BEV","Car","y",1,"REF",0.129896600221941,320335
2040,"BEV","Light truck","y",1,"HOP",0.13841383246867,344444
2020,"BEV","Car","y",1,"HOP",0.139439307596448,341428
2040,"FCV","Light truck","y",1,"LOP",0.146342010434508,423213
2030,"PHEV","Light truck","y",1,"LOP",0.148022988924399,398112
2040,"FCV","Light truck","y",1,"REF",0.149716554957023,403202
2030,"PHEV","Light truck","y",1,"REF",0.150751220863997,390370
2040,"FCV","Car","y",1,"LOP",0.153844574392604,444910
2030,"PHEV","Light truck","y",1,"HOP",0.154304898730182,385717
2040,"FCV","Light truck","y",1,"HOP",0.154888761059531,385442
2040,"FCV","Car","y",1,"REF",0.157748927110014,424834
2050,"FCV","Light truck","y",1,"LOP",0.15927619793092,497241
2050,"FCV","Light truck","y",1,"REF",0.162677627419918,462321
2040,"FCV","Car","y",1,"HOP",0.16347181388582,406801
2050,"FCV","Light truck","y",1,"HOP",0.166453836230894,424291
2050,"BEV","Light truck","y",1,"LOP",0.166863615904075,520928
2050,"FCV","Car","y",1,"LOP",0.168085636403403,524743
2050,"FCV","Car","y",1,"REF",0.172294278096366,489651
2050,"FCV","Car","y",1,"HOP",0.176857519747648,450810
2050,"BEV","Light truck","y",1,"REF",0.181405289291583,515544
2020,"BEV","Car","y",1,"LOP",0.18690211760927,463356
2040,"PHEV","Light truck","y",1,"LOP",0.210045165144566,607439
2030,"BEV","Light truck","y",1,"LOP",0.213643420534824,574600
2040,"PHEV","Light truck","y",1,"REF",0.215683970803174,580859
2050,"BEV","Light truck","y",1,"HOP",0.21651148567798,551888
2030,"BEV","Light truck","y",1,"REF",0.217221630709055,562495
2020,"BEV","Car","y",1,"REF",0.220357284403536,543418
2030,"PHEV","Car","y",1,"LOP",0.222527506664756,598494
2030,"BEV","Light truck","y",1,"HOP",0.222821735206966,556989
2040,"PHEV","Light truck","y",1,"HOP",0.225626714854996,561474
2050,"PHEV","Light truck","y",1,"LOP",0.229382056521738,716103
2050,"PHEV","Light truck","y",1,"REF",0.237529512350306,675046
2030,"PHEV","Car","y",1,"REF",0.246578670978751,638515
2020,"HEV","Light truck","y",1,"REF",0.247019875933632,609170
2030,"PHEV","Light truck","y",1,"LOP",0.25317563320716,680923
2050,"PHEV","Light truck","y",1,"HOP",0.253774318796568,646871
2030,"PHEV","Light truck","y",1,"REF",0.253811732860511,657245
2030,"PHEV","Light truck","y",1,"HOP",0.26333408698173,658258
2020,"HEV","Light truck","y",1,"HOP",0.265195162163212,649351
2020,"HEV","Light truck","y",1,"LOP",0.269931809019173,669198
2020,"BEV","Car","y",1,"HOP",0.272337267120178,666839
2030,"PHEV","Car","y",1,"LOP",0.29845532237554,802704
2020,"ICEV-D","Light truck","y",1,"REF",0.302370137806654,745668
2030,"PHEV","Car","y",1,"HOP",0.303589208585453,758884
2030,"PHEV","Car","y",1,"REF",0.310501096718318,804042
2030,"HEV","Light truck","y",1,"HOP",0.321740537591135,804257
2020,"ICEV-D","Light truck","y",1,"HOP",0.322789001787303,790374
2030,"PHEV","Car","y",1,"HOP",0.327710437812672,819180
2030,"HEV","Light truck","y",1,"REF",0.33012111497591,854848
2020,"ICEV-D","Car","y",1,"LOP",0.331625852225914,822146
2040,"BEV","Light truck","y",1,"LOP",0.332078965175506,960354
2020,"ICEV-D","Car","y",1,"REF",0.339102164074481,836252
2040,"BEV","Light truck","y",1,"REF",0.341252909920084,919029
2030,"BEV","Car","y",1,"LOP",0.34160750083682,918763
2020,"ICEV-D","Car","y",1,"HOP",0.352522587754357,863179
2020,"ICEV-D","Light truck","y",1,"LOP",0.356479659835209,883762
2040,"PHEV","Light truck","y",1,"LOP",0.358598836134726,1037048
2040,"BEV","Light truck","y",1,"HOP",0.360281267432756,896563
2040,"PHEV","Light truck","y",1,"REF",0.366142421080171,986059
2030,"HEV","Light truck","y",1,"LOP",0.369741431748077,994430
2050,"BEV","Light truck","y",1,"LOP",0.375294507340738,1171624
2030,"BEV","Car","y",1,"REF",0.380323507478148,984847
2040,"PHEV","Light truck","y",1,"HOP",0.381046315971811,948237
2040,"HEV","Light truck","y",1,"HOP",0.383103773271806,953357
