"Year","Technology","Size","Adj_stock","Survival_rate_mdl","Value","AEO","Rel_value"
2020,"BEV100","Car","y",1,320335,"REF",0.129896600221941
2030,"BEV100","Car","y",1,984847,"REF",0.380323507478148
2040,"BEV100","Car","y",1,1515812,"REF",0.562849764144311
2050,"BEV100","Car","y",1,1860714,"REF",0.654732402004289
2020,"BEV300","Car","y",1,543418,"REF",0.220357284403536
2030,"BEV300","Car","y",1,6591199,"REF",2.54535772781606
2040,"BEV300","Car","y",1,15781858,"REF",5.86010339874537
2050,"BEV300","Car","y",1,24754249,"REF",8.71031706516007
2020,"PHEV20","Car","y",1,254583,"REF",0.103234008691846
2030,"PHEV20","Car","y",1,804042,"REF",0.310501096718318
2040,"PHEV20","Car","y",1,1212741,"REF",0.450313749870127
2050,"PHEV20","Car","y",1,1385350,"REF",0.487465313377898
2020,"PHEV40","Car","y",1,228630,"REF",0.0927100058024955
2030,"PHEV40","Car","y",1,638515,"REF",0.246578670978751
2040,"PHEV40","Car","y",1,1322929,"REF",0.491228645524425
2050,"PHEV40","Car","y",1,1834690,"REF",0.645575295630198
2020,"BEV100","Light truck","y",1,50219,"REF",0.0203639232882628
2030,"BEV100","Light truck","y",1,256601,"REF",0.0990929477801123
2040,"BEV100","Light truck","y",1,335873,"REF",0.124716019422225
2050,"BEV100","Light truck","y",1,515544,"REF",0.181405289291583
2020,"BEV300","Light truck","y",1,57421,"REF",0.023284351323908
2030,"BEV300","Light truck","y",1,562495,"REF",0.217221630709055
2040,"BEV300","Light truck","y",1,919029,"REF",0.341252909920084
2050,"BEV300","Light truck","y",1,1109449,"REF",0.390383588596236
2020,"PHEV20","Light truck","y",1,129639,"REF",0.0525689211487107
2030,"PHEV20","Light truck","y",1,657245,"REF",0.253811732860511
2040,"PHEV20","Light truck","y",1,986059,"REF",0.366142421080171
2050,"PHEV20","Light truck","y",1,1166317,"REF",0.410393822429689
2020,"PHEV40","Light truck","y",1,74688,"REF",0.0302861606673524
2030,"PHEV40","Light truck","y",1,390370,"REF",0.150751220863997
2040,"PHEV40","Light truck","y",1,580859,"REF",0.215683970803174
2050,"PHEV40","Light truck","y",1,675046,"REF",0.237529512350306
2020,"BEV100","Car","y",1,306590,"LOP",0.123668022509315
2030,"BEV100","Car","y",1,918763,"LOP",0.34160750083682
2040,"BEV100","Car","y",1,1413144,"LOP",0.488648349633547
2050,"BEV100","Car","y",1,1733813,"LOP",0.555374843512908
2020,"BEV300","Car","y",1,463356,"LOP",0.18690211760927
2030,"BEV300","Car","y",1,5314344,"LOP",1.97593914037368
2040,"BEV300","Car","y",1,12545689,"LOP",4.33814970368607
2050,"BEV300","Car","y",1,19875672,"LOP",6.36657368857765
2020,"PHEV20","Car","y",1,253917,"LOP",0.102421518221395
2030,"PHEV20","Car","y",1,802704,"LOP",0.29845532237554
2040,"PHEV20","Car","y",1,1226900,"LOP",0.42424739457932
2050,"PHEV20","Car","y",1,1434921,"LOP",0.459633781629498
2020,"PHEV40","Car","y",1,226290,"LOP",0.0912777220836713
2030,"PHEV40","Car","y",1,598494,"LOP",0.222527506664756
2040,"PHEV40","Car","y",1,1127328,"LOP",0.389816583940269
2050,"PHEV40","Car","y",1,1530628,"LOP",0.490290640326537
2020,"BEV100","Light truck","y",1,50065,"LOP",0.0201945254148173
2030,"BEV100","Light truck","y",1,269088,"LOP",0.100050262347502
2040,"BEV100","Light truck","y",1,355454,"LOP",0.122911755964461
2050,"BEV100","Light truck","y",1,520928,"LOP",0.166863615904075
2020,"BEV300","Light truck","y",1,57404,"LOP",0.0231548294599455
2030,"BEV300","Light truck","y",1,574600,"LOP",0.213643420534824
2040,"BEV300","Light truck","y",1,960354,"LOP",0.332078965175506
2050,"BEV300","Light truck","y",1,1171624,"LOP",0.375294507340738
2020,"PHEV20","Light truck","y",1,147187,"LOP",0.0593702509184203
2030,"PHEV20","Light truck","y",1,680923,"LOP",0.25317563320716
2040,"PHEV20","Light truck","y",1,1037048,"LOP",0.358598836134726
2050,"PHEV20","Light truck","y",1,1253526,"LOP",0.401529349525792
2020,"PHEV40","Light truck","y",1,74680,"LOP",0.0301233827619805
2030,"PHEV40","Light truck","y",1,398112,"LOP",0.148022988924399
2040,"PHEV40","Light truck","y",1,607439,"LOP",0.210045165144566
2050,"PHEV40","Light truck","y",1,716103,"LOP",0.229382056521738
2020,"BEV100","Car","y",1,341428,"HOP",0.139439307596448
2030,"BEV100","Car","y",1,1162339,"HOP",0.464990139623457
2040,"BEV100","Car","y",1,1820173,"HOP",0.731431294161015
2050,"BEV100","Car","y",1,2226927,"HOP",0.873646959648345
2020,"BEV300","Car","y",1,666839,"HOP",0.272337267120178
2030,"BEV300","Car","y",1,8933233,"HOP",3.57371236787105
2040,"BEV300","Car","y",1,21246867,"HOP",8.53799250218357
2050,"BEV300","Car","y",1,33350251,"HOP",13.0836553643919
2020,"PHEV20","Car","y",1,255292,"HOP",0.104261336840893
2030,"PHEV20","Car","y",1,819180,"HOP",0.327710437812672
2040,"PHEV20","Car","y",1,1211739,"HOP",0.486933838132625
2050,"PHEV20","Car","y",1,1325285,"HOP",0.519923289320915
2020,"PHEV40","Car","y",1,230974,"HOP",0.0943298576355251
2030,"PHEV40","Car","y",1,758884,"HOP",0.303589208585453
2040,"PHEV40","Car","y",1,1852173,"HOP",0.744290402285986
2050,"PHEV40","Car","y",1,2662310,"HOP",1.04445230451712
2020,"BEV100","Light truck","y",1,50600,"HOP",0.0206650566572756
2030,"BEV100","Light truck","y",1,255889,"HOP",0.102367606901349
2040,"BEV100","Light truck","y",1,344444,"HOP",0.13841383246867
2050,"BEV100","Light truck","y",1,551888,"HOP",0.21651148567798
2020,"BEV300","Light truck","y",1,57451,"HOP",0.0234630073125917
2030,"BEV300","Light truck","y",1,556989,"HOP",0.222821735206966
2040,"BEV300","Light truck","y",1,896563,"HOP",0.360281267432756
2050,"BEV300","Light truck","y",1,1078975,"HOP",0.423293277366781
2020,"PHEV20","Light truck","y",1,147168,"HOP",0.0601034596469947
2030,"PHEV20","Light truck","y",1,658258,"HOP",0.26333408698173
2040,"PHEV20","Light truck","y",1,948237,"HOP",0.381046315971811
2050,"PHEV20","Light truck","y",1,1076201,"HOP",0.42220500789676
2020,"PHEV40","Light truck","y",1,74697,"HOP",0.0305062793898916
2030,"PHEV40","Light truck","y",1,385717,"HOP",0.154304898730182
2040,"PHEV40","Light truck","y",1,561474,"HOP",0.225626714854996
2050,"PHEV40","Light truck","y",1,646871,"HOP",0.253774318796568
