"Year","Size","Adj_stock","Survival_rate_mdl","AEO","Rel_value"
2015,"Light truck","y",1,"REF",49.5508271407757
2016,"Light truck","y",1,"REF",48.6083231046961
2017,"Light truck","y",1,"REF",48.381640218732
2018,"Light truck","y",1,"REF",48.0915411355498
2019,"Light truck","y",1,"REF",47.8560711874743
2020,"Light truck","y",1,"REF",47.5115195720218
2021,"Light truck","y",1,"REF",47.1262852647187
2022,"Light truck","y",1,"REF",46.7706923983749
2023,"Light truck","y",1,"REF",46.4205097253288
2024,"Light truck","y",1,"REF",46.0714745880069
2025,"Light truck","y",1,"REF",45.7431468998982
2026,"Light truck","y",1,"REF",45.4510012119394
2027,"Light truck","y",1,"REF",45.1573066724996
2028,"Light truck","y",1,"REF",44.8643480910177
2029,"Light truck","y",1,"REF",44.5719567910862
2030,"Light truck","y",1,"REF",44.2851164864728
2031,"Light truck","y",1,"REF",43.9980230174391
2032,"Light truck","y",1,"REF",43.7170579316758
2033,"Light truck","y",1,"REF",43.4354601221639
2034,"Light truck","y",1,"REF",43.1550900033689
2035,"Light truck","y",1,"REF",42.8855512291248
2036,"Light truck","y",1,"REF",42.6310113163986
2037,"Light truck","y",1,"REF",42.3855749009422
2038,"Light truck","y",1,"REF",42.1574876761648
2039,"Light truck","y",1,"REF",41.9414653197021
2040,"Light truck","y",1,"REF",41.7374269750636
2041,"Light truck","y",1,"REF",41.5453863637285
2042,"Light truck","y",1,"REF",41.3663153220778
2043,"Light truck","y",1,"REF",41.2014048693063
2044,"Light truck","y",1,"REF",41.049636498758
2045,"Light truck","y",1,"REF",40.9100629422701
2046,"Light truck","y",1,"REF",40.7882242144512
2047,"Light truck","y",1,"REF",40.6800567915597
2048,"Light truck","y",1,"REF",40.5834947488505
2049,"Light truck","y",1,"REF",40.501478659932
2050,"Light truck","y",1,"REF",40.4326465339346
2015,"Light truck","y",1,"LOP",49.5508271407757
2016,"Light truck","y",1,"LOP",48.6083231046961
2017,"Light truck","y",1,"LOP",48.3985241746485
2018,"Light truck","y",1,"LOP",48.369925230817
2019,"Light truck","y",1,"LOP",48.4778057776924
2020,"Light truck","y",1,"LOP",48.5776523610286
2021,"Light truck","y",1,"LOP",48.6984225940427
2022,"Light truck","y",1,"LOP",48.8720276330232
2023,"Light truck","y",1,"LOP",49.0420531910573
2024,"Light truck","y",1,"LOP",49.2183352217116
2025,"Light truck","y",1,"LOP",49.4076741166033
2026,"Light truck","y",1,"LOP",49.6204606301222
2027,"Light truck","y",1,"LOP",49.8013698529834
2028,"Light truck","y",1,"LOP",49.9475067859728
2029,"Light truck","y",1,"LOP",50.0707699230358
2030,"Light truck","y",1,"LOP",50.1650311765835
2031,"Light truck","y",1,"LOP",50.2235074941789
2032,"Light truck","y",1,"LOP",50.2549148154532
2033,"Light truck","y",1,"LOP",50.2477069195492
2034,"Light truck","y",1,"LOP",50.2062044988902
2035,"Light truck","y",1,"LOP",50.137208719201
2036,"Light truck","y",1,"LOP",50.0436375961335
2037,"Light truck","y",1,"LOP",49.9321086660081
2038,"Light truck","y",1,"LOP",49.8031635858369
2039,"Light truck","y",1,"LOP",49.65067459946
2040,"Light truck","y",1,"LOP",49.4824010621033
2041,"Light truck","y",1,"LOP",49.2963384191283
2042,"Light truck","y",1,"LOP",49.0985507657709
2043,"Light truck","y",1,"LOP",48.8928386872731
2044,"Light truck","y",1,"LOP",48.6790489954191
2045,"Light truck","y",1,"LOP",48.4575636746221
2046,"Light truck","y",1,"LOP",48.2304482532751
2047,"Light truck","y",1,"LOP",48.0031250757253
2048,"Light truck","y",1,"LOP",47.7764139213591
2049,"Light truck","y",1,"LOP",47.5531488438242
2050,"Light truck","y",1,"LOP",47.3296323163901
2015,"Light truck","y",1,"HOP",49.5508271407757
2016,"Light truck","y",1,"HOP",48.6083231046961
2017,"Light truck","y",1,"HOP",48.3985300722637
2018,"Light truck","y",1,"HOP",47.9003490174783
2019,"Light truck","y",1,"HOP",47.2743290862058
2020,"Light truck","y",1,"HOP",46.4835312465152
2021,"Light truck","y",1,"HOP",45.6335520756162
2022,"Light truck","y",1,"HOP",44.822408078364
2023,"Light truck","y",1,"HOP",44.0230707514353
2024,"Light truck","y",1,"HOP",43.2270035141964
2025,"Light truck","y",1,"HOP",42.4417310303506
2026,"Light truck","y",1,"HOP",41.6964634940992
2027,"Light truck","y",1,"HOP",40.9716753636836
2028,"Light truck","y",1,"HOP",40.2729246542994
2029,"Light truck","y",1,"HOP",39.6052729238043
2030,"Light truck","y",1,"HOP",38.982471132004
2031,"Light truck","y",1,"HOP",38.4131972438054
2032,"Light truck","y",1,"HOP",37.9012582695063
2033,"Light truck","y",1,"HOP",37.4295510987837
2034,"Light truck","y",1,"HOP",36.9977254308234
2035,"Light truck","y",1,"HOP",36.6087871186332
2036,"Light truck","y",1,"HOP",36.2620934759032
2037,"Light truck","y",1,"HOP",35.965305308371
2038,"Light truck","y",1,"HOP",35.7090102603147
2039,"Light truck","y",1,"HOP",35.4875834229826
2040,"Light truck","y",1,"HOP",35.2964089321117
2041,"Light truck","y",1,"HOP",35.1284546730623
2042,"Light truck","y",1,"HOP",34.9849323308853
2043,"Light truck","y",1,"HOP",34.8569406865531
2044,"Light truck","y",1,"HOP",34.757933446648
2045,"Light truck","y",1,"HOP",34.6768810118755
2046,"Light truck","y",1,"HOP",34.6150335536694
2047,"Light truck","y",1,"HOP",34.5680008181531
2048,"Light truck","y",1,"HOP",34.5322755751292
2049,"Light truck","y",1,"HOP",34.5061780433176
2050,"Light truck","y",1,"HOP",34.4879048558093
