"Year","Age","Technology","Size","Adj_stock","Survival_rate_mdl","AEO","Rel_value","Value"
2020,0,"FCV","Car","y",1,"LOP",0.0679417255399168,10876
2020,0,"FCV","Light truck","y",1,"LOP",0.0679417255399168,10876
2020,0,"FCV","Light truck","y",1,"HOP",0.0680448267506512,10876
2020,0,"FCV","Car","y",1,"HOP",0.0680510831709114,10877
2020,0,"FCV","Car","y",1,"REF",0.0680983900265788,10876
2020,0,"FCV","Light truck","y",1,"REF",0.0680983900265788,10876
2020,0,"PHEV","Light truck","y",1,"LOP",0.148645950645671,23795
2020,0,"PHEV","Light truck","y",1,"HOP",0.148965366396929,23810
2020,0,"PHEV","Light truck","y",1,"REF",0.149020014953345,23800
2020,0,"BEV","Light truck","y",1,"LOP",0.1495829917298,23945
2020,0,"BEV","Light truck","y",1,"REF",0.150009307489589,23958
2020,0,"BEV","Light truck","y",1,"HOP",0.150066496362736,23986
2020,0,"CNG","Car","y",1,"LOP",0.151488308600863,24250
2020,0,"BEV","Light truck","y",1,"LOP",0.154780446276436,24777
2020,0,"BEV","Light truck","y",1,"REF",0.155719654281079,24870
2020,0,"BEV","Light truck","y",1,"HOP",0.157092456315015,25109
2030,0,"CNG","Car","y",1,"LOP",0.160512819752385,28144
2020,0,"PHEV","Car","y",1,"LOP",0.161870723813013,25912
2020,0,"PHEV","Car","y",1,"REF",0.167209222660885,26705
2040,0,"CNG","Car","y",1,"LOP",0.169034216875278,31508
2040,0,"FCV","Light truck","y",1,"LOP",0.172247733947396,32107
2050,0,"FCV","Light truck","y",1,"LOP",0.172579537674074,35210
2040,0,"FCV","Car","y",1,"LOP",0.172757390244309,32202
2030,0,"FCV","Light truck","y",1,"LOP",0.173271033857916,30381
2030,0,"FCV","Car","y",1,"LOP",0.173356582901986,30396
2050,0,"FCV","Car","y",1,"LOP",0.174559717544006,35614
2020,0,"CNG","Car","y",1,"REF",0.175348971376824,28005
2050,0,"CNG","Car","y",1,"LOP",0.175858597904234,35879
2020,0,"PHEV","Car","y",1,"HOP",0.175911768457894,28117
2040,0,"FCV","Light truck","y",1,"REF",0.176003866279478,29710
2040,0,"FCV","Car","y",1,"REF",0.176898399561477,29861
2030,0,"FCV","Light truck","y",1,"REF",0.177163307983883,28938
2030,0,"FCV","Car","y",1,"REF",0.177322484361227,28964
2050,0,"FCV","Light truck","y",1,"REF",0.177374319071528,32327
2050,0,"FCV","Car","y",1,"REF",0.180342720303244,32868
2030,0,"FCV","Light truck","y",1,"HOP",0.181727423239209,27814
2030,0,"FCV","Car","y",1,"HOP",0.18193650059391,27846
2040,0,"FCV","Light truck","y",1,"HOP",0.1866978369147,27458
2050,0,"FCV","Light truck","y",1,"HOP",0.187198397823777,29511
2040,0,"FCV","Car","y",1,"HOP",0.187826536780963,27624
2050,0,"FCV","Car","y",1,"HOP",0.19121373399749,30144
2030,0,"CNG","Car","y",1,"REF",0.195193093802272,31883
2050,0,"CNG","Car","y",1,"REF",0.199437057246633,36348
2040,0,"CNG","Car","y",1,"REF",0.199771200897898,33722
2020,0,"CNG","Car","y",1,"HOP",0.203846684919981,32582
2030,0,"PHEV","Light truck","y",1,"LOP",0.24311897670568,42628
2030,0,"CNG","Car","y",1,"HOP",0.243196165521315,37222
2040,0,"PHEV","Light truck","y",1,"LOP",0.244280945512216,45534
2040,0,"CNG","Car","y",1,"HOP",0.245682604022102,36133
2020,0,"BEV","Car","y",1,"LOP",0.246466792888183,39454
2030,0,"PHEV","Light truck","y",1,"REF",0.248853899472281,40648
2020,0,"PHEV","Light truck","y",1,"LOP",0.24942159577347,39927
2020,0,"PHEV","Light truck","y",1,"HOP",0.249856399513976,39936
2020,0,"PHEV","Light truck","y",1,"REF",0.249996728447151,39927
2040,0,"PHEV","Light truck","y",1,"REF",0.251571194393279,42466
2050,0,"CNG","Car","y",1,"HOP",0.252909088856154,39870
2020,0,"PHEV","Car","y",1,"LOP",0.254063072610189,40670
2050,0,"PHEV","Light truck","y",1,"LOP",0.254232548696863,51869
2030,0,"PHEV","Light truck","y",1,"HOP",0.256381106202149,39240
2020,0,"PHEV","Car","y",1,"REF",0.256489743384404,40964
2020,0,"PHEV","Car","y",1,"HOP",0.258959490992663,41391
2030,0,"CNG","Light truck","y",1,"HOP",0.26595946251439,40706
2050,0,"PHEV","Light truck","y",1,"REF",0.269680074933201,49150
2040,0,"PHEV","Light truck","y",1,"HOP",0.274328462676105,40346
2040,0,"CNG","Light truck","y",1,"HOP",0.276953029835005,40732
2020,0,"BEV","Car","y",1,"REF",0.281591476155326,44973
2020,0,"CNG","Light truck","y",1,"HOP",0.292387544443263,46734
2050,0,"CNG","Light truck","y",1,"HOP",0.292688193351187,46141
2050,0,"CNG","Light truck","y",1,"REF",0.306809781282601,55917
2040,0,"CNG","Light truck","y",1,"REF",0.307488410610444,51905
2050,0,"PHEV","Light truck","y",1,"HOP",0.309041331828016,48719
2020,0,"HEV","Light truck","y",1,"HOP",0.320485127832117,51225
2030,0,"CNG","Light truck","y",1,"REF",0.320654689991149,52376
2020,0,"HEV","Light truck","y",1,"REF",0.336422075774924,53730
2020,0,"BEV","Car","y",1,"HOP",0.33960474814749,54281
2050,0,"CNG","Light truck","y",1,"LOP",0.340409584521503,69451
2020,0,"CNG","Light truck","y",1,"REF",0.341424890562644,54529
2020,0,"HEV","Light truck","y",1,"LOP",0.354288986968632,56714
2040,0,"CNG","Light truck","y",1,"LOP",0.362252966239884,67524
2030,0,"CNG","Light truck","y",1,"LOP",0.387058094987043,67866
2030,0,"BEV","Light truck","y",1,"LOP",0.38777100368762,67991
2020,0,"CNG","Light truck","y",1,"LOP",0.392045495718472,62758
2030,0,"BEV","Light truck","y",1,"LOP",0.393924831591003,69070
2030,0,"HEV","Light truck","y",1,"HOP",0.396253856497144,60648
2030,0,"BEV","Light truck","y",1,"REF",0.397175672315102,64875
2040,0,"BEV","Light truck","y",1,"LOP",0.401984698186638,74930
2030,0,"BEV","Light truck","y",1,"REF",0.402293805063548,65711
2030,0,"PHEV","Light truck","y",1,"LOP",0.4099738322584,71884
2020,0,"ICEV-D","Car","y",1,"LOP",0.41091125621227,65778
2030,0,"BEV","Light truck","y",1,"HOP",0.412045730444407,63065
2030,0,"PHEV","Car","y",1,"LOP",0.413584001918124,72517
2040,0,"BEV","Light truck","y",1,"REF",0.416271951387626,70268
2030,0,"PHEV","Light truck","y",1,"REF",0.418976713842872,68436
2030,0,"BEV","Light truck","y",1,"HOP",0.422643338860816,64687
2050,0,"BEV","Light truck","y",1,"LOP",0.423743787859605,86453
2040,0,"PHEV","Light truck","y",1,"LOP",0.424398845644582,79108
2030,0,"HEV","Light truck","y",1,"REF",0.425815175900305,69553
2040,0,"BEV","Light truck","y",1,"LOP",0.429811931998116,80117
2030,0,"PHEV","Light truck","y",1,"HOP",0.430522941666111,65893
2040,0,"PHEV","Light truck","y",1,"REF",0.434044135798209,73268
2040,0,"HEV","Light truck","y",1,"HOP",0.445843246570537,65571
2040,0,"BEV","Light truck","y",1,"REF",0.449458543743655,75870
2040,0,"HEV","Light truck","y",1,"REF",0.450477482316528,76042
2050,0,"BEV","Light truck","y",1,"REF",0.452305336664161,82434
2050,0,"PHEV","Light truck","y",1,"LOP",0.4547404648335,92777
2040,0,"BEV","Light truck","y",1,"HOP",0.461787832030694,67916
2040,0,"PHEV","Light truck","y",1,"HOP",0.462841738532324,68071
2030,0,"PHEV","Car","y",1,"LOP",0.464029421570975,81362
2050,0,"PHEV","Light truck","y",1,"REF",0.469435371128891,85556
2050,0,"PHEV","Car","y",1,"LOP",0.471248498996701,96145
