"Year","Age","Value","Technology","Size","Adj_stock","Survival_rate_mdl","AEO","Rel_value"
2020,0,44973,"BEV100","Car","y",1,"REF",0.281591476155326
2030,0,98015,"BEV100","Car","y",1,"REF",0.60006433174512
2040,0,111583,"BEV100","Car","y",1,"REF",0.66102455102871
2050,0,132379,"BEV100","Car","y",1,"REF",0.726347479950809
2020,0,235344,"BEV300","Car","y",1,"REF",1.47357001677227
2030,0,918061,"BEV300","Car","y",1,"REF",5.62052400618535
2040,0,1503079,"BEV300","Car","y",1,"REF",8.90433239055844
2050,0,1955938,"BEV300","Car","y",1,"REF",10.7319940265452
2020,0,40964,"PHEV20","Car","y",1,"REF",0.256489743384404
2030,0,80704,"PHEV20","Car","y",1,"REF",0.494083475275807
2040,0,85262,"PHEV20","Car","y",1,"REF",0.505097329071721
2050,0,90868,"PHEV20","Car","y",1,"REF",0.498581669359718
2020,0,26705,"PHEV40","Car","y",1,"REF",0.167209222660885
2030,0,83754,"PHEV40","Car","y",1,"REF",0.512756088771931
2040,0,115867,"PHEV40","Car","y",1,"REF",0.686403230367023
2050,0,130345,"PHEV40","Car","y",1,"REF",0.715187169220105
2020,0,24870,"BEV100","Light truck","y",1,"REF",0.155719654281079
2030,0,65711,"BEV100","Light truck","y",1,"REF",0.402293805063548
2040,0,75870,"BEV100","Light truck","y",1,"REF",0.449458543743655
2050,0,98572,"BEV100","Light truck","y",1,"REF",0.540852580799909
2020,0,23958,"BEV300","Light truck","y",1,"REF",0.150009307489589
2030,0,64875,"BEV300","Light truck","y",1,"REF",0.397175672315102
2040,0,70268,"BEV300","Light truck","y",1,"REF",0.416271951387626
2050,0,82434,"BEV300","Light truck","y",1,"REF",0.452305336664161
2020,0,39927,"PHEV20","Light truck","y",1,"REF",0.249996728447151
2030,0,68436,"PHEV20","Light truck","y",1,"REF",0.418976713842872
2040,0,73268,"PHEV20","Light truck","y",1,"REF",0.434044135798209
2050,0,85556,"PHEV20","Light truck","y",1,"REF",0.469435371128891
2020,0,23800,"PHEV40","Light truck","y",1,"REF",0.149020014953345
2030,0,40648,"PHEV40","Light truck","y",1,"REF",0.248853899472281
2040,0,42466,"PHEV40","Light truck","y",1,"REF",0.251571194393279
2050,0,49150,"PHEV40","Light truck","y",1,"REF",0.269680074933201
2020,0,39454,"BEV100","Car","y",1,"LOP",0.246466792888183
2030,0,91837,"BEV100","Car","y",1,"LOP",0.523771170679354
2040,0,104375,"BEV100","Car","y",1,"LOP",0.559951326214204
2050,0,123353,"BEV100","Car","y",1,"LOP",0.604606751227209
2020,0,187820,"BEV300","Car","y",1,"LOP",1.17330037614078
2030,0,724135,"BEV300","Car","y",1,"LOP",4.12993713514046
2040,0,1191993,"BEV300","Car","y",1,"LOP",6.39480777186153
2050,0,1602370,"BEV300","Car","y",1,"LOP",7.85391291629667
2020,0,40670,"PHEV20","Car","y",1,"LOP",0.254063072610189
2030,0,81362,"PHEV20","Car","y",1,"LOP",0.464029421570975
2040,0,88381,"PHEV20","Car","y",1,"LOP",0.474146665026468
2050,0,96145,"PHEV20","Car","y",1,"LOP",0.471248498996701
2020,0,25912,"PHEV40","Car","y",1,"LOP",0.161870723813013
2030,0,72517,"PHEV40","Car","y",1,"LOP",0.413584001918124
2040,0,95373,"PHEV40","Car","y",1,"LOP",0.511657368479303
