"Year","Data","value"
2016,"Light truck",0
2017,"Light truck",0
2018,"Light truck",0
2019,"Light truck",0
2020,"Light truck",0
2021,"Light truck",0.09
2022,"Light truck",0.25
2023,"Light truck",0.7
2024,"Light truck",1.2
2025,"Light truck",1.9
2026,"Light truck",2.52
2027,"Light truck",3.52
2028,"Light truck",4.6
2029,"Light truck",6
2030,"Light truck",7.25
2031,"Light truck",8.892
2032,"Light truck",10.638
2033,"Light truck",12.488
2034,"Light truck",14.442
2035,"Light truck",16.5
2036,"Light truck",16.68
2037,"Light truck",17.422
2038,"Light truck",17.608
2039,"Light truck",18.368
2040,"Light truck",19.14
2016,"Car",0.35
2017,"Car",0.95
2018,"Car",2.2
2019,"Car",2.8
2020,"Car",3.2
2021,"Car",3.51
2022,"Car",4.75
2023,"Car",6.3
2024,"Car",6.8
2025,"Car",7.6
2026,"Car",9.48
2027,"Car",12.48
2028,"Car",15.4
2029,"Car",19
2030,"Car",21.75
2031,"Car",25.308
2032,"Car",28.762
2033,"Car",32.112
2034,"Car",35.358
2035,"Car",38.5
2036,"Car",38.92
2037,"Car",38.778
2038,"Car",39.192
2039,"Car",39.032
2040,"Car",38.86
