"Year","Technology","Size","Adj_stock","Survival_rate_mdl","AEO","Rel_value","Value","Case","Scenario"
2020,"FCV","Light truck","y",1,"REF_BAU",0.00408897158184195,10094,"REF","No Change"
2020,"FCV","Car","y",1,"REF_BAU",0.00414892480099319,10242,"REF","No Change"
2030,"FCV","Light truck","y",1,"REF_BAU",0.00876656395358047,22701,"REF","No Change"
2030,"FCV","Car","y",1,"REF_BAU",0.009631982649672,24942,"REF","No Change"
2020,"FCV","Car","y",1,"REF_EV",0.00978691730466515,24156,"REF","High EV"
2020,"FCV","Light truck","y",1,"REF",0.00980991322387251,24192,"REF","Original"
2020,"FCV","Car","y",1,"REF",0.00991696584833937,24456,"REF","Original"
2050,"FCV","Light truck","y",1,"REF_BAU",0.00992102005947214,28195,"REF","No Change"
2040,"FCV","Light truck","y",1,"REF_BAU",0.00992907027178806,26740,"REF","No Change"
2020,"FCV","Light truck","y",1,"REF_EV",0.00993479877577803,24521,"REF","High EV"
2040,"FCV","Car","y",1,"REF_BAU",0.0117786102502389,31721,"REF","No Change"
2050,"FCV","Car","y",1,"REF_BAU",0.0122454839187689,34801,"REF","No Change"
2020,"BEV","Light truck","y",1,"REF_BAU",0.0122883844794111,30335,"REF","No Change"
2020,"BEV","Light truck","y",1,"REF_BAU",0.0140169006018323,34602,"REF","No Change"
2020,"PHEV","Light truck","y",1,"REF_BAU",0.0177639767987847,43852,"REF","No Change"
2020,"BEV","Light truck","y",1,"REF",0.0203639232882628,50219,"REF","Original"
2020,"BEV","Light truck","y",1,"REF",0.023284351323908,57421,"REF","Original"
2020,"BEV","Light truck","y",1,"REF_EV",0.0236509065101767,58375,"REF","High EV"
2030,"BEV","Light truck","y",1,"REF_BAU",0.0254979920780167,66027,"REF","No Change"
2020,"BEV","Light truck","y",1,"REF_EV",0.0261746152322647,64604,"REF","High EV"
2030,"BEV","Light truck","y",1,"REF_BAU",0.0286236944100849,74121,"REF","No Change"
2050,"BEV","Light truck","y",1,"REF_BAU",0.0286275704911699,81358,"REF","No Change"
2040,"BEV","Light truck","y",1,"REF_BAU",0.0287003600791816,77293,"REF","No Change"
2020,"PHEV","Light truck","y",1,"REF",0.0302861606673524,74688,"REF","Original"
2020,"PHEV","Light truck","y",1,"REF_EV",0.0308112057950478,76048,"REF","High EV"
2050,"BEV","Light truck","y",1,"REF_BAU",0.0321012470305247,91230,"REF","No Change"
