"Vehicle age","Data","value"
0,"Car",22278.148992
1,"Car",21854.89152
2,"Car",21397.837824
3,"Car",20908.597248
4,"Car",20393.607168
5,"Car",19854.476928
6,"Car",19294.425216
7,"Car",18716.67072
8,"Car",18124.432128
9,"Car",17520.928128
10,"Car",16912.596096
11,"Car",16301.045376
12,"Car",15687.885312
13,"Car",15079.55328
14,"Car",14479.267968
15,"Car",13887.029376
16,"Car",13309.27488
17,"Car",12749.223168
18,"Car",12208.483584
19,"Car",11691.88416
20,"Car",11204.252928
21,"Car",10748.808576
22,"Car",10325.551104
23,"Car",9940.917888
24,"Car",9596.518272
25,"Car",9298.789632
26,"Car",9049.341312
27,"Car",8849.782656
28,"Car",8706.55104
29,"Car",8622.865152
30,"Car",8622.865152
0,"Light truck",25688.348928
1,"Light truck",25218.42048
2,"Light truck",24655.15008
3,"Light truck",24297.875712
4,"Light truck",23380.549632
5,"Light truck",22661.172864
6,"Light truck",21803.392512
7,"Light truck",21101.718528
8,"Light truck",20187.611136
9,"Light truck",19437.656832
10,"Light truck",18660.34368
11,"Light truck",17913.608064
12,"Light truck",17125.029504
13,"Light truck",16339.669632
14,"Light truck",15596.152704
15,"Light truck",14868.729216
16,"Light truck",14157.399168
17,"Light truck",13491.130752
18,"Light truck",12889.236096
19,"Light truck",12337.231104
20,"Light truck",11841.553152
21,"Light truck",11408.639616
22,"Light truck",11043.318528
23,"Light truck",10756.855296
24,"Light truck",10550.859264
25,"Light truck",10430.158464
26,"Light truck",10406.018304
27,"Light truck",10406.018304
28,"Light truck",10406.018304
29,"Light truck",10406.018304
30,"Light truck",10406.018304
