"Year","Growth rate"
2015,1
2016,1.00798168516002
2017,1.01592547999023
2018,1.02382949094141
2019,1.03169182161839
2020,1.03951057351937
2021,1.04728384678201
2022,1.0550097409359
2023,1.06268635566092
2024,1.07031179155128
2025,1.07788415088463
2026,1.08540153839585
2027,1.09286206205522
2028,1.10026383385032
2029,1.10760497057143
2030,1.11488359459978
2031,1.12209783469842
2032,1.12924582680496
2033,1.13632571482607
2034,1.14333565143288
2035,1.15027379885723
2036,1.15713832968786
2037,1.16392742766648
2038,1.17063928848284
2039,1.17727212056871
2040,1.18382414588991
2041,1.19029360073622
2042,1.19667873650848
2043,1.20297782050243
2044,1.20918913668891
2045,1.21531098648973
2046,1.22134168954899
2047,1.22727958449905
2048,1.23312302972093
2049,1.23887040409852
2050,1.2445201077661
