"Year","Technology","Size","Adj_stock","Survival_rate_mdl","Value"
2015,"BEV","Car","y",1,5571459931.2768
2016,"BEV","Car","y",1,5936204612.29706
2017,"BEV","Car","y",1,7090059367.90262
2018,"BEV","Car","y",1,9113328570.94973
2019,"BEV","Car","y",1,12912883283.1341
2020,"BEV","Car","y",1,19051765495.4518
2021,"BEV","Car","y",1,27262456982.8654
2022,"BEV","Car","y",1,37476940766.4596
2023,"BEV","Car","y",1,49501328759.0995
2024,"BEV","Car","y",1,62789360393.8112
2025,"BEV","Car","y",1,78759214213.5095
2026,"BEV","Car","y",1,95632593027.9902
2027,"BEV","Car","y",1,113258097131.705
2028,"BEV","Car","y",1,131711509236.857
2029,"BEV","Car","y",1,150854222539.25
2030,"BEV","Car","y",1,170467149668.194
2031,"BEV","Car","y",1,190679602199.274
2032,"BEV","Car","y",1,211198951571.671
2033,"BEV","Car","y",1,232096015396.007
2034,"BEV","Car","y",1,253523519554.521
2035,"BEV","Car","y",1,275301686854.553
2036,"BEV","Car","y",1,297297831414.856
2037,"BEV","Car","y",1,319637608626.943
2038,"BEV","Car","y",1,342200540947.547
2039,"BEV","Car","y",1,364898385858.038
2040,"BEV","Car","y",1,387631737753.517
2041,"BEV","Car","y",1,410159163312.313
2042,"BEV","Car","y",1,432370529428.056
2043,"BEV","Car","y",1,454385270218.633
2044,"BEV","Car","y",1,476306747235.873
2045,"BEV","Car","y",1,498118118317.307
2046,"BEV","Car","y",1,519585063190.396
2047,"BEV","Car","y",1,540885074479.96
2048,"BEV","Car","y",1,561818743215.012
2049,"BEV","Car","y",1,582819076275.296
2050,"BEV","Car","y",1,603999283576.47
2015,"CNG","Car","y",1,2488275419.45242
2016,"CNG","Car","y",1,2255269484.40692
2017,"CNG","Car","y",1,2462045556.31887
2018,"CNG","Car","y",1,2477916210.68847
2019,"CNG","Car","y",1,2344238216.94355
2020,"CNG","Car","y",1,2214789774.63769
2021,"CNG","Car","y",1,2256004356.75905
2022,"CNG","Car","y",1,2321232929.21148
2023,"CNG","Car","y",1,2413850841.81558
2024,"CNG","Car","y",1,2516203027.46138
2025,"CNG","Car","y",1,2611471892.059
2026,"CNG","Car","y",1,2704371217.38789
2027,"CNG","Car","y",1,2799111574.79317
2028,"CNG","Car","y",1,2896836316.73234
2029,"CNG","Car","y",1,2991198283.42279
2030,"CNG","Car","y",1,3082876329.70512
2031,"CNG","Car","y",1,3170449475.56171
2032,"CNG","Car","y",1,3249269829.42394
2033,"CNG","Car","y",1,3317234577.58795
2034,"CNG","Car","y",1,3381044572.13257
2035,"CNG","Car","y",1,3444808612.77429
2036,"CNG","Car","y",1,3508808957.43094
2037,"CNG","Car","y",1,3572062364.67259
2038,"CNG","Car","y",1,3638366706.26183
2039,"CNG","Car","y",1,3708399026.13597
2040,"CNG","Car","y",1,3778774527.55471
2041,"CNG","Car","y",1,3849526576.76098
2042,"CNG","Car","y",1,3917767335.08982
2043,"CNG","Car","y",1,3987885882.19935
2044,"CNG","Car","y",1,4060720592.96976
2045,"CNG","Car","y",1,4137336285.42571
2046,"CNG","Car","y",1,4212822125.78755
2047,"CNG","Car","y",1,4285490223.43625
2048,"CNG","Car","y",1,4348911256.65622
2049,"CNG","Car","y",1,4414610623.1657
2050,"CNG","Car","y",1,4482590014.44135
2015,"FCV","Car","y",1,35934654.324096
2016,"FCV","Car","y",1,69126080.7603975
2017,"FCV","Car","y",1,107325162.288101
2018,"FCV","Car","y",1,176569942.434211
2019,"FCV","Car","y",1,306343529.933859
2020,"FCV","Car","y",1,552026780.793517
2021,"FCV","Car","y",1,905085045.393476
2022,"FCV","Car","y",1,1327799242.01564
2023,"FCV","Car","y",1,1804281146.92568
2024,"FCV","Car","y",1,2369669451.07793
2025,"FCV","Car","y",1,3020193641.14236
2026,"FCV","Car","y",1,3648145679.82239
2027,"FCV","Car","y",1,4232604972.26651
2028,"FCV","Car","y",1,4790230131.76192
2029,"FCV","Car","y",1,5326015102.96741
2030,"FCV","Car","y",1,5832452120.83338
2031,"FCV","Car","y",1,6304739371.28
2032,"FCV","Car","y",1,6746058050.94694
2033,"FCV","Car","y",1,7155177969.7138
2034,"FCV","Car","y",1,7535534483.13512
2035,"FCV","Car","y",1,7883828289.96936
2036,"FCV","Car","y",1,8204020271.62444
2037,"FCV","Car","y",1,8496023881.99529
2038,"FCV","Car","y",1,8757182275.17043
2039,"FCV","Car","y",1,8989491682.29531
2040,"FCV","Car","y",1,9200277083.44357
2041,"FCV","Car","y",1,9391510261.26424
2042,"FCV","Car","y",1,9566630569.97013
2043,"FCV","Car","y",1,9727439373.2146
2044,"FCV","Car","y",1,9880195770.67377
2045,"FCV","Car","y",1,10027733354.6383
2046,"FCV","Car","y",1,10169818940.7813
2047,"FCV","Car","y",1,10310679939.3439
2048,"FCV","Car","y",1,10449751289.0669
2049,"FCV","Car","y",1,10591778363.2405
2050,"FCV","Car","y",1,10739493039.9698
2015,"FFV","Car","y",1,60645659755.0257
2016,"FFV","Car","y",1,69093676853.134
2017,"FFV","Car","y",1,75969780497.1121
2018,"FFV","Car","y",1,82850718209.5271
2019,"FFV","Car","y",1,89913308541.1985
2020,"FFV","Car","y",1,96954583757.7207
2021,"FFV","Car","y",1,103649517008.52
2022,"FFV","Car","y",1,107184438015.622
2023,"FFV","Car","y",1,109807446343.342
2024,"FFV","Car","y",1,112302808419.773
2025,"FFV","Car","y",1,114898202984.113
2026,"FFV","Car","y",1,117357169045.233
2027,"FFV","Car","y",1,119944241308.05
2028,"FFV","Car","y",1,122555227100.866
2029,"FFV","Car","y",1,125134595832.489
2030,"FFV","Car","y",1,127708319559.864
2031,"FFV","Car","y",1,130004825315.984
2032,"FFV","Car","y",1,132111647048.599
2033,"FFV","Car","y",1,134150054843.295
2034,"FFV","Car","y",1,136195547166.06
2035,"FFV","Car","y",1,138249824224.434
2036,"FFV","Car","y",1,140218396139.407
2037,"FFV","Car","y",1,142123541119.336
2038,"FFV","Car","y",1,144034171716.51
2039,"FFV","Car","y",1,145908857681.288
2040,"FFV","Car","y",1,147530484494.693
2041,"FFV","Car","y",1,148937285550.703
2042,"FFV","Car","y",1,150239370684.353
2043,"FFV","Car","y",1,151331149677.652
2044,"FFV","Car","y",1,152177854087.903
2045,"FFV","Car","y",1,153027120389.901
2046,"FFV","Car","y",1,153832890535.916
2047,"FFV","Car","y",1,154528036645.588
2048,"FFV","Car","y",1,154622320709.304
2049,"FFV","Car","y",1,154575773317.56
2050,"FFV","Car","y",1,154516661939.334
2015,"HEV","Car","y",1,62926966252.1871
2016,"HEV","Car","y",1,67997209832.0997
2017,"HEV","Car","y",1,76066030204.521
2018,"HEV","Car","y",1,85383771446.6143
2019,"HEV","Car","y",1,92857241044.5219
2020,"HEV","Car","y",1,100616185987.338
2021,"HEV","Car","y",1,108356010514.976
2022,"HEV","Car","y",1,116143325136.945
2023,"HEV","Car","y",1,123989959214.124
2024,"HEV","Car","y",1,131929438978.786
2025,"HEV","Car","y",1,139272824882.95
2026,"HEV","Car","y",1,146528244785.908
2027,"HEV","Car","y",1,153759006254.623
