"Size","Technology","Bat_type","Range","Capacity","Weight","y_min","y_max"
"Car","BEV100","Li_ion LMO",100,21.69580903,359.632115715262,19.54806573,35
"Car","BEV300","Li_ion LMO",300,89.51111111,1483.74601859746,64,109
"Car","HEV (kW)","Ni_MH",NA,45,124.0100224875,27,45
"Car","PHEV20","Li_ion LMO",20,5.887703053,110.00138425646,2.835555556,11
"Car","PHEV40","Li_ion LMO",40,11.92590228,222.814525036012,11.2,19
"Car","FCV","Li_ion LMO",NA,45,69.4456125721663,34,45
"Light truck","BEV100","Li_ion LMO",100,43,712.772727413534,34,43
"Light truck","BEV300","Li_ion LMO",300,135,2237.7748418797,99,135
"Light truck","HEV (kW)","Ni_MH",NA,53,146.0562487075,44,53
"Light truck","PHEV20","Li_ion LMO",20,8.586666667,160.426776115606,8.586666667,13
"Light truck","PHEV40","Li_ion LMO",40,24,448.397821423729,18,24
"Light truck","FCV","Li_ion LMO",NA,51,78.7050275817885,44,51
