"Scenario","Fuel","Unit","Year","value"
"Steel Intensive","E10","L",2015,442246779699.594
"Steel Intensive","Electricity","kWh",2015,1720703865.51049
"Steel Intensive","E85","L",2015,60196926287.0137
"Steel Intensive","Diesel","L",2015,1796570417.86682
"Steel Intensive","CNG & LPG","L",2015,972303577.550895
"Steel Intensive","Hydrogen","L",2015,21307312.7068823
"Aluminum Intensive","E10","L",2015,442246779699.594
"Aluminum Intensive","Electricity","kWh",2015,1720703865.51049
"Aluminum Intensive","E85","L",2015,60196926287.0137
"Aluminum Intensive","Diesel","L",2015,1796570417.86682
"Aluminum Intensive","CNG & LPG","L",2015,972303577.550895
"Aluminum Intensive","Hydrogen","L",2015,21307312.7068823
"Aluminum Maximum","E10","L",2015,442246779699.594
"Aluminum Maximum","Electricity","kWh",2015,1720703865.51049
"Aluminum Maximum","E85","L",2015,60196926287.0137
"Aluminum Maximum","Diesel","L",2015,1796570417.86682
"Aluminum Maximum","CNG & LPG","L",2015,972303577.550895
"Aluminum Maximum","Hydrogen","L",2015,21307312.7068823
"No Lightweighting","E10","L",2015,442246779699.594
"No Lightweighting","Electricity","kWh",2015,1720703865.51049
"No Lightweighting","E85","L",2015,60196926287.0137
"No Lightweighting","Diesel","L",2015,1796570417.86682
"No Lightweighting","CNG & LPG","L",2015,972303577.550895
"No Lightweighting","Hydrogen","L",2015,21307312.7068823
"Steel Intensive","E10","L",2016,436575796761.536
"Steel Intensive","Electricity","kWh",2016,1990252853.60945
"Steel Intensive","E85","L",2016,63798291310.4469
"Steel Intensive","Diesel","L",2016,1670895032.83013
"Steel Intensive","CNG & LPG","L",2016,911276161.430127
"Steel Intensive","Hydrogen","L",2016,39968560.9747641
"Aluminum Intensive","E10","L",2016,436471303891.585
"Aluminum Intensive","Electricity","kWh",2016,1988658841.37783
"Aluminum Intensive","E85","L",2016,63782612510.2644
"Aluminum Intensive","Diesel","L",2016,1670624382.91268
"Aluminum Intensive","CNG & LPG","L",2016,910273936.66988
"Aluminum Intensive","Hydrogen","L",2016,39930699.5396869
"Aluminum Maximum","E10","L",2016,436348929217.63
"Aluminum Maximum","Electricity","kWh",2016,1986836834.02296
"Aluminum Maximum","E85","L",2016,63764266092.1079
"Aluminum Maximum","Diesel","L",2016,1670307914.83102
"Aluminum Maximum","CNG & LPG","L",2016,909101009.830069
"Aluminum Maximum","Hydrogen","L",2016,39888091.3527247
"No Lightweighting","E10","L",2016,436663683142.038
"No Lightweighting","Electricity","kWh",2016,1991718963.91064
"No Lightweighting","E85","L",2016,63811563758.9715
"No Lightweighting","Diesel","L",2016,1671125535.52969
"No Lightweighting","CNG & LPG","L",2016,912123538.743914
"No Lightweighting","Hydrogen","L",2016,40000733.8575471
"Steel Intensive","E10","L",2017,434757574782.527
"Steel Intensive","Electricity","kWh",2017,2483431115.6142
"Steel Intensive","E85","L",2017,66940220288.5259
"Steel Intensive","Diesel","L",2017,1709293903.41345
