"Scenario","Scrapped material","Year","Recovered material","value"
"All","Wrought Aluminum",2015,"Cast Aluminum",0.86
"All","Cast Aluminum",2015,"Cast Aluminum",0.86
"BAU","Wrought Aluminum",2050,"Cast Aluminum",0.95
"BAU","Wrought Aluminum",2016,"Cast Aluminum",0.862571428571429
"BAU","Wrought Aluminum",2017,"Cast Aluminum",0.865142857142857
"BAU","Wrought Aluminum",2018,"Cast Aluminum",0.867714285714286
"BAU","Wrought Aluminum",2019,"Cast Aluminum",0.870285714285714
"BAU","Wrought Aluminum",2020,"Cast Aluminum",0.872857142857143
"BAU","Wrought Aluminum",2021,"Cast Aluminum",0.875428571428571
"BAU","Wrought Aluminum",2022,"Cast Aluminum",0.878
"BAU","Wrought Aluminum",2023,"Cast Aluminum",0.880571428571428
"BAU","Wrought Aluminum",2024,"Cast Aluminum",0.883142857142857
"BAU","Wrought Aluminum",2025,"Cast Aluminum",0.885714285714286
"BAU","Wrought Aluminum",2026,"Cast Aluminum",0.888285714285714
"BAU","Wrought Aluminum",2027,"Cast Aluminum",0.890857142857143
"BAU","Wrought Aluminum",2028,"Cast Aluminum",0.893428571428571
"BAU","Wrought Aluminum",2029,"Cast Aluminum",0.896
"BAU","Wrought Aluminum",2030,"Cast Aluminum",0.898571428571428
"BAU","Wrought Aluminum",2031,"Cast Aluminum",0.901142857142857
"BAU","Wrought Aluminum",2032,"Cast Aluminum",0.903714285714285
"BAU","Wrought Aluminum",2033,"Cast Aluminum",0.906285714285714
"BAU","Wrought Aluminum",2034,"Cast Aluminum",0.908857142857143
"BAU","Wrought Aluminum",2035,"Cast Aluminum",0.911428571428571
"BAU","Wrought Aluminum",2036,"Cast Aluminum",0.914
"BAU","Wrought Aluminum",2037,"Cast Aluminum",0.916571428571428
"BAU","Wrought Aluminum",2038,"Cast Aluminum",0.919142857142857
"BAU","Wrought Aluminum",2039,"Cast Aluminum",0.921714285714285
"BAU","Wrought Aluminum",2040,"Cast Aluminum",0.924285714285714
"BAU","Wrought Aluminum",2041,"Cast Aluminum",0.926857142857142
"BAU","Wrought Aluminum",2042,"Cast Aluminum",0.929428571428571
"BAU","Wrought Aluminum",2043,"Cast Aluminum",0.932
"BAU","Wrought Aluminum",2044,"Cast Aluminum",0.934571428571428
"BAU","Wrought Aluminum",2045,"Cast Aluminum",0.937142857142857
"BAU","Wrought Aluminum",2046,"Cast Aluminum",0.939714285714285
"BAU","Wrought Aluminum",2047,"Cast Aluminum",0.942285714285714
"BAU","Wrought Aluminum",2048,"Cast Aluminum",0.944857142857142
"BAU","Wrought Aluminum",2049,"Cast Aluminum",0.947428571428571
"BAU","Cast Aluminum",2050,"Cast Aluminum",0.95
"BAU","Cast Aluminum",2016,"Cast Aluminum",0.862571428571429
"BAU","Cast Aluminum",2017,"Cast Aluminum",0.865142857142857
"BAU","Cast Aluminum",2018,"Cast Aluminum",0.867714285714286
"BAU","Cast Aluminum",2019,"Cast Aluminum",0.870285714285714
"BAU","Cast Aluminum",2020,"Cast Aluminum",0.872857142857143
"BAU","Cast Aluminum",2021,"Cast Aluminum",0.875428571428571
"BAU","Cast Aluminum",2022,"Cast Aluminum",0.878
"BAU","Cast Aluminum",2023,"Cast Aluminum",0.880571428571428
"BAU","Cast Aluminum",2024,"Cast Aluminum",0.883142857142857
"BAU","Cast Aluminum",2025,"Cast Aluminum",0.885714285714286
"BAU","Cast Aluminum",2026,"Cast Aluminum",0.888285714285714
"BAU","Cast Aluminum",2027,"Cast Aluminum",0.890857142857143
"BAU","Cast Aluminum",2028,"Cast Aluminum",0.893428571428571
"BAU","Cast Aluminum",2029,"Cast Aluminum",0.896
"BAU","Cast Aluminum",2030,"Cast Aluminum",0.898571428571428
"BAU","Cast Aluminum",2031,"Cast Aluminum",0.901142857142857
"BAU","Cast Aluminum",2032,"Cast Aluminum",0.903714285714285
"BAU","Cast Aluminum",2033,"Cast Aluminum",0.906285714285714
"BAU","Cast Aluminum",2034,"Cast Aluminum",0.908857142857143
"BAU","Cast Aluminum",2035,"Cast Aluminum",0.911428571428571
"BAU","Cast Aluminum",2036,"Cast Aluminum",0.914
"BAU","Cast Aluminum",2037,"Cast Aluminum",0.916571428571428
"BAU","Cast Aluminum",2038,"Cast Aluminum",0.919142857142857
"BAU","Cast Aluminum",2039,"Cast Aluminum",0.921714285714285
"BAU","Cast Aluminum",2040,"Cast Aluminum",0.924285714285714
"BAU","Cast Aluminum",2041,"Cast Aluminum",0.926857142857142
